Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,45657.953,1.022801e8,2.1414724e7,3.554819e7,1.5928867e8
t1,4.946889658433246,0.0,9589.849961676371,1744.8093171543917,11339.606168489196
t2,4.946889658433246,0.0,9460.490526562891,1258.5262743871635,10723.963690608489
t3,4.946889658433246,0.0,9737.593133027856,523.2475003905197,10265.78752307681
t4,4.946889658433246,0.0,9648.443426207557,381.78525592547,10035.17557179146
t5,4.946889658433246,0.0,8162.136253979467,1832.53551936507,9999.61866300297
t6,4.946889658433246,0.0,6800.489634283383,3370.9507713239304,10176.387295265746
t7,4.946889658433246,0.0,6005.56253182304,4544.8129303016085,10555.322351783081
t8,4.946889658433246,0.0,6545.259270585049,4347.4784275887705,10897.684587832253
t9,4.946889658433246,11472.823267266036,0.0,0.0,11477.77015692447
t10,4.946889658433246,49395.84517199231,0.0,0.0,49400.79206165075
t11,4.946889658433246,59566.30636628685,0.0,0.0,59571.25325594529
t12,4.946889658433246,12512.100915569607,0.0,0.0,12517.04780522804
t13,4.946889658433246,12573.055616349877,0.0,0.0,12578.00250600831
t14,4.946889658433246,12460.28941990638,0.0,0.0,12465.236309564812
t15,4.946889658433246,57720.59949818123,0.0,0.0,57725.54638783967
t16,4.946889658433246,12408.47792424315,0.0,0.0,12413.424813901584
t17,4.946889658433246,7392.105501263186,1529.8309779509768,4696.49225551731,13623.375624389904
t18,4.946889658433246,0.0,6111.6748783882895,8653.718142691894,14770.339910738618
t19,4.946889658433246,0.0,10196.766359186637,4482.2741691215,14683.98741796657
t20,4.946889658433246,0.0,9952.840559675076,4277.1670062184185,14234.954455551928
t21,4.946889658433246,0.0,10276.11097984985,3427.6543359740012,13708.712205482283
t22,4.946889658433246,0.0,10015.476968009765,2954.8001150915243,12975.223972759723
t23,4.946889658433246,0.0,9156.680597129238,2904.3555326663864,12065.983019454057
t24,4.946889658433246,0.0,7173.8827944208415,3868.193920664635,11047.02360474391
t25,4.946889658433246,0.0,5685.147810143921,4494.419888900763,10184.514588703118
t26,4.946889658433246,0.0,6986.673215170962,2670.7158805227573,9662.335985352152
t27,4.946889658433246,0.0,6858.395675923767,2548.0632348911836,9411.405800473383
t28,4.946889658433246,0.0,9349.567856753367,0.0,9354.5147464118
t29,4.946889658433246,0.0,9244.508790379608,310.27322566732886,9559.72890570537
t30,4.946889658433246,0.0,8889.800023050953,1187.1605963469456,10081.907509056331
t31,4.946889658433246,0.0,6322.980226801288,4538.264209302726,10866.191325762447
t32,4.946889658433246,0.0,5238.023115279048,6266.293414056795,11509.263418994276
t33,4.946889658433246,12292.663992760643,0.0,0.0,12297.610882419076
t34,4.946889658433246,13099.297866419522,0.0,0.0,13104.244756077955
t35,4.946889658433246,57018.23433373099,0.0,0.0,57023.18122338942
t36,4.946889658433246,13934.377267109196,0.0,0.0,13939.324156767629
t37,4.946889658433246,61093.22162083256,0.0,0.0,61098.168510491
t38,4.946889658433246,13822.626982345371,0.0,0.0,13827.573872003804
t39,4.946889658433246,13778.94278011951,0.0,0.0,13783.889669777944
t40,4.946889658433246,36764.78639491176,0.0,0.0,36769.7332845702
t41,4.946889658433246,11548.725572845757,3752.052903421115,0.0,15305.725365925304
t42,4.946889658433246,0.0,8593.758607139298,8035.832346137413,16634.537842935144
t43,4.946889658433246,0.0,7815.928412685987,8667.371258718083,16488.246561062504
t44,4.946889658433246,0.0,5857.58036792318,10227.4819250498,16090.009182631413
t45,4.946889658433246,0.0,8895.59750823438,6538.265398069408,15438.809795962221
t46,4.946889658433246,0.0,9927.874919289115,4481.949013906171,14414.77082285372
t47,4.946889658433246,0.0,8896.579163686654,4244.3710815993845,13145.897134944473
t48,4.946889658433246,0.0,8634.529185938145,3356.4090379601694,11995.885113556747
t49,4.946889658433246,0.0,9039.66906723431,2188.3194852309844,11232.935442123728
t50,4.946889658433246,0.0,7098.77514204421,3748.2465305444093,10851.968562247053
t51,4.946889658433246,0.0,5231.026819415273,5433.130750832543,10669.104459906248
t52,4.946889658433246,0.0,6423.865585481309,4262.642041719269,10691.454516859012
t53,4.946889658433246,0.0,6702.546051512596,4366.960278924002,11074.45322009503
t54,4.946889658433246,0.0,7526.626299929364,4680.701111738905,12212.274301326703
t55,4.946889658433246,0.0,6093.848791429826,8127.015569346629,14225.811250434886
t56,4.946889658433246,0.0,3912.421525694505,11436.104799516908,15353.473214869846
t57,4.946889658433246,15539.517720989586,0.0,0.0,15544.46461064802
t58,4.946889658433246,15646.188447355056,0.0,0.0,15651.13533701349
t59,4.946889658433246,15786.384259149672,0.0,0.0,15791.331148808105
t60,4.946889658433246,62993.992373497254,0.0,0.0,62998.93926315569
t61,4.946889658433246,15748.79552700184,0.0,0.0,15753.742416660272
t62,4.946889658433246,62907.639880725204,0.0,0.0,62912.58677038364
t63,4.946889658433246,15666.506680948478,0.0,0.0,15671.453570606911
t64,4.946889658433246,43535.12601289113,0.0,0.0,43540.07290254957
t65,4.946889658433246,15785.944925594747,1337.3791040021317,0.0,17128.270919255312
t66,4.946889658433246,0.0,9733.736507051946,8745.829614905899,18484.513011616276
t67,4.946889658433246,0.0,10716.384576551716,7798.738454194621,18520.06992040477
t68,4.946889658433246,0.0,8918.830455339257,9285.423601427708,18209.2009464254
t69,4.946889658433246,0.0,10410.00355594843,7201.9739915702685,17616.92443717713
t70,4.946889658433246,0.0,10349.13003158296,6223.569867632168,16577.64678887356
t71,4.946889658433246,0.0,10646.308594152537,4538.655950631824,15189.911434442794
t72,4.946889658433246,0.0,10562.03058223176,3407.9035936659247,13974.881065556117
t73,4.946889658433246,0.0,10776.52569918255,2437.570187039812,13219.042775880795
t74,4.946889658433246,0.0,10703.076842422652,2113.7975770482954,12821.82130912938
t75,4.946889658433246,0.0,9838.071828204622,2776.6361670117694,12619.654884874824
t76,4.946889658433246,0.0,9704.07325595213,2932.984796217028,12642.00494182759
t77,4.946889658433246,0.0,9710.416814264061,3272.0512089932827,12987.414912915778
t78,4.946889658433246,0.0,8474.08283793948,5581.18791905058,14060.217646648493
t79,4.946889658433246,0.0,8080.721657988366,7926.11543564994,16011.78398329674
t80,4.946889658433246,0.0,7408.829693579018,9660.651016995293,17074.427600232742
t81,4.946889658433246,17090.814855847406,0.0,0.0,17095.76174550584
t82,4.946889658433246,17045.098830262206,0.0,0.0,17050.04571992064
t83,4.946889658433246,64187.688597110835,0.0,0.0,64192.63548676927
t84,4.946889658433246,16839.884670968637,0.0,0.0,16844.83156062707
t85,4.946889658433246,63780.30801356272,0.0,0.0,63785.254903221154
t86,4.946889658433246,16456.885967732618,0.0,0.0,16461.83285739105
t87,4.946889658433246,16326.849272734713,0.0,0.0,16331.796162393146
t88,4.946889658433246,38491.913848477925,0.0,0.0,38496.86073813636
