,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2374047665320364e8,3.554819312397766e7,-4.199928299146699e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.172893867857143e8
t1,9594.796851334804,1744.8093171543917,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11339.606168489196
t2,9465.437416221324,1258.5262743871635,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10723.963690608487
t3,9742.540022686288,523.2475003905197,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10265.787523076808
t4,9653.390315865989,381.78525592547,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10035.175571791458
t5,8167.083143637899,1832.53551936507,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9999.61866300297
t6,6805.436523941817,3370.9507713239304,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10176.387295265746
t7,6010.5094214814735,4544.8129303016085,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10555.322351783081
t8,6550.206160243482,4347.4784275887705,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10897.684587832253
t9,11477.77015692447,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11477.77015692447
t10,49400.79206165075,0.0,-37353.095452430774,0.0,-0.0,0.0,0.0,0.0,0.0,-12047.696609219976
t11,59571.25325594529,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-12390.058845269148
t12,12517.04780522804,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12517.04780522804
t13,12578.002506008308,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12578.002506008308
t14,12465.236309564812,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12465.236309564812
t15,57725.54638783966,0.0,-45383.23539151506,0.0,-0.0,0.0,0.0,0.0,0.0,-12342.310996324604
t16,12413.424813901584,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12413.424813901584
t17,8926.883368872595,4696.49225551731,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13623.375624389904
t18,6116.6217680467225,8653.718142691894,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14770.339910738616
t19,10201.713248845068,4482.2741691215,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14683.987417966568
t20,9957.78744933351,4277.1670062184185,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14234.954455551928
t21,10281.05786950828,3427.6543359740012,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13708.712205482281
t22,10020.423857668196,2954.8001150915243,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12975.22397275972
t23,9161.627486787671,2904.3555326663864,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12065.983019454057
t24,7178.8296840792755,3868.193920664635,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11047.02360474391
t25,5690.094699802354,4494.419888900763,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10184.514588703116
t26,6991.620104829396,2670.7158805227573,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9662.335985352152
t27,6863.342565582201,2548.0632348911836,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9411.405800473383
t28,9354.5147464118,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9354.5147464118
t29,9249.455680038041,310.27322566732886,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9559.72890570537
t30,8894.746912709386,1187.1605963469456,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10081.907509056333
t31,6327.927116459722,4538.264209302726,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10866.191325762447
t32,5242.970004937482,6266.293414056795,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11509.263418994276
t33,12297.610882419076,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12297.610882419076
t34,13104.244756077953,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13104.244756077953
t35,57023.18122338942,0.0,-43326.659958063196,0.0,-0.0,0.0,0.0,0.0,0.0,-13696.521265326226
t36,13939.324156767627,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13939.324156767627
t37,61098.168510491,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-13916.974099814863
t38,13827.573872003804,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13827.573872003804
t39,13783.889669777944,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13783.889669777944
t40,36769.7332845702,0.0,-22776.565808779997,0.0,-0.0,0.0,0.0,0.0,0.0,-13993.167475790196
t41,15305.725365925304,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15305.725365925304
t42,8598.705496797731,8035.832346137413,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16634.537842935144
