Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,8760,8760,1,11162
,,,,,,,2,10556
,,,,,,,3,10105
,,,,,,,4,9878
,,,,,,,5,9843
,,,,,,,6,10017
,,,,,,,7,10390
,,,,,,,8,10727
,,,,,,,9,11298
,,,,,,,10,11859
,,,,,,,11,12196
,,,,,,,12,12321
,,,,,,,13,12381
,,,,,,,14,12270
,,,,,,,15,12149
,,,,,,,16,12219
,,,,,,,17,13410
,,,,,,,18,14539
,,,,,,,19,14454
,,,,,,,20,14012
,,,,,,,21,13494
,,,,,,,22,12772
,,,,,,,23,11877
,,,,,,,24,10874
,,,,,,,25,10025
,,,,,,,26,9511
,,,,,,,27,9264
,,,,,,,28,9208
,,,,,,,29,9410
,,,,,,,30,9924
,,,,,,,31,10696
,,,,,,,32,11329
,,,,,,,33,12105
,,,,,,,34,12899
,,,,,,,35,13482
,,,,,,,36,13721
,,,,,,,37,13699
,,,,,,,38,13611
,,,,,,,39,13568
,,,,,,,40,13774
,,,,,,,41,15066
,,,,,,,42,16374
,,,,,,,43,16230
,,,,,,,44,15838
,,,,,,,45,15197
,,,,,,,46,14189
,,,,,,,47,12940
,,,,,,,48,11808
,,,,,,,49,11057
,,,,,,,50,10682
,,,,,,,51,10502
,,,,,,,52,10524
,,,,,,,53,10901
,,,,,,,54,12021
,,,,,,,55,14003
,,,,,,,56,15113
,,,,,,,57,15301
,,,,,,,58,15406
,,,,,,,59,15544
,,,,,,,60,15570
,,,,,,,61,15507
,,,,,,,62,15485
,,,,,,,63,15426
,,,,,,,64,15639
,,,,,,,65,16860
,,,,,,,66,18195
,,,,,,,67,18230
,,,,,,,68,17924
,,,,,,,69,17341
,,,,,,,70,16318
,,,,,,,71,14952
,,,,,,,72,13756
,,,,,,,73,13012
,,,,,,,74,12621
,,,,,,,75,12422
,,,,,,,76,12444
,,,,,,,77,12784
,,,,,,,78,13840
,,,,,,,79,15761
,,,,,,,80,16807
,,,,,,,81,16828
,,,,,,,82,16783
,,,,,,,83,16745
,,,,,,,84,16581
,,,,,,,85,16344
,,,,,,,86,16204
,,,,,,,87,16076
,,,,,,,88,16242
,,,,,,,89,17378
,,,,,,,90,18302
,,,,,,,91,18160
,,,,,,,92,17737
,,,,,,,93,17058
,,,,,,,94,15936
,,,,,,,95,14506
,,,,,,,96,13182
,,,,,,,97,12336
,,,,,,,98,11885
,,,,,,,99,11656
,,,,,,,100,11615
,,,,,,,101,11913
,,,,,,,102,12890
,,,,,,,103,14747
,,,,,,,104,15835
,,,,,,,105,15951
,,,,,,,106,16021
,,,,,,,107,15949
,,,,,,,108,15726
,,,,,,,109,15531
,,,,,,,110,15455
,,,,,,,111,15333
,,,,,,,112,15432
,,,,,,,113,16412
,,,,,,,114,17485
,,,,,,,115,17422
,,,,,,,116,17026
,,,,,,,117,16390
,,,,,,,118,15340
,,,,,,,119,13927
,,,,,,,120,12708
,,,,,,,121,11909
,,,,,,,122,11476
,,,,,,,123,11254
,,,,,,,124,11199
,,,,,,,125,11472
,,,,,,,126,12442
,,,,,,,127,14265
,,,,,,,128,15358
,,,,,,,129,15484
,,,,,,,130,15500
,,,,,,,131,15432
,,,,,,,132,15203
,,,,,,,133,14952
,,,,,,,134,14820
,,,,,,,135,14614
,,,,,,,136,14685
,,,,,,,137,15541
,,,,,,,138,16362
,,,,,,,139,16100
,,,,,,,140,15635
,,,,,,,141,15017
,,,,,,,142,14212
,,,,,,,143,13116
,,,,,,,144,11990
,,,,,,,145,11119
,,,,,,,146,10636
,,,,,,,147,10373
,,,,,,,148,10268
,,,,,,,149,10370
,,,,,,,150,10765
,,,,,,,151,11478
,,,,,,,152,12230
,,,,,,,153,13001
,,,,,,,154,13466
,,,,,,,155,13597
,,,,,,,156,13488
,,,,,,,157,13240
,,,,,,,158,12960
,,,,,,,159,12764
,,,,,,,160,12899
,,,,,,,161,13844
,,,,,,,162,14791
,,,,,,,163,14618
,,,,,,,164,14149
,,,,,,,165,13704
,,,,,,,166,13063
,,,,,,,167,12224
,,,,,,,168,11302
,,,,,,,169,10528
,,,,,,,170,10079
,,,,,,,171,9814
