Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,63.074608604000005,0.0,0.0,0.0
t2,63.074608604000005,0.0,0.0,0.0
t3,63.074608604000005,0.0,0.0,0.0
t4,63.074608604000005,0.0,0.0,0.0
t5,63.074608604000005,0.0,0.0,0.0
t6,63.074608604000005,0.0,0.0,0.0
t7,63.074608604000005,0.0,0.0,0.0
t8,63.074608604000005,0.0,0.0,0.0
t9,63.074608604000005,0.0,0.0,0.0
t10,63.074608604000005,0.0,0.0,0.0
t11,63.074608604000005,0.0,0.0,0.0
t12,63.074608604000005,0.0,0.0,0.0
t13,63.074608604000005,0.0,0.0,0.0
t14,63.074608604000005,0.0,0.0,0.0
t15,63.074608604000005,0.0,0.0,0.0
t16,63.074608604000005,0.0,0.0,0.0
t17,63.074608604000005,0.0,0.0,0.0
t18,63.074608604000005,0.0,0.0,0.0
t19,63.074608604000005,0.0,0.0,0.0
t20,63.074608604000005,0.0,0.0,0.0
t21,63.074608604000005,0.0,0.0,0.0
t22,63.074608604000005,0.0,0.0,0.0
t23,63.074608604000005,0.0,0.0,0.0
t24,63.074608604000005,0.0,0.0,0.0
t25,63.074608604000005,0.0,0.0,0.0
t26,63.074608604000005,0.0,0.0,0.0
t27,63.074608604000005,0.0,0.0,0.0
t28,63.074608604000005,0.0,0.0,0.0
t29,63.074608604000005,0.0,0.0,0.0
t30,63.074608604000005,0.0,0.0,0.0
t31,63.074608604000005,0.0,0.0,0.0
t32,63.074608604000005,0.0,0.0,0.0
t33,63.074608604000005,0.0,0.0,0.0
t34,63.074608604000005,0.0,0.0,0.0
t35,63.074608604000005,0.0,0.0,0.0
t36,63.074608604000005,0.0,0.0,0.0
t37,63.074608604000005,0.0,0.0,0.0
t38,63.074608604000005,0.0,0.0,0.0
t39,63.074608604000005,0.0,0.0,0.0
t40,63.074608604000005,0.0,0.0,0.0
t41,63.074608604000005,0.0,0.0,0.0
t42,63.074608604000005,0.0,0.0,0.0
t43,63.074608604000005,0.0,0.0,0.0
t44,63.074608604000005,0.0,0.0,0.0
t45,63.074608604000005,0.0,0.0,0.0
t46,63.074608604000005,0.0,0.0,0.0
t47,63.074608604000005,0.0,0.0,0.0
t48,63.074608604000005,0.0,0.0,0.0
t49,63.074608604000005,0.0,0.0,0.0
t50,63.074608604000005,0.0,0.0,0.0
t51,63.074608604000005,0.0,0.0,0.0
t52,63.074608604000005,0.0,0.0,0.0
t53,63.074608604000005,0.0,0.0,0.0
t54,63.074608604000005,0.0,0.0,0.0
t55,63.074608604000005,0.0,0.0,0.0
t56,63.074608604000005,0.0,0.0,0.0
t57,63.074608604000005,0.0,0.0,0.0
t58,63.074608604000005,0.0,0.0,0.0
t59,63.074608604000005,0.0,0.0,0.0
t60,63.074608604000005,0.0,0.0,0.0
t61,63.074608604000005,0.0,0.0,0.0
t62,63.074608604000005,0.0,0.0,0.0
t63,63.074608604000005,0.0,0.0,0.0
t64,63.074608604000005,0.0,0.0,0.0
t65,63.074608604000005,0.0,0.0,0.0
t66,63.074608604000005,0.0,0.0,0.0
t67,63.074608604000005,0.0,0.0,0.0
t68,63.074608604000005,0.0,0.0,0.0
t69,63.074608604000005,0.0,0.0,0.0
t70,63.074608604000005,0.0,0.0,0.0
t71,63.074608604000005,0.0,0.0,0.0
t72,63.074608604000005,0.0,0.0,0.0
t73,63.074608604000005,0.0,0.0,0.0
t74,63.074608604000005,0.0,0.0,0.0
t75,63.074608604000005,0.0,0.0,0.0
t76,63.074608604000005,0.0,0.0,0.0
t77,63.074608604000005,0.0,0.0,0.0
t78,63.074608604000005,0.0,0.0,0.0
t79,63.074608604000005,0.0,0.0,0.0
t80,63.074608604000005,0.0,0.0,0.0
t81,63.074608604000005,0.0,0.0,0.0
t82,63.074608604000005,0.0,0.0,0.0
t83,63.074608604000005,0.0,0.0,0.0
t84,63.074608604000005,0.0,0.0,0.0
t85,63.074608604000005,0.0,0.0,0.0
t86,63.074608604,0.0,0.0,0.0
t87,63.074608604000005,0.0,0.0,0.0
t88,63.074608604000005,0.0,0.0,0.0
t89,63.074608604000005,0.0,0.0,0.0
t90,63.074608604000005,0.0,0.0,0.0
t91,63.074608604000005,0.0,0.0,0.0
t92,63.074608604000005,0.0,0.0,0.0
t93,63.074608604000005,0.0,0.0,0.0
t94,63.074608604000005,0.0,0.0,0.0
t95,63.074608604000005,0.0,0.0,0.0
t96,63.074608604000005,0.0,0.0,0.0
t97,63.074608604000005,0.0,0.0,0.0
t98,63.074608604000005,0.0,0.0,0.0
t99,63.074608604000005,0.0,0.0,0.0
t100,63.074608604000005,0.0,0.0,0.0
t101,63.074608604000005,0.0,0.0,0.0
t102,63.074608604000005,0.0,0.0,0.0
t103,63.074608604000005,0.0,0.0,0.0
t104,63.074608604000005,0.0,0.0,0.0
t105,63.074608604000005,0.0,0.0,0.0
t106,63.074608604000005,0.0,0.0,0.0
t107,63.074608604000005,0.0,0.0,0.0
t108,63.074608604000005,0.0,0.0,0.0
t109,63.074608604000005,0.0,0.0,0.0
t110,63.074608604000005,0.0,0.0,0.0
t111,63.074608604000005,0.0,0.0,0.0
t112,63.074608604000005,0.0,0.0,0.0
t113,63.074608604000005,0.0,0.0,0.0
t114,63.074608604000005,0.0,0.0,0.0
t115,63.074608604000005,0.0,0.0,0.0
t116,63.074608604000005,0.0,0.0,0.0
t117,63.074608604000005,0.0,0.0,0.0
t118,63.074608604000005,0.0,0.0,0.0
t119,63.074608604000005,0.0,0.0,0.0
t120,63.074608604000005,0.0,0.0,0.0
t121,63.074608604000005,0.0,0.0,0.0
t122,63.074608604000005,0.0,0.0,0.0
t123,63.074608604000005,0.0,0.0,0.0
t124,63.074608604000005,0.0,0.0,0.0
t125,63.074608604000005,0.0,0.0,0.0
t126,63.074608604000005,0.0,0.0,0.0
t127,63.074608604000005,0.0,0.0,0.0
t128,63.074608604000005,0.0,0.0,0.0
t129,63.074608604000005,0.0,0.0,0.0
t130,63.074608604000005,0.0,0.0,0.0
t131,63.074608604000005,0.0,0.0,0.0
t132,63.074608604000005,0.0,0.0,0.0
t133,63.074608604000005,0.0,0.0,0.0
t134,63.074608604000005,0.0,0.0,0.0
t135,63.074608604000005,0.0,0.0,0.0
t136,63.074608604000005,0.0,0.0,0.0
t137,63.074608604000005,0.0,0.0,0.0
t138,63.074608604000005,0.0,0.0,0.0
t139,63.074608604000005,0.0,0.0,0.0
t140,63.074608604000005,0.0,0.0,0.0
t141,63.074608604000005,0.0,0.0,0.0
t142,63.074608604000005,0.0,0.0,0.0
t143,63.074608604000005,0.0,0.0,0.0
t144,63.074608604000005,0.0,0.0,0.0
t145,63.074608604000005,0.0,0.0,0.0
t146,63.074608604000005,0.0,0.0,0.0
t147,63.074608604000005,0.0,0.0,0.0
t148,63.074608604000005,0.0,0.0,0.0
t149,63.074608604000005,0.0,0.0,0.0
t150,63.074608604000005,0.0,0.0,0.0
t151,63.074608604000005,0.0,0.0,0.0
t152,63.074608604000005,0.0,0.0,0.0
t153,63.074608604000005,0.0,0.0,0.0
t154,63.074608604000005,0.0,0.0,0.0
t155,63.074608604000005,0.0,0.0,0.0
t156,63.074608604000005,0.0,0.0,0.0
t157,63.074608604000005,0.0,0.0,0.0
t158,63.074608604000005,0.0,0.0,0.0
t159,63.074608604000005,0.0,0.0,0.0
t160,63.074608604000005,0.0,0.0,0.0
t161,63.074608604000005,0.0,0.0,0.0
t162,63.074608604000005,0.0,0.0,0.0
t163,63.074608604000005,0.0,0.0,0.0
t164,63.074608604000005,0.0,0.0,0.0
t165,63.074608604000005,0.0,0.0,0.0
t166,63.074608604000005,0.0,0.0,0.0
t167,63.074608604000005,0.0,0.0,0.0
t168,63.074608604000005,0.0,0.0,0.0
t169,86.46424458799987,0.0,0.0,0.0
t170,86.46424458799987,0.0,0.0,0.0
t171,86.46424458799987,0.0,0.0,0.0
t172,86.46424458799987,0.0,0.0,0.0
t173,86.46424458799987,0.0,0.0,0.0
t174,86.46424458799987,0.0,0.0,0.0
t175,86.46424458799987,0.0,0.0,0.0
t176,86.46424458799987,0.0,0.0,0.0
t177,86.46424458799987,0.0,0.0,0.0
t178,86.46424458799987,0.0,0.0,0.0
t179,86.46424458799987,0.0,0.0,0.0
t180,86.46424458799987,0.0,0.0,0.0
t181,86.46424458799987,0.0,0.0,0.0
t182,86.46424458799987,0.0,0.0,0.0
