Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,-56.42582688829205
t2,0.0,0.0,0.0,-56.42582688829205
t3,0.0,0.0,0.0,-56.42582688829205
t4,0.0,0.0,0.0,-56.42582688829205
t5,0.0,0.0,0.0,-56.42582688829205
t6,0.0,0.0,0.0,-56.42582688829205
t7,0.0,0.0,0.0,-56.42582688829205
t8,0.0,0.0,0.0,-56.42582688829205
t9,0.0,0.0,0.0,-56.42582688829205
t10,0.0,0.0,0.0,-56.42582688829205
t11,0.0,0.0,0.0,-56.42582688829205
t12,0.0,0.0,0.0,-56.42582688829205
t13,0.0,0.0,0.0,-56.42582688829205
t14,0.0,0.0,0.0,-56.42582688829205
t15,0.0,0.0,0.0,-56.42582688829205
t16,0.0,0.0,0.0,-56.42582688829205
t17,0.0,0.0,0.0,-56.42582688829205
t18,0.0,0.0,0.0,-56.42582688829205
t19,0.0,0.0,0.0,-56.42582688829205
t20,0.0,0.0,0.0,-56.42582688829205
t21,0.0,0.0,0.0,-56.42582688829205
t22,0.0,0.0,0.0,-56.42582688829205
t23,0.0,0.0,0.0,-56.42582688829205
t24,0.0,0.0,0.0,-56.42582688829205
t25,0.0,0.0,0.0,-56.42582688829205
t26,0.0,0.0,0.0,-56.42582688829205
t27,0.0,0.0,0.0,-56.42582688829205
t28,0.0,0.0,0.0,-56.42582688829205
t29,0.0,0.0,0.0,-56.42582688829205
t30,0.0,0.0,0.0,-56.42582688829205
t31,0.0,0.0,0.0,-56.42582688829205
t32,0.0,0.0,0.0,-56.42582688829205
t33,0.0,0.0,0.0,-56.42582688829205
t34,0.0,0.0,0.0,-56.42582688829205
t35,0.0,0.0,0.0,-56.42582688829205
t36,0.0,0.0,0.0,-56.42582688829205
t37,0.0,0.0,0.0,-56.42582688829205
t38,0.0,0.0,0.0,-56.42582688829205
t39,0.0,0.0,0.0,-56.42582688829205
t40,0.0,0.0,0.0,-56.42582688829205
t41,0.0,0.0,0.0,-56.42582688829205
t42,0.0,0.0,0.0,-56.42582688829205
t43,0.0,0.0,0.0,-56.42582688829205
t44,0.0,0.0,0.0,-56.42582688829205
t45,0.0,0.0,0.0,-56.42582688829205
t46,0.0,0.0,0.0,-56.42582688829205
t47,0.0,0.0,0.0,-56.42582688829205
t48,0.0,0.0,0.0,-56.42582688829205
t49,0.0,0.0,0.0,-56.42582688829205
t50,0.0,0.0,0.0,-56.42582688829205
t51,0.0,0.0,0.0,-56.42582688829205
t52,0.0,0.0,0.0,-56.42582688829205
t53,0.0,0.0,0.0,-56.42582688829205
t54,0.0,0.0,0.0,-56.42582688829205
t55,0.0,0.0,0.0,-56.42582688829205
t56,0.0,0.0,0.0,-56.42582688829205
t57,0.0,0.0,0.0,-56.42582688829205
t58,0.0,0.0,0.0,-56.42582688829205
t59,0.0,0.0,0.0,-56.42582688829205
t60,0.0,0.0,0.0,-56.42582688829205
t61,0.0,0.0,0.0,-56.42582688829205
t62,0.0,0.0,0.0,-56.42582688829205
t63,0.0,0.0,0.0,-56.42582688829205
t64,0.0,0.0,0.0,-56.42582688829205
t65,0.0,0.0,0.0,-56.42582688829205
t66,0.0,0.0,0.0,-56.42582688829205
t67,0.0,0.0,0.0,-56.42582688829205
t68,0.0,0.0,0.0,-56.42582688829205
t69,0.0,0.0,0.0,-56.42582688829205
t70,0.0,0.0,0.0,-56.42582688829205
t71,0.0,0.0,0.0,-56.42582688829205
t72,0.0,0.0,0.0,-56.42582688829205
t73,0.0,0.0,0.0,-56.42582688829205
t74,0.0,0.0,0.0,-56.42582688829205
t75,0.0,0.0,0.0,-56.42582688829205
t76,0.0,0.0,0.0,-56.42582688829205
t77,0.0,0.0,0.0,-56.42582688829205
t78,0.0,0.0,0.0,-56.42582688829205
t79,0.0,0.0,0.0,-56.42582688829205
t80,0.0,0.0,0.0,-56.42582688829205
t81,0.0,0.0,0.0,-56.42582688829205
t82,0.0,0.0,0.0,-56.42582688829205
t83,0.0,0.0,0.0,-56.42582688829205
t84,0.0,0.0,0.0,-56.42582688829205
t85,0.0,0.0,0.0,-56.42582688829205
t86,0.0,0.0,0.0,-56.42582688829205
t87,0.0,0.0,0.0,-56.42582688829205
t88,0.0,0.0,0.0,-56.42582688829205
t89,0.0,0.0,0.0,-56.42582688829205
t90,0.0,0.0,0.0,-56.42582688829205
t91,0.0,0.0,0.0,-56.42582688829205
t92,0.0,0.0,0.0,-56.42582688829205
t93,0.0,0.0,0.0,-56.42582688829205
t94,0.0,0.0,0.0,-56.42582688829205
t95,0.0,0.0,0.0,-56.42582688829205
t96,0.0,0.0,0.0,-56.42582688829205
t97,0.0,0.0,0.0,-56.42582688829205
t98,0.0,0.0,0.0,-56.42582688829205
t99,0.0,0.0,0.0,-56.42582688829205
t100,0.0,0.0,0.0,-56.42582688829205
t101,0.0,0.0,0.0,-56.42582688829205
t102,0.0,0.0,0.0,-56.42582688829205
t103,0.0,0.0,0.0,-56.42582688829205
t104,0.0,0.0,0.0,-56.42582688829205
t105,0.0,0.0,0.0,-56.42582688829205
t106,0.0,0.0,0.0,-56.42582688829205
t107,0.0,0.0,0.0,-56.42582688829205
t108,0.0,0.0,0.0,-56.42582688829205
t109,0.0,0.0,0.0,-56.42582688829205
t110,0.0,0.0,0.0,-56.42582688829205
t111,0.0,0.0,0.0,-56.42582688829205
t112,0.0,0.0,0.0,-56.42582688829205
t113,0.0,0.0,0.0,-56.42582688829205
t114,0.0,0.0,0.0,-56.42582688829205
t115,0.0,0.0,0.0,-56.42582688829205
t116,0.0,0.0,0.0,-56.42582688829205
t117,0.0,0.0,0.0,-56.42582688829205
t118,0.0,0.0,0.0,-56.42582688829205
t119,0.0,0.0,0.0,-56.42582688829205
t120,0.0,0.0,0.0,-56.42582688829205
t121,0.0,0.0,0.0,-56.42582688829205
t122,0.0,0.0,0.0,-56.42582688829205
t123,0.0,0.0,0.0,-56.42582688829205
t124,0.0,0.0,0.0,-56.42582688829205
t125,0.0,0.0,0.0,-56.42582688829205
t126,0.0,0.0,0.0,-56.42582688829205
t127,0.0,0.0,0.0,-56.42582688829205
t128,0.0,0.0,0.0,-56.42582688829205
t129,0.0,0.0,0.0,-56.42582688829205
t130,0.0,0.0,0.0,-56.42582688829205
t131,0.0,0.0,0.0,-56.42582688829205
t132,0.0,0.0,0.0,-56.42582688829205
t133,0.0,0.0,0.0,-56.42582688829205
t134,0.0,0.0,0.0,-56.42582688829205
t135,0.0,0.0,0.0,-56.42582688829205
t136,0.0,0.0,0.0,-56.42582688829205
t137,0.0,0.0,0.0,-56.42582688829205
t138,0.0,0.0,0.0,-56.42582688829205
t139,0.0,0.0,0.0,-56.42582688829205
t140,0.0,0.0,0.0,-56.42582688829205
t141,0.0,0.0,0.0,-56.42582688829205
t142,0.0,0.0,0.0,-56.42582688829205
t143,0.0,0.0,0.0,-56.42582688829205
t144,0.0,0.0,0.0,-56.42582688829205
t145,0.0,0.0,0.0,-56.42582688829205
t146,0.0,0.0,0.0,-56.42582688829205
t147,0.0,0.0,0.0,-56.42582688829205
t148,0.0,0.0,0.0,-56.42582688829205
t149,0.0,0.0,0.0,-56.42582688829205
t150,0.0,0.0,0.0,-56.42582688829205
t151,0.0,0.0,0.0,-56.42582688829205
t152,0.0,0.0,0.0,-56.42582688829205
t153,0.0,0.0,0.0,-56.42582688829205
t154,0.0,0.0,0.0,-56.42582688829205
t155,0.0,0.0,0.0,-56.42582688829205
t156,0.0,0.0,0.0,-56.42582688829205
t157,0.0,0.0,0.0,-56.42582688829205
t158,0.0,0.0,0.0,-56.42582688829205
t159,0.0,0.0,0.0,-56.42582688829205
t160,0.0,0.0,0.0,-56.42582688829205
t161,0.0,0.0,0.0,-56.42582688829205
