Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,5.200109944456068e6,2.0324528382871527e7,1.596092347101397e7,1.1446162078891639e7,5.293172387723321e7
t1,935.8114314261686,0.0,3395.4136366119337,5187.774931961896,9518.999999999998
t2,720.5201059074468,0.0,2007.3260799084703,6372.153814184083,9100.0
t3,718.2401059074468,0.0,2269.083980686885,5884.67591340567,8872.000000000002
t4,966.0404314261687,0.0,1543.7313663894377,6306.228202184395,8816.0
t5,720.0401059074468,0.0,2065.1876086325865,6266.772285459967,9052.0
t6,924.9324314261684,2217.6319087819575,4017.493853331514,2611.9418064603615,9772.000000000002
t7,743.2801059074468,3853.651388018731,1740.5226830563802,5038.545823017441,11375.999999999998
t8,755.8762180451129,9043.135194863818,1456.1755969123874,1543.8129901786815,12799.0
t9,762.5562180451128,14052.506765462656,910.7836400842748,0.0,15725.846623592044
t10,788.3767894736841,18093.775066237897,1145.5492915912723,2078.138893704681,22105.840041007534
t11,809.9505563909773,19279.51395485905,2443.4656392587003,1702.1716330609033,24235.101783569633
t12,822.4078496240602,19144.429777674355,5190.754608702707,499.84059031470133,25657.432826315824
t13,822.8878496240602,19219.47654277696,0.0,3081.454512114753,23123.818904515774
t14,823.8378496240603,17879.891785695476,7596.543781310993,0.0,26300.273416630527
t15,822.9878496240601,16664.134191033285,8728.151375973186,0.0,26215.27341663053
t16,818.9537819548873,13313.296129202003,4074.690990130848,3944.6662576713975,22151.607158959134
t17,820.4826315789473,9726.060757297517,4911.215924812037,5332.757051471014,20790.516365159514
t18,821.8416090225566,5583.479323633759,9076.438381032185,5332.757051471014,20814.516365159514
t19,1686.989188621648,1155.7201825801064,11576.290628798246,0.0,14419.0
t20,3804.1440649445894,0.0,7670.51708285449,2892.3388522009204,14367.0
t21,3802.1230649445897,0.0,382.19034483242666,10229.686590222984,14414.0
t22,3840.65106494459,0.0,4579.41468786966,5097.934247185752,13518.000000000004
t23,3901.6250649445897,0.0,3004.690861642088,5193.684073413322,12100.0
t24,3956.3640649445897,0.0,4417.4213968801605,2453.2145381752516,10827.000000000004
t25,3992.44106494459,0.0,4315.3310888317865,1680.2278462236227,9987.999999999998
t26,4012.3930649445897,0.0,2427.543312163533,3084.063622891878,9524.0
t27,4021.93906494459,0.0,3993.602564949107,1286.4583701063032,9302.0
t28,3841.428221620401,0.0,5373.571778379599,0.0,9215.0
t29,4015.27406494459,0.0,5441.725935055409,0.0,9456.999999999998
t30,3981.04606494459,0.0,5597.943730083359,674.0102049720509,10253.0
t31,3910.61206494459,2183.860864485785,1505.3675329597856,4291.159537609839,11891.0
