Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
Sum,249705.47999999978,0.0,0.0,0.0,249705.47999999978
t1,95.19,0.0,0.0,0.0,95.19
t2,91.0,0.0,0.0,0.0,91.0
t3,88.72,0.0,0.0,0.0,88.72
t4,88.16,0.0,0.0,0.0,88.16
t5,90.52,0.0,0.0,0.0,90.52
t6,97.72,0.0,0.0,0.0,97.72
t7,113.76,0.0,0.0,0.0,113.76
t8,127.99000000000001,0.0,0.0,0.0,127.99000000000001
t9,134.67000000000002,0.0,0.0,0.0,134.67000000000002
t10,139.23,0.0,0.0,0.0,139.23
t11,143.04,0.0,0.0,0.0,143.04
t12,145.24,0.0,0.0,0.0,145.24
t13,145.72,0.0,0.0,0.0,145.72
t14,146.67000000000002,0.0,0.0,0.0,146.67000000000002
t15,145.82,0.0,0.0,0.0,145.82
t16,144.63,0.0,0.0,0.0,144.63
t17,144.9,0.0,0.0,0.0,144.9
t18,145.14000000000001,0.0,0.0,0.0,145.14000000000001
t19,144.19,0.0,0.0,0.0,144.19
t20,143.67000000000002,0.0,0.0,0.0,143.67000000000002
t21,144.14000000000001,0.0,0.0,0.0,144.14000000000001
t22,135.18,0.0,0.0,0.0,135.18
t23,121.0,0.0,0.0,0.0,121.0
t24,108.27,0.0,0.0,0.0,108.27
t25,99.88,0.0,0.0,0.0,99.88
t26,95.24,0.0,0.0,0.0,95.24
t27,93.02,0.0,0.0,0.0,93.02
t28,92.15,0.0,0.0,0.0,92.15
t29,94.57000000000001,0.0,0.0,0.0,94.57000000000001
t30,102.53,0.0,0.0,0.0,102.53
t31,118.91,0.0,0.0,0.0,118.91
t32,132.38,0.0,0.0,0.0,132.38
t33,137.97,0.0,0.0,0.0,137.97
t34,141.75,0.0,0.0,0.0,141.75
t35,145.38,0.0,0.0,0.0,145.38
t36,147.05,0.0,0.0,0.0,147.05
t37,146.93,0.0,0.0,0.0,146.93
t38,147.06,0.0,0.0,0.0,147.06
t39,145.93,0.0,0.0,0.0,145.93
t40,144.98,0.0,0.0,0.0,144.98
t41,145.04,0.0,0.0,0.0,145.04
t42,145.42000000000002,0.0,0.0,0.0,145.42000000000002
t43,143.87,0.0,0.0,0.0,143.87
t44,142.84,0.0,0.0,0.0,142.84
t45,143.59,0.0,0.0,0.0,143.59
t46,135.79,0.0,0.0,0.0,135.79
t47,122.38,0.0,0.0,0.0,122.38
t48,109.49000000000001,0.0,0.0,0.0,109.49000000000001
t49,100.25,0.0,0.0,0.0,100.25
t50,95.72,0.0,0.0,0.0,95.72
t51,93.31,0.0,0.0,0.0,93.31
t52,92.51,0.0,0.0,0.0,92.51
t53,94.94,0.0,0.0,0.0,94.94
t54,102.24000000000001,0.0,0.0,0.0,102.24000000000001
t55,118.93,0.0,0.0,0.0,118.93
t56,133.04,0.0,0.0,0.0,133.04
t57,139.62,0.0,0.0,0.0,139.62
t58,143.97,0.0,0.0,0.0,143.97
t59,147.89000000000001,0.0,0.0,0.0,147.89000000000001
t60,150.46,0.0,0.0,0.0,150.46
t61,151.70000000000002,0.0,0.0,0.0,151.70000000000002
t62,153.35,0.0,0.0,0.0,153.35
t63,153.17000000000002,0.0,0.0,0.0,153.17000000000002
t64,152.11,0.0,0.0,0.0,152.11
t65,152.32,0.0,0.0,0.0,152.32
t66,152.02,0.0,0.0,0.0,152.02
t67,149.77,0.0,0.0,0.0,149.77
t68,148.03,0.0,0.0,0.0,148.03
t69,150.6,0.0,0.0,0.0,150.6
t70,144.28,0.0,0.0,0.0,144.28
t71,129.34,0.0,0.0,0.0,129.34
t72,114.8,0.0,0.0,0.0,114.8
t73,104.81,0.0,0.0,0.0,104.81
t74,98.8,0.0,0.0,0.0,98.8
t75,95.45,0.0,0.0,0.0,95.45
t76,94.07000000000001,0.0,0.0,0.0,94.07000000000001
t77,96.10000000000001,0.0,0.0,0.0,96.10000000000001
t78,103.37,0.0,0.0,0.0,103.37
t79,120.5,0.0,0.0,0.0,120.5
t80,135.0,0.0,0.0,0.0,135.0
t81,142.20000000000002,0.0,0.0,0.0,142.20000000000002
t82,147.57,0.0,0.0,0.0,147.57
t83,151.99,0.0,0.0,0.0,151.99
t84,154.58,0.0,0.0,0.0,154.58
t85,155.35,0.0,0.0,0.0,155.35
t86,156.03,0.0,0.0,0.0,156.03
t87,155.62,0.0,0.0,0.0,155.62
t88,154.21,0.0,0.0,0.0,154.21
t89,153.5,0.0,0.0,0.0,153.5
t90,151.31,0.0,0.0,0.0,151.31
t91,148.11,0.0,0.0,0.0,148.11
t92,146.44,0.0,0.0,0.0,146.44
t93,149.0,0.0,0.0,0.0,149.0
t94,142.78,0.0,0.0,0.0,142.78
t95,127.95,0.0,0.0,0.0,127.95
t96,113.38,0.0,0.0,0.0,113.38
t97,103.85000000000001,0.0,0.0,0.0,103.85000000000001
t98,98.62,0.0,0.0,0.0,98.62
t99,95.49,0.0,0.0,0.0,95.49
t100,94.51,0.0,0.0,0.0,94.51
t101,96.51,0.0,0.0,0.0,96.51
t102,103.65,0.0,0.0,0.0,103.65
t103,119.08,0.0,0.0,0.0,119.08
t104,132.51,0.0,0.0,0.0,132.51
t105,139.08,0.0,0.0,0.0,139.08
t106,143.14000000000001,0.0,0.0,0.0,143.14000000000001
t107,146.16,0.0,0.0,0.0,146.16
t108,148.21,0.0,0.0,0.0,148.21
t109,148.54,0.0,0.0,0.0,148.54
t110,149.1,0.0,0.0,0.0,149.1
t111,148.34,0.0,0.0,0.0,148.34
t112,147.61,0.0,0.0,0.0,147.61
t113,147.57,0.0,0.0,0.0,147.57
t114,146.37,0.0,0.0,0.0,146.37
t115,143.73,0.0,0.0,0.0,143.73
t116,141.5,0.0,0.0,0.0,141.5
t117,143.37,0.0,0.0,0.0,143.37
t118,139.26,0.0,0.0,0.0,139.26
t119,128.14000000000001,0.0,0.0,0.0,128.14000000000001
t120,115.57000000000001,0.0,0.0,0.0,115.57000000000001
t121,106.01,0.0,0.0,0.0,106.01
t122,100.23,0.0,0.0,0.0,100.23
t123,96.71000000000001,0.0,0.0,0.0,96.71000000000001
t124,94.93,0.0,0.0,0.0,94.93
t125,95.14,0.0,0.0,0.0,95.14
t126,96.57000000000001,0.0,0.0,0.0,96.57000000000001
t127,102.10000000000001,0.0,0.0,0.0,102.10000000000001
t128,112.53,0.0,0.0,0.0,112.53
t129,124.82000000000001,0.0,0.0,0.0,124.82000000000001
t130,134.87,0.0,0.0,0.0,134.87
t131,141.78,0.0,0.0,0.0,141.78
t132,146.23,0.0,0.0,0.0,146.23
t133,148.9,0.0,0.0,0.0,148.9
t134,149.74,0.0,0.0,0.0,149.74
t135,150.31,0.0,0.0,0.0,150.31
t136,150.31,0.0,0.0,0.0,150.31
t137,151.37,0.0,0.0,0.0,151.37
t138,151.37,0.0,0.0,0.0,151.37
t139,149.26,0.0,0.0,0.0,149.26
t140,146.47,0.0,0.0,0.0,146.47
t141,147.88,0.0,0.0,0.0,147.88
t142,143.70000000000002,0.0,0.0,0.0,143.70000000000002
t143,131.91,0.0,0.0,0.0,131.91
t144,119.21000000000001,0.0,0.0,0.0,119.21000000000001
t145,108.63,0.0,0.0,0.0,108.63
t146,101.83,0.0,0.0,0.0,101.83
t147,97.27,0.0,0.0,0.0,97.27
t148,94.51,0.0,0.0,0.0,94.51
t149,93.25,0.0,0.0,0.0,93.25
t150,91.81,0.0,0.0,0.0,91.81
t151,95.04,0.0,0.0,0.0,95.04
t152,103.31,0.0,0.0,0.0,103.31
t153,113.69,0.0,0.0,0.0,113.69
t154,122.88,0.0,0.0,0.0,122.88
t155,128.8,0.0,0.0,0.0,128.8
t156,132.81,0.0,0.0,0.0,132.81
t157,135.19,0.0,0.0,0.0,135.19
t158,135.58,0.0,0.0,0.0,135.58
t159,135.86,0.0,0.0,0.0,135.86
t160,136.57,0.0,0.0,0.0,136.57
t161,137.87,0.0,0.0,0.0,137.87
t162,138.45000000000002,0.0,0.0,0.0,138.45000000000002
t163,136.22,0.0,0.0,0.0,136.22
t164,133.63,0.0,0.0,0.0,133.63
t165,136.17000000000002,0.0,0.0,0.0,136.17000000000002
t166,133.37,0.0,0.0,0.0,133.37
t167,124.17,0.0,0.0,0.0,124.17
t168,113.32000000000001,0.0,0.0,0.0,113.32000000000001
t169,129.33,0.0,0.0,0.0,129.33
t170,120.55,0.0,0.0,0.0,120.55
t171,115.0,0.0,0.0,0.0,115.0
t172,111.89,0.0,0.0,0.0,111.89
t173,112.2,0.0,0.0,0.0,112.2
t174,116.25,0.0,0.0,0.0,116.25
t175,129.41,0.0,0.0,0.0,129.41
t176,145.28,0.0,0.0,0.0,145.28
t177,156.31,0.0,0.0,0.0,156.31
t178,165.09,0.0,0.0,0.0,165.09
t179,172.08,0.0,0.0,0.0,172.08
t180,176.77,0.0,0.0,0.0,176.77
t181,180.14000000000001,0.0,0.0,0.0,180.14000000000001
t182,183.77,0.0,0.0,0.0,183.77
t183,185.92000000000002,0.0,0.0,0.0,185.92000000000002
t184,187.24,0.0,0.0,0.0,187.24
t185,188.44,0.0,0.0,0.0,188.44
t186,187.74,0.0,0.0,0.0,187.74
t187,182.58,0.0,0.0,0.0,182.58
t188,175.58,0.0,0.0,0.0,175.58
t189,171.79,0.0,0.0,0.0,171.79
t190,165.67000000000002,0.0,0.0,0.0,165.67000000000002
t191,149.44,0.0,0.0,0.0,149.44
t192,132.91,0.0,0.0,0.0,132.91
t193,120.88,0.0,0.0,0.0,120.88
t194,113.32000000000001,0.0,0.0,0.0,113.32000000000001
t195,108.5,0.0,0.0,0.0,108.5
t196,106.27,0.0,0.0,0.0,106.27
t197,106.93,0.0,0.0,0.0,106.93
t198,110.95,0.0,0.0,0.0,110.95
t199,124.17,0.0,0.0,0.0,124.17
t200,139.94,0.0,0.0,0.0,139.94
t201,151.12,0.0,0.0,0.0,151.12
t202,159.8,0.0,0.0,0.0,159.8
t203,167.35,0.0,0.0,0.0,167.35
t204,172.38,0.0,0.0,0.0,172.38
t205,175.98,0.0,0.0,0.0,175.98
t206,180.27,0.0,0.0,0.0,180.27
t207,183.62,0.0,0.0,0.0,183.62
t208,186.08,0.0,0.0,0.0,186.08
t209,187.69,0.0,0.0,0.0,187.69
t210,186.82,0.0,0.0,0.0,186.82
t211,182.23,0.0,0.0,0.0,182.23
t212,175.55,0.0,0.0,0.0,175.55
t213,172.70000000000002,0.0,0.0,0.0,172.70000000000002
t214,167.91,0.0,0.0,0.0,167.91
t215,152.16,0.0,0.0,0.0,152.16
t216,136.14000000000001,0.0,0.0,0.0,136.14000000000001
t217,124.33,0.0,0.0,0.0,124.33
t218,116.85000000000001,0.0,0.0,0.0,116.85000000000001
t219,112.31,0.0,0.0,0.0,112.31
t220,110.22,0.0,0.0,0.0,110.22
t221,111.10000000000001,0.0,0.0,0.0,111.10000000000001
t222,115.77,0.0,0.0,0.0,115.77
t223,129.08,0.0,0.0,0.0,129.08
t224,145.32,0.0,0.0,0.0,145.32
t225,157.62,0.0,0.0,0.0,157.62
t226,167.31,0.0,0.0,0.0,167.31
t227,175.9,0.0,0.0,0.0,175.9
t228,182.83,0.0,0.0,0.0,182.83
t229,187.53,0.0,0.0,0.0,187.53
t230,191.39000000000001,0.0,0.0,0.0,191.39000000000001
t231,193.4,0.0,0.0,0.0,193.4
t232,194.81,0.0,0.0,0.0,194.81
t233,196.49,0.0,0.0,0.0,196.49
t234,196.05,0.0,0.0,0.0,196.05
t235,191.23000000000002,0.0,0.0,0.0,191.23000000000002
t236,183.97,0.0,0.0,0.0,183.97
t237,180.42000000000002,0.0,0.0,0.0,180.42000000000002
t238,175.32,0.0,0.0,0.0,175.32
t239,159.23,0.0,0.0,0.0,159.23
t240,142.31,0.0,0.0,0.0,142.31
t241,129.98,0.0,0.0,0.0,129.98
t242,121.94,0.0,0.0,0.0,121.94
t243,116.56,0.0,0.0,0.0,116.56
t244,113.76,0.0,0.0,0.0,113.76
t245,114.35000000000001,0.0,0.0,0.0,114.35000000000001
t246,119.03,0.0,0.0,0.0,119.03
t247,133.13,0.0,0.0,0.0,133.13
t248,149.84,0.0,0.0,0.0,149.84
t249,162.84,0.0,0.0,0.0,162.84
t250,173.71,0.0,0.0,0.0,173.71
t251,184.41,0.0,0.0,0.0,184.41
t252,192.79,0.0,0.0,0.0,192.79
t253,197.26,0.0,0.0,0.0,197.26
t254,202.13,0.0,0.0,0.0,202.13
t255,205.45000000000002,0.0,0.0,0.0,205.45000000000002
t256,207.56,0.0,0.0,0.0,207.56
t257,209.06,0.0,0.0,0.0,209.06
t258,207.35,0.0,0.0,0.0,207.35
t259,201.52,0.0,0.0,0.0,201.52
t260,192.67000000000002,0.0,0.0,0.0,192.67000000000002
t261,188.45000000000002,0.0,0.0,0.0,188.45000000000002
t262,181.83,0.0,0.0,0.0,181.83
t263,164.9,0.0,0.0,0.0,164.9
t264,147.49,0.0,0.0,0.0,147.49
t265,134.04,0.0,0.0,0.0,134.04
t266,125.43,0.0,0.0,0.0,125.43
t267,120.16,0.0,0.0,0.0,120.16
t268,117.26,0.0,0.0,0.0,117.26
t269,117.84,0.0,0.0,0.0,117.84
t270,122.60000000000001,0.0,0.0,0.0,122.60000000000001
t271,135.8,0.0,0.0,0.0,135.8
