Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,0.0,1.0,0.076558188,0.0,1.0,0.059924081,1.0,1.0,1.0
2,1.0,0.0,1.0,0.080270179,0.0,1.0,0.068389259,1.0,1.0,1.0
3,1.0,0.0,1.0,0.086002328,0.0,1.0,0.059497163,1.0,1.0,1.0
4,1.0,0.0,1.0,0.048127584,0.0,1.0,0.08310324,1.0,1.0,1.0
5,1.0,0.0,1.0,0.01575792,0.0,1.0,0.102144554,1.0,1.0,1.0
6,1.0,0.0,1.0,0.012967503,0.0,1.0,0.122772872,1.0,1.0,1.0
7,1.0,0.0,1.0,0.002141553,0.0,1.0,0.171073705,1.0,1.0,1.0
8,1.0,0.0,1.0,0.0030981,0.0,1.0,0.219397694,1.0,1.0,1.0
9,1.0,0.1184,1.0,0.000234923,0.0845,1.0,0.200007498,1.0,1.0,1.0
10,1.0,0.2778,1.0,0.000373551,0.2591,1.0,0.220994174,1.0,1.0,1.0
11,1.0,0.3585,1.0,0.0,0.3346,1.0,0.209178418,1.0,1.0,1.0
12,1.0,0.3238,1.0,0.015729198,0.3968,1.0,0.203515097,1.0,1.0,1.0
13,1.0,0.3411,1.0,0.018590601,0.3904,1.0,0.227897614,1.0,1.0,1.0
14,1.0,0.3405,1.0,0.091118015,0.4161,1.0,0.209356695,1.0,1.0,1.0
15,1.0,0.286,1.0,0.052068722,0.324,1.0,0.324218661,1.0,1.0,1.0
16,1.0,0.1028,1.0,0.131338283,0.1612,1.0,0.288892925,1.0,1.0,1.0
17,1.0,0.0,1.0,0.101284891,0.0001,1.0,0.246395826,1.0,1.0,1.0
18,1.0,0.0,1.0,0.095428444,0.0,1.0,0.198073909,1.0,1.0,1.0
19,1.0,0.0,1.0,0.086883761,0.0,1.0,0.184009045,1.0,1.0,1.0
20,1.0,0.0,1.0,0.132991686,0.0,1.0,0.193628415,1.0,1.0,1.0
21,1.0,0.0,1.0,0.205821633,0.0,1.0,0.20093815,1.0,1.0,1.0
22,1.0,0.0,1.0,0.074472994,0.0,1.0,0.216271028,1.0,1.0,1.0
23,1.0,0.0,1.0,0.165889025,0.0,1.0,0.184818745,1.0,1.0,1.0
24,1.0,0.0,1.0,0.160590693,0.0,1.0,0.254487246,1.0,1.0,1.0
25,1.0,0.0,1.0,0.117114469,0.0,1.0,0.268106848,1.0,1.0,1.0
26,1.0,0.0,1.0,0.078465909,0.0,1.0,0.161822006,1.0,1.0,1.0
27,1.0,0.0,1.0,0.061367095,0.0,1.0,0.134925306,1.0,1.0,1.0
28,1.0,0.0,1.0,0.043661937,0.0,1.0,0.060418211,1.0,1.0,1.0
29,1.0,0.0,1.0,0.023071175,0.0,1.0,0.027239408,1.0,1.0,1.0
30,1.0,0.0,1.0,0.007497279,0.0,1.0,0.158860564,1.0,1.0,1.0
31,1.0,0.0,1.0,0.001299045,0.0,1.0,0.186404496,1.0,1.0,1.0
32,1.0,0.0,1.0,0.016654303,0.0,1.0,0.193140492,1.0,1.0,1.0
33,1.0,0.2628,1.0,0.052081291,0.2456,1.0,0.299835205,1.0,1.0,1.0
34,1.0,0.4358,1.0,0.224936306,0.3773,1.0,0.286743701,1.0,1.0,1.0
35,1.0,0.5505,1.0,0.453866512,0.5166,1.0,0.457011819,1.0,1.0,1.0
36,1.0,0.6131,1.0,0.627534211,0.613,1.0,0.489734203,1.0,1.0,1.0
37,1.0,0.609,1.0,0.449378669,0.5938,1.0,0.414665639,1.0,1.0,1.0
38,1.0,0.5835,1.0,0.328273296,0.5508,1.0,0.223110616,1.0,1.0,1.0
39,1.0,0.4465,1.0,0.206480235,0.4246,1.0,0.235763133,1.0,1.0,1.0
40,1.0,0.2661,1.0,0.092131212,0.274,1.0,0.274209142,1.0,1.0,1.0
41,1.0,0.0001,1.0,0.028178306,0.0198,1.0,0.150550276,1.0,1.0,1.0
42,1.0,0.0,1.0,0.004973742,0.0,1.0,0.123922095,1.0,1.0,1.0
43,1.0,0.0,1.0,0.0,0.0,1.0,0.064368874,1.0,1.0,1.0
44,1.0,0.0,1.0,0.0,0.0,1.0,0.036341872,1.0,1.0,1.0
45,1.0,0.0,1.0,8.7e-5,0.0,1.0,0.010988176,1.0,1.0,1.0
46,1.0,0.0,1.0,0.000580252,0.0,1.0,0.013313939,1.0,1.0,1.0
47,1.0,0.0,1.0,0.000215262,0.0,1.0,0.001893087,1.0,1.0,1.0
48,1.0,0.0,1.0,0.000211122,0.0,1.0,0.000821388,1.0,1.0,1.0
49,1.0,0.0,1.0,0.000134933,0.0,1.0,0.002997974,1.0,1.0,1.0
50,1.0,0.0,1.0,0.0,0.0,1.0,0.003709143,1.0,1.0,1.0
51,1.0,0.0,1.0,0.002359757,0.0,1.0,0.004126911,1.0,1.0,1.0
52,1.0,0.0,1.0,0.001893943,0.0,1.0,0.006304188,1.0,1.0,1.0
53,1.0,0.0,1.0,0.006628121,0.0,1.0,0.002161414,1.0,1.0,1.0
54,1.0,0.0,1.0,0.002035447,0.0,1.0,0.014361451,1.0,1.0,1.0
55,1.0,0.0,1.0,0.006758585,0.0,1.0,0.010724725,1.0,1.0,1.0
56,1.0,0.0,1.0,0.020066613,0.0,1.0,0.017475139,1.0,1.0,1.0
57,1.0,0.2441,1.0,0.033729102,0.212,1.0,0.030283447,1.0,1.0,1.0
58,1.0,0.4013,1.0,0.006448823,0.3715,1.0,0.040839165,1.0,1.0,1.0
59,1.0,0.4707,1.0,0.004795718,0.4482,1.0,0.068986885,1.0,1.0,1.0
60,1.0,0.4622,1.0,0.000178554,0.4504,1.0,0.105258435,1.0,1.0,1.0
61,1.0,0.4498,1.0,0.001431494,0.4597,1.0,0.074007317,1.0,1.0,1.0
62,1.0,0.4513,1.0,0.003724903,0.5072,1.0,0.140021384,1.0,1.0,1.0
63,1.0,0.4101,1.0,0.033406317,0.4786,1.0,0.180115163,1.0,1.0,1.0
64,1.0,0.279,1.0,0.016572453,0.3339,1.0,0.149695903,1.0,1.0,1.0
65,1.0,0.0,1.0,0.027135223,0.0059,1.0,0.156933904,1.0,1.0,1.0
66,1.0,0.0,1.0,0.030080557,0.0,1.0,0.171713799,1.0,1.0,1.0
67,1.0,0.0,1.0,0.041648112,0.0,1.0,0.151109785,1.0,1.0,1.0
68,1.0,0.0,1.0,0.079876676,0.0,1.0,0.224205047,1.0,1.0,1.0
69,1.0,0.0,1.0,0.145102277,0.0,1.0,0.279782861,1.0,1.0,1.0
70,1.0,0.0,1.0,0.203439325,0.0,1.0,0.36195749,1.0,1.0,1.0
71,1.0,0.0,1.0,0.188324541,0.0,1.0,0.220815629,1.0,1.0,1.0
72,1.0,0.0,1.0,0.240235493,0.0,1.0,0.225949705,1.0,1.0,1.0
73,1.0,0.0,1.0,0.303566724,0.0,1.0,0.208765715,1.0,1.0,1.0
74,1.0,0.0,1.0,0.29963851,0.0,1.0,0.273521781,1.0,1.0,1.0
75,1.0,0.0,1.0,0.228475019,0.0,1.0,0.253024995,1.0,1.0,1.0
76,1.0,0.0,1.0,0.367658466,0.0,1.0,0.191880211,1.0,1.0,1.0
77,1.0,0.0,1.0,0.540749788,0.0,1.0,0.223239437,1.0,1.0,1.0
78,1.0,0.0,1.0,0.244355246,0.0,1.0,0.235525474,1.0,1.0,1.0
79,1.0,0.0,1.0,0.274246573,0.0,1.0,0.201843485,1.0,1.0,1.0
80,1.0,0.0,1.0,0.294815779,0.0,1.0,0.355335712,1.0,1.0,1.0
81,1.0,0.1008,1.0,0.335892856,0.1014,1.0,0.130232111,1.0,1.0,1.0
82,1.0,0.2873,1.0,0.513114691,0.2966,1.0,0.26137948,1.0,1.0,1.0
83,1.0,0.5112,1.0,0.641800046,0.5176,1.0,0.452031046,1.0,1.0,1.0
84,1.0,0.536,1.0,0.966837883,0.5081,1.0,0.59516567,1.0,1.0,1.0
85,1.0,0.4996,1.0,0.900840104,0.4678,1.0,0.625353277,1.0,1.0,1.0
86,1.0,0.3911,1.0,0.957450688,0.4294,1.0,0.771235645,1.0,1.0,1.0
87,1.0,0.3097,1.0,0.99094224,0.3534,1.0,0.792427063,1.0,1.0,1.0
88,1.0,0.195,1.0,0.993954897,0.2745,1.0,0.637906671,1.0,1.0,1.0
89,1.0,0.0,1.0,0.990123212,0.0021,1.0,0.646645784,1.0,1.0,1.0
90,1.0,0.0,1.0,0.996523023,0.0,1.0,0.718746364,1.0,1.0,1.0
91,1.0,0.0,1.0,0.990251541,0.0,1.0,0.790166259,1.0,1.0,1.0
92,1.0,0.0,1.0,0.975010455,0.0,1.0,0.845876396,1.0,1.0,1.0
93,1.0,0.0,1.0,0.991715074,0.0,1.0,0.836680591,1.0,1.0,1.0
94,1.0,0.0,1.0,0.990609407,0.0,1.0,0.876152158,1.0,1.0,1.0
95,1.0,0.0,1.0,0.936151862,0.0,1.0,0.876746058,1.0,1.0,1.0
96,1.0,0.0,1.0,0.964827061,0.0,1.0,0.874910831,1.0,1.0,1.0
97,1.0,0.0,1.0,0.955295861,0.0,1.0,0.838257909,1.0,1.0,1.0
98,1.0,0.0,1.0,0.862646222,0.0,1.0,0.74078697,1.0,1.0,1.0
99,1.0,0.0,1.0,0.646329939,0.0,1.0,0.709523916,1.0,1.0,1.0
100,1.0,0.0,1.0,0.690088093,0.0,1.0,0.690028012,1.0,1.0,1.0
101,1.0,0.0,1.0,0.795232832,0.0,1.0,0.679357946,1.0,1.0,1.0
102,1.0,0.0,1.0,0.699535668,0.0,1.0,0.678755522,1.0,1.0,1.0
103,1.0,0.0,1.0,0.589400589,0.0,1.0,0.587219417,1.0,1.0,1.0
104,1.0,0.0,1.0,0.35798493,0.0,1.0,0.416735142,1.0,1.0,1.0
105,1.0,0.2494,1.0,0.286218286,0.2504,1.0,0.40310365,1.0,1.0,1.0
106,1.0,0.4516,1.0,0.411839545,0.4528,1.0,0.468285799,1.0,1.0,1.0
107,1.0,0.6247,1.0,0.250579447,0.6164,1.0,0.804417491,1.0,1.0,1.0
108,1.0,0.6776,1.0,0.172787219,0.6767,1.0,0.752506495,1.0,1.0,1.0
109,1.0,0.6841,1.0,0.032200903,0.6855,1.0,0.741857588,1.0,1.0,1.0
110,1.0,0.3469,1.0,0.013480432,0.3527,1.0,0.645751715,1.0,1.0,1.0
111,1.0,0.517,1.0,0.0,0.5361,1.0,0.550930977,1.0,1.0,1.0
112,1.0,0.3333,1.0,0.0,0.3622,1.0,0.438679636,1.0,1.0,1.0
113,1.0,0.0573,1.0,0.0,0.1022,1.0,0.424214482,1.0,1.0,1.0
114,1.0,0.0,1.0,0.0,0.0,1.0,0.287715375,1.0,1.0,1.0
115,1.0,0.0,1.0,0.0,0.0,1.0,0.265339911,1.0,1.0,1.0
116,1.0,0.0,1.0,1.66e-5,0.0,1.0,0.121478304,1.0,1.0,1.0
117,1.0,0.0,1.0,0.007335953,0.0,1.0,0.04245121,1.0,1.0,1.0
118,1.0,0.0,1.0,0.083141394,0.0,1.0,0.035009436,1.0,1.0,1.0
119,1.0,0.0,1.0,0.326634288,0.0,1.0,0.10085623,1.0,1.0,1.0
120,1.0,0.0,1.0,0.730880857,0.0,1.0,0.250245273,1.0,1.0,1.0
121,1.0,0.0,1.0,0.699592412,0.0,1.0,0.343538821,1.0,1.0,1.0
122,1.0,0.0,1.0,0.48583588,0.0,1.0,0.480004132,1.0,1.0,1.0
