,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.035708289655016e7,200307.64487113242,-236658.3705944382,0.0,0.0,1310.489664110889,0.0,7.100567468432312e6,-51142.807494695764,-2.7371467321428575e7,1.3127521976420797e7,0.0,0.0,0.0,0.0,282.410728021978,0.0,-5.277703361320995e6,-32962.20714651309,-7.81713881868132e6,5.572459303146318e6,0.0,0.0,0.0,0.0,134.8273901098901,0.0,-1.8228641071113178e6,-18180.600348182677,-3.731549423076923e6
t1,8068.504468988941,0.0,-0.0,0.0,-0.0,0.0,0.0,699.3681685012546,-6.872637490196937,-8761.0,2502.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2502.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-699.3681685012546,-6.872637490196937,-1195.0
t2,7743.263509984149,0.0,-0.0,0.0,-0.0,0.0,0.0,737.9886480036515,-7.25215798780031,-8474.0,2420.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2420.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-737.9886480036515,-7.25215798780031,-1156.0
t3,7585.652761776562,0.0,-0.0,0.0,-0.0,0.0,0.0,757.7940221074447,-7.446783884007166,-8336.0,2380.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2380.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-757.7940221074447,-7.446783884007166,-1136.0
t4,7516.808462493528,0.0,-0.0,0.0,-0.0,0.0,0.0,765.7161717489619,-7.524634242489909,-8275.0,2364.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2364.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-765.7161717489619,-7.524634242489909,-1128.0
t5,7579.652761776562,0.0,-0.0,0.0,-0.0,0.0,0.0,757.7940221074447,-7.446783884007166,-8330.0,2379.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2379.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-757.7940221074447,-7.446783884007166,-1136.0
t6,7836.068884087942,0.0,-0.0,0.0,-0.0,0.0,0.0,728.0859609517548,-7.154845039696881,-8557.0,2444.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2444.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-728.0859609517548,-7.154845039696881,-1166.0
t7,8292.978979069183,0.0,-0.0,0.0,-0.0,0.0,0.0,672.630913461134,-6.609892530317684,-8959.0,2559.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2559.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-672.630913461134,-6.609892530317684,-1222.0
t8,8791.811223691942,0.0,-0.0,0.0,-0.0,0.0,0.0,613.2147911497545,-6.026014841697115,-9399.0,2684.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2684.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-613.2147911497545,-6.026014841697115,-1282.0
