Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,2.110608642578125e6,0.0,1.319737548828125e6,1.1440562744140625e6,0.0,6.444935546875e6,0.0,0.0,0.0,1.1019338012695312e7
t1,2449.1707479274796,0.0,1614.8275681363536,2040.9381217886994,0.0,193.85235886252465,4790.601657741924,5589.469562817751,24195.934638214694,406.69430088297,41281.4889563724
t2,2449.1707479274796,0.0,1614.8275681363536,1999.2194861916175,0.0,193.85235886252465,4871.234708362372,5589.27257657525,24195.954758016698,407.1014022852553,41320.63360635755
t3,2449.1707479274796,0.0,1614.8275681363536,2104.0262967794774,0.0,193.85235886252465,5061.901857010121,5587.672241535752,24196.027213877853,406.69430088297,41614.17258501253
t4,2449.1707479274796,0.0,1614.8275681363536,1844.813994268971,0.0,193.85235886252465,3895.9362377188427,5588.907167143664,24195.90547799071,407.1014022852553,40190.5149543338
t5,2449.1707479274796,0.0,1614.8275681363536,1555.403464449998,0.0,193.85235886252465,4102.931565770172,5585.740806833451,24197.711514792143,407.01638370817494,40106.6544104803
t6,2449.1707479274796,0.0,1614.8275681363536,1682.3917388413124,0.0,193.85235886252465,5040.825387820304,5585.740806833451,24198.54838771355,406.72816720413067,41172.0851633391
t7,2449.1707479274796,0.0,1614.8275681363536,1865.8236079906187,0.0,193.85235886252465,4966.779617184449,5587.360741535752,24195.818493312894,407.1014022852553,41280.73453723532
t8,2449.1707479274796,0.0,1614.8275681363536,1636.8668194367078,0.0,193.85235886252465,4079.467737455309,5588.758913738381,24195.64140032563,406.69430088297,40165.27984676535
t9,2449.1707479274796,6933.681250499885,1614.8275681363536,2230.2539822385997,7163.0519845221725,193.85235886252465,4015.1534351015716,5590.319552471938,24199.440502000965,406.74198867030424,54796.493370431795
t10,2449.1707479274796,13009.817555535648,1614.8275681363536,628.1467735427765,14046.941624209112,193.85235886252465,1712.3953974849048,5590.4507673950875,24204.796738894183,407.0958711339725,63857.49540312204
t11,2449.1707479274796,17893.679475427984,1614.8275681363536,40.48982654040844,17568.19392838077,193.85235886252465,847.6237429194301,5591.332138972423,24207.677211583632,406.69430088297,70813.54129963397
t12,2449.1707479274796,16966.000742602482,1614.8275681363536,108.08212328105743,19341.509277959118,193.85235886252465,489.0047121257705,5591.332138972423,24207.96114043857,406.69430088297,71368.43511118875
t13,2449.1707479274796,18104.080837512116,1614.8275681363536,258.23908483885975,19220.961901780265,193.85235886252465,351.23926938826554,5591.332138972423,24208.5132870587,406.69430088297,72398.91149535995
t14,2449.1707479274796,16726.90828568869,1614.8275681363536,112.90398511113796,16302.446478502852,193.85235886252465,240.7409596495719,5591.332138972423,24206.29882812617,406.69430088297,67845.17565186018
t15,2449.1707479274796,13481.62667051219,1614.8275681363536,19.05205621166526,13425.1709470761,193.85235886252465,436.5099979134598,5590.464242277078,24204.185190148208,406.69430088297,61821.55407994803
t16,2449.1707479274796,9927.118811060527,1614.8275681363536,542.4254605633972,11515.44672445327,193.85235886252465,1063.5794877122357,5588.915375130586,24203.488820869792,406.77213844639857,57505.597493162575
t17,2449.1707479274796,3474.8103738137356,1614.8275681363536,811.5121437442731,5729.172667868487,193.85235886252465,2685.6651412562114,5586.934823668545,24199.662385049174,407.03552057156935,47152.64373089835
t18,2449.1707479274796,0.0,1614.8275681363536,1462.8329190017623,0.0,193.85235886252465,4783.946695184698,5585.740806833451,24197.317740516923,406.8125939408248,40694.501430404016
t19,2449.1707479274796,0.0,1614.8275681363536,2448.2346184284343,0.0,193.85235886252465,5736.159344744409,5588.062769331964,24195.742990315113,407.001279041087,42633.05167678736
t20,2449.1707479274796,0.0,1614.8275681363536,1110.9423695231546,0.0,193.85235886252465,5988.682432287185,5588.452658945541,24195.103674875223,406.8516325380338,41547.883443095496
t21,2449.1707479274796,0.0,1614.8275681363536,1885.253265506244,0.0,193.85235886252465,5759.590335782698,5585.740806833451,24198.314420009177,406.95818020660056,42093.70768326453
t22,2449.1707479274796,0.0,1614.8275681363536,1645.252995534851,0.0,193.85235886252465,5974.259047646627,5586.093308187737,24198.291799753937,407.1014022852553,42068.849228334766
t23,2449.1707479274796,0.0,1614.8275681363536,2140.4472359195493,0.0,193.85235886252465,5713.096305215638,5589.527700538803,24195.884942576122,406.69430088297,42303.50116005944
t24,2449.1707479274796,0.0,1614.8275681363536,1930.412866673132,0.0,193.85235886252465,5910.398520087319,5586.933934188805,24198.655022412164,407.1014022852553,42291.35242057303
t25,2449.1707479274796,0.0,1614.8275681363536,2105.8095570801543,0.0,193.85235886252465,6115.316733741313,5587.552233536307,24198.821808543496,406.89541996276716,42672.2464277904
t26,2449.1707479274796,0.0,1614.8275681363536,2840.576438227065,0.0,193.85235886252465,6063.143601600962,5587.740745963106,24199.230559735264,406.69430088297,43355.236321335724
t27,2449.1707479274796,0.0,1614.8275681363536,2620.929730177502,0.0,193.85235886252465,6454.343759477145,5590.473009733594,24196.37242430498,407.1014022852553,43527.071000904834
t28,2449.1707479274796,0.0,1614.8275681363536,2766.7812679302456,0.0,193.85235886252465,6803.93118306899,5587.795245963106,24199.208625215593,406.69430088297,44022.261297987265
t29,2449.1707479274796,0.0,1614.8275681363536,2949.2111091265137,0.0,193.85235886252465,6614.211205884852,5590.405640301736,24196.50172929945,407.1014022852553,44015.28176182416
t30,2449.1707479274796,0.0,1614.8275681363536,2695.250372919256,0.0,193.85235886252465,6372.750554498259,5587.720576500516,24198.61890651644,406.93783007156486,43519.12891543239
t31,2449.1707479274796,0.0,1614.8275681363536,2016.9815832746988,0.0,193.85235886252465,6260.24571153129,5586.47908346282,24198.50535009815,406.9594720601424,42727.02187535346
t32,2449.1707479274796,0.0,1614.8275681363536,797.8457564584699,0.0,193.85235886252465,7070.090295583622,5586.271245963106,24197.78817200665,407.1014022852553,42316.94754722346
t33,2449.1707479274796,3474.8103738137356,1614.8275681363536,1014.1768729693059,4203.2966693941,193.85235886252465,7116.276797815927,5590.660284632974,24197.21249578255,406.69430088297,50260.97847021792
t34,2449.1707479274796,10312.854641548105,1614.8275681363536,2216.307655884123,9656.479291800482,193.85235886252465,6884.78173995318,5591.332138972423,24203.269568200307,406.69430088297,63529.57001216794
t35,2449.1707479274796,11358.485653117743,1614.8275681363536,1369.525033819382,9586.688705591676,193.85235886252465,6575.3851376223365,5590.357499328733,24202.823940266386,407.1014022852553,63348.21804695787
t36,2449.1707479274796,12063.011426157043,1614.8275681363536,974.5564072802742,12819.261766808722,193.85235886252465,5359.668235460968,5591.332138972423,24204.244402649412,407.1014022852553,65677.02645454046
t37,2449.1707479274796,10666.711477780515,1614.8275681363536,1776.3386524174234,8292.390561355605,193.85235886252465,5187.434784968574,5590.606892684383,24202.397753817117,407.1014022852553,60380.83220023523
t38,2449.1707479274796,8317.229601174347,1614.8275681363536,2390.5304490316316,8733.340174220346,193.85235886252465,5497.652719175777,5589.625620903594,24202.93635262066,407.1014022852553,59396.266994337966
t39,2449.1707479274796,7590.388532156426,1614.8275681363536,2221.0921567210466,6135.226987628821,193.85235886252465,6004.978820847906,5591.332138972423,24200.196105457537,406.69430088297,56407.759717593486
t40,2449.1707479274796,4166.584549150966,1614.8275681363536,2056.9219828944406,6871.20044219443,193.85235886252465,6175.673913765956,5588.08746354158,24201.853879548507,406.95592775939355,53725.12883378164
t41,2449.1707479274796,847.9812471875721,1614.8275681363536,1506.405030598321,577.3584859092274,193.85235886252465,6662.446437686296,5586.4356610017385,24198.357774489155,406.9058230060934,44043.74113480476
t42,2449.1707479274796,0.0,1614.8275681363536,2328.3003317250727,0.0,193.85235886252465,6946.043661844616,5588.382640301736,24195.613463144593,406.99826355872517,43723.1890355011
t43,2449.1707479274796,0.0,1614.8275681363536,2551.8087534151405,0.0,193.85235886252465,6598.45050776381,5585.740806833451,24198.464493032574,406.69430088297,43599.0095368543
t44,2449.1707479274796,0.0,1614.8275681363536,2751.447320211899,0.0,193.85235886252465,6893.558242452781,5588.621640301736,24195.893248424116,406.69430088297,44094.06542719986
t45,2449.1707479274796,0.0,1614.8275681363536,2881.3092329302053,0.0,193.85235886252465,6677.443638256193,5588.893640301736,24196.036244376428,406.9338291124848,44008.46725990341
t46,2449.1707479274796,0.0,1614.8275681363536,2749.7241395838128,0.0,193.85235886252465,7139.67936646851,5586.563245963106,24198.84858811432,407.1014022852553,44339.76741734136
t47,2449.1707479274796,0.0,1614.8275681363536,2612.698499842075,0.0,193.85235886252465,7334.7023619788115,5587.064745963106,24198.923506713047,406.69430088297,44397.93409030637
t48,2449.1707479274796,0.0,1614.8275681363536,2918.810507691315,0.0,193.85235886252465,7211.6838673377015,5590.249640301736,24196.442013783213,407.1014022852553,44582.138106325576
t49,2449.1707479274796,0.0,1614.8275681363536,2985.847632306786,0.0,193.85235886252465,6424.066460623775,5590.5386403017355,24196.558065897636,406.69430088297,43861.55577493926
t50,2449.1707479274796,0.0,1614.8275681363536,2998.3192885550666,0.0,193.85235886252465,5771.978203177854,5587.902385725962,24199.3805101108,406.82076722420345,43222.25182972025
t51,2449.1707479274796,0.0,1614.8275681363536,3008.594747538377,0.0,193.85235886252465,6170.111557531346,5588.259241535752,24196.647450840195,407.1014022852553,43628.56507465728
t52,2449.1707479274796,0.0,1614.8275681363536,2564.9591551770914,0.0,193.85235886252465,6146.418031849581,5590.834140301736,24196.43191100418,406.93255053069964,43163.42646378965
t53,2449.1707479274796,0.0,1614.8275681363536,1670.330232774257,0.0,193.85235886252465,5867.807315297065,5588.002245963106,24198.719350923726,406.77910572762033,41989.48892561213
t54,2449.1707479274796,0.0,1614.8275681363536,1316.3243994812783,0.0,193.85235886252465,6136.3381344003765,5587.664745963106,24198.445670826983,406.86750553698135,41903.49113113509
t55,2449.1707479274796,0.0,1614.8275681363536,1385.6675574388291,0.0,193.85235886252465,6884.079138285689,5587.055205397663,24198.22615049457,407.0558706324368,42719.93459717555
