Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12549.534484100435,725.0654328800113
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.570920695023,4219.177354514058,1257.048253952863
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.141841390046,14498.628645037668,628.5241269764315
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.4068216653026,11090.76210137342,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9777423603255,21370.213391897032,531.9828210728517
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.1879942421551,12716.240237522547,625.7248338925057
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.758914937178,6837.516600966939,1157.7076549653573
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0238952124346,4492.177239465192,529.1835279889259
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.594815907458,6477.272475040271,84.08188298302477
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.16573660248,13758.996518162796,616.0647040558764
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.736657297503,21973.70785869435,1148.047525128728
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.307577992526,32253.159149217965,1680.0303462015797
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.878498687549,42532.61043974158,2212.0131672744315
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6945.449419382571,52812.06173026519,2743.995988347283
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7828.0203400775945,63091.51302078879,3275.978809420135
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8710.591260772617,69394.18116173631,3807.9616304929864
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9593.16218146764,69394.18116173631,4339.944451565838
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9593.16218146764,69394.18116173631,4339.944451565838
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.427161742897,69394.18116173631,3711.4203245894064
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8386.926310650058,69394.18116173631,3429.4452595089715
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9269.497231345082,67877.31708417162,3961.4280805818235
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8226.762211620338,57874.30531334496,3332.903953605392
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7184.027191895595,49109.39492330107,2704.3798266289605
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6141.292172170852,41446.34051844329,3236.362647701812
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5098.5571524461075,38725.17893297434,2607.8385207253805
