Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-81.30794949459857,-83.96392900816531
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802075,-81.34041610447812,-83.96392900816531
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802075,-81.34041610447812,-83.96392900816531
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802075,-81.34041610447812,-83.96392900816531
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447812,-83.96392900816531
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447811,-83.96392900816531
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447811,-83.96392900816531
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.34065329802074,-81.34041610447811,-83.96392900816531
