Zone,1,2,3,Total
CO2_Price_1,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-5100.633074761177,0.0,0.0
CO2_Price_3,0.0,0.0,0.0,0.0
AnnualSum,3905.680899500905,1363.5210096460592,0.0,5269.201909146965
t1,3693.7589031463385,687.2175692794444,0.0,4380.976472425783
t2,3453.802614545437,687.2175692794444,0.0,4141.020183824881
t3,3275.221576686658,687.2175692794444,0.0,3962.4391459661024
t4,3185.3382322019474,687.2175692794444,0.0,3872.555801481392
t5,3171.4823337042626,687.2175692794444,0.0,3858.699902983707
t6,3240.375415539906,687.2175692794444,0.0,3927.5929848193505
t7,3388.0731819829457,687.2175692794444,0.0,4075.29075126239
t8,3521.5159326917233,687.2175692794444,0.0,4208.733501971168
t9,3747.608497647721,687.2175692794444,0.0,4434.826066927166
t10,3969.748941730568,687.2175692794444,0.0,4656.966511010012
t11,4028.845350548362,757.583210046372,0.0,4786.428560594734
t12,4028.845350548362,804.4334376387211,0.0,4833.278788187084
t13,4028.845350548362,826.9279451082606,0.0,4855.773295656622
t14,4028.845350548362,785.3186985700504,0.0,4814.164049118413
t15,4028.845350548362,739.9731650519354,0.0,4768.818515600297
t16,4028.845350548362,766.2039595013791,0.0,4795.0493100497415
t17,4028.845350548362,1217.4659248844355,0.0,5246.311275432798
t18,4028.845350548362,1649.0269048900443,0.0,5677.872255438407
t19,4028.845350548362,1616.5361724811676,0.0,5645.3815230295295
t20,4028.845350548362,1447.5718647343058,0.0,5476.417215282668
t21,4028.845350548362,1249.5741923236733,0.0,5278.419542872036
t22,4028.845350548362,973.5889467086834,0.0,5002.434297257046
t23,3976.875480734731,687.2175692794444,0.0,4664.093050014175
t24,3579.716765302833,687.2175692794444,0.0,4266.934334582278
t25,3243.5420085237006,687.2175692794444,0.0,3930.759577803145
t26,3040.018587142703,687.2175692794444,0.0,3727.2361564221474
t27,2942.215350617252,687.2175692794444,0.0,3629.4329198966966
t28,2920.0404428422526,687.2175692794444,0.0,3607.258012121697
