Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,9906.967,0.0,3609.2302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13516.197
t1,9369.415215833616,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11188.475176783708
t2,8760.753372842944,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.813333793036
t3,8307.773106061544,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10126.833067011636
t4,8079.779239231819,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9898.83920018191
t5,8044.633018371904,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9863.692979321995
t6,8219.383971572104,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10038.443932522196
t7,8594.027183687898,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10413.08714463799
t8,8932.5117929212,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10751.57175387129
t9,9506.007566151326,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11325.067527101417
t10,10069.478575336303,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11888.538536286394
t11,10219.379748232814,0.0,2005.3173057381825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.697053970996
t12,10219.379748232814,0.0,2129.3295210603246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12348.709269293138
t13,10219.379748232814,0.0,2188.8723204710495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12408.252068703863
t14,10219.379748232814,0.0,2078.7329442872874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12298.1126925201
t15,10219.379748232814,0.0,1958.7036433524888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12178.083391585302
t16,10219.379748232814,0.0,2028.1363675142488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12247.516115747063
t17,10219.379748232814,0.0,3222.6235427892616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13442.003291022076
t18,10219.379748232814,0.0,4364.96235153029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14584.342099763104
t19,10219.379748232814,0.0,4278.959616633828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14498.339364866642
t20,10219.379748232814,0.0,3831.712309824964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14051.092058057777
t21,10219.379748232814,0.0,3307.6138956631494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13526.993643895963
t22,10219.379748232814,0.0,2577.0829363956304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12796.462684628445
t23,10087.555419205284,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11906.615380155376
t24,9080.141289306635,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10899.201250256727
t25,8227.41620249531,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10046.4761634454
t26,7711.168258039231,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9530.228218989323
t27,7463.085165317944,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9282.145126268035
t28,7406.8373365438965,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9225.897297493988
t29,7609.722128581436,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9428.782089531527
t30,8125.9700730375125,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9945.030033987605
t31,8901.358105183232,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10720.418066133323
t32,9537.141404988666,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11356.201365938758
t33,10219.379748232814,0.0,1915.053289217139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12134.433037449953
t34,10219.379748232814,0.0,2705.554562047584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12924.934310280398
t35,10219.379748232814,0.0,3295.449886097063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13514.829634329877
t36,10219.379748232814,0.0,3537.3095065155417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13756.689254748355
t37,10219.379748232814,0.0,3515.0263460986853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13734.406094331498
t38,10219.379748232814,0.0,3425.986465134495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13645.36621336731
t39,10219.379748232814,0.0,3382.4850976862654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13601.864845919079
t40,10219.379748232814,0.0,3590.930024814542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13810.309773047356
t41,10219.379748232814,0.0,4898.179916542877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15117.55966477569
t42,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t43,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t44,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t45,10219.379748232814,0.0,5030.741259625463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15250.121007858277
t46,10219.379748232814,0.0,4010.8121664235073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14230.191914656321
t47,10219.379748232814,0.0,2747.0636421434037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12966.443390376218
t48,10018.255510607403,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11837.315471557495
t49,9263.956704353244,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11083.016665303336
t50,8887.301110214878,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10706.361071164969
t51,8706.517926091472,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10525.577887041563
t52,8728.619534005606,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10547.679494955697
t53,9107.262746121398,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10926.32270707149
t54,10219.379748232814,0.0,1831.6962830597881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12051.076031292601
t55,10219.379748232814,0.0,3822.6380176895113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14042.017765922325
t56,10219.379748232814,0.0,4945.750906751575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15165.130654984388
t57,10219.379748232814,0.0,5135.969914200887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15355.3496624337
t58,10219.379748232814,0.0,5242.210950798892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15461.590699031705
t59,10219.379748232814,0.0,5381.834203994354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227168
t60,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t61,10219.379748232814,0.0,5344.402459306589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15563.782207539403
t62,10219.379748232814,0.0,5322.119298889735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15541.499047122548
t63,10219.379748232814,0.0,5262.449252500431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15481.829000733243
t64,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t65,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t66,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t67,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t68,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t69,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t70,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t71,10219.379748232814,0.0,4782.852205786846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002.231954019659
t72,10219.379748232814,0.0,3572.7041051355773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13792.083853368391
t73,10219.379748232814,0.0,2819.8899854512056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13039.26973368402
t74,10219.379748232814,0.0,2426.9749896440776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12646.35473787689
t75,10219.379748232814,0.0,2229.5471357728356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12448.92688400565
t76,10219.379748232814,0.0,2251.3661975489013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12470.745945781715
t77,10219.379748232814,0.0,2589.2144692689767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12808.59421750179
t78,10219.379748232814,0.0,3657.6944580094646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13877.074206242278
t79,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t80,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t81,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t82,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t83,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t84,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t85,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t86,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t87,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t88,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t89,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t90,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t91,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t92,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t93,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t94,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t95,10219.379748232814,0.0,4331.567752910255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14550.94750114307
t96,10219.379748232814,0.0,2991.9155499142935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13211.295298147106
t97,10219.379748232814,0.0,2144.2145907819204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12363.594339014733
t98,10095.600032151066,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11914.659993101157
t99,9865.573934398135,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11684.633895348226
t100,9824.415331515645,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11643.475292465737
t101,10123.714022087775,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11942.773983037867
t102,10219.379748232814,0.0,2696.467887889554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12915.847636122367
t103,10219.379748232814,0.0,4575.419660681145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14794.799408913957
t104,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t105,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t106,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t107,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t108,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t109,10219.379748232814,0.0,5368.690289098432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15588.070037331247
t110,10219.379748232814,0.0,5291.7943230301635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15511.174071262976
t111,10219.379748232814,0.0,5168.339748775773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15387.719497008587
t112,10219.379748232814,0.0,5268.498780590733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15487.878528823547
t113,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t114,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t115,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t116,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t117,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t118,10219.379748232814,0.0,5175.434135581392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15394.813883814206
t119,10219.379748232814,0.0,3745.7219569510785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13965.101705183892
t120,10219.379748232814,0.0,2513.2879284979945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12732.667676730809
t121,10119.681791164572,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11938.741752114664
t122,9684.790750274731,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11503.850711224823
t123,9461.816732345633,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11280.876693295724
t124,9406.58128559416,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11225.641246544252
t125,9680.778368252155,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11499.838329202246
t126,10219.379748232814,0.0,2249.390658715337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12468.770406948152
t127,10219.379748232814,0.0,4087.72822716194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14307.107975394754
t128,10219.379748232814,0.0,5193.6476732377805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15413.027421470593
t129,10219.379748232814,0.0,5321.119298889734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15540.499047122546
t130,10219.379748232814,0.0,5337.320454523546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15556.70020275636
t131,10219.379748232814,0.0,5268.498780590733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15487.878528823547
t132,10219.379748232814,0.0,5036.823264408505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15256.20301264132
t133,10219.379748232814,0.0,4782.852205786846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002.231954019659
t134,10219.379748232814,0.0,4649.290862704261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14868.670610937075
t135,10219.379748232814,0.0,4440.845935575983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14660.225683808796
t136,10219.379748232814,0.0,4512.679991531373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14732.059739764187
t137,10219.379748232814,0.0,5378.809439949202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15598.189188182016
t138,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t139,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t140,10219.379748232814,0.0,5381.834203994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15601.213952227166
t141,10219.379748232814,0.0,4848.616638981767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15067.996387214582
t142,10219.379748232814,0.0,4034.0953268403628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14253.475075073176
t143,10219.379748232814,0.0,2925.1186400266315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13144.498388259446
t144,10201.058543631436,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.118504581527
t145,9326.2367640505,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11145.296725000591
t146,8841.110276409183,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10660.170237359274
t147,8576.937957796337,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10395.997918746429
t148,8471.491828338543,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10290.551789288635
t149,8573.937957796337,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10392.997918746429
t150,8970.670395803689,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10789.73035675378
t151,9686.790750274731,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11505.850711224823
t152,10219.379748232814,0.0,2039.045898402282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12258.425646635096
t153,10219.379748232814,0.0,2808.7909292706004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13028.170677503414
t154,10219.379748232814,0.0,3279.2812071559906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13498.660955388805
t155,10219.379748232814,0.0,3411.810073545836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13631.18982177865
t156,10219.379748232814,0.0,3301.5318908801064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13520.911639112921
t157,10219.379748232814,0.0,3050.597978326173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13269.977726558987
t158,10219.379748232814,0.0,2767.2818491747807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12986.661597407594
t159,10219.379748232814,0.0,2568.9761675674376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12788.355915800252
t160,10219.379748232814,0.0,2705.554562047584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12924.934310280398
t161,10219.379748232814,0.0,3661.7640807699318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13881.143829002745
t162,10219.379748232814,0.0,4619.945792174526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14839.325540407339
t163,10219.379748232814,0.0,4444.903176313874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14664.282924546687
t164,10219.379748232814,0.0,3970.355657690591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14189.735405923406
t165,10219.379748232814,0.0,3520.0959688591524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13739.475717091966
t166,10219.379748232814,0.0,2871.49812172763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13090.877869960445
t167,10219.379748232814,0.0,2033.107051318373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12252.486799551187
t168,9510.03979707453,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11329.099758024622
t169,4782.669722172957,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.729683123049
t170,4782.669722172957,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.729683123049
t171,4782.669722172957,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.729683123049
t172,4782.669722172957,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.729683123049
t173,4782.669722172957,0.0,1819.0599609500914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.729683123049
