Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,10922.068728711469,10219.379748232814,0.0
MA_solar_pv,1,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,0.0,10384.589072321249,5381.834203994353,0.0
CT_onshore_wind,2,0.0,0.0,0.0,0.0
CT_solar_pv,2,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0,0.0
ME_onshore_wind,3,0.0,1476.3587788593427,0.0,0.0
MA_battery,1,0.0,0.0,0.0,0.0
CT_battery,2,0.0,0.0,0.0,0.0
ME_battery,3,0.0,749.5116967267965,0.0,0.0
Total,n/a,0.0,23532.528276618857,15601.213952227166,0.0
