Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,69025.24,0.0,0.0,0.0,69025.24
t1,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t2,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t3,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t4,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t5,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,292.8463150291782,0.0,0.0,749.5116967267975,13727.496541307144
t6,5810.540563674504,0.0,6298.543612792254,0.0,0.0,0.0,0.0,0.0,0.0,683.5264730613567,12792.610649528113
t7,5810.540563674504,0.0,4970.7460051382,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,11530.7982655395
t8,5810.540563674504,0.0,4214.0369993441445,0.0,0.0,0.0,0.0,0.0,0.0,466.08902532148625,10490.666588340133
t9,5810.540563674504,0.0,4064.2277138417776,0.0,0.0,0.0,0.0,0.0,0.0,478.8508990746608,10353.619176590943
t10,5810.540563674504,0.0,4035.1263529438074,0.0,0.0,0.0,0.0,0.0,0.0,494.4363924243688,10340.103309042679
t11,5810.540563674504,0.0,4019.717277778632,0.0,0.0,0.0,0.0,0.0,0.0,649.8036461298336,10480.061487582969
t12,5810.540563674504,0.0,4094.1874694559374,0.0,0.0,0.0,0.0,0.0,0.0,607.113274735982,10511.841307866423
t13,5810.540563674504,0.0,4266.2519729898795,0.0,0.0,0.0,0.0,0.0,0.0,269.3029013222109,10346.095437986594
t14,5810.540563674504,0.0,4391.241363743666,0.0,0.0,0.0,0.0,0.0,0.0,642.329185579903,10844.111112998073
t15,5810.540563674504,0.0,4578.725449874347,0.0,0.0,0.0,0.0,0.0,0.0,637.5323305331249,11026.798344081977
t16,5810.540563674504,0.0,4714.950613168902,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,11275.002873570204
t17,5810.540563674504,0.0,4474.398725965315,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,11034.450986366615
t18,5810.540563674504,0.0,3787.032256036947,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,10347.084516438248
t19,5810.540563674504,0.0,2776.7115428334155,0.0,0.0,0.0,0.0,0.0,0.0,669.729230425563,9256.981336933482
t20,5810.540563674504,0.0,2867.857119905284,0.0,0.0,0.0,0.0,0.0,0.0,606.3030532059097,9284.700736785697
t21,5810.540563674504,0.0,3326.185698030612,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,9886.237958431913
t22,5810.540563674504,0.0,4223.726693161454,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,10783.778953562754
t23,5810.540563674504,0.0,5312.549709003642,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,11872.601969404943
t24,5810.540563674504,0.0,6189.64636226264,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,12749.69862266394
t25,5810.540563674504,0.0,6717.617768190564,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13277.670028591863
t26,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t27,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t28,5810.540563674504,0.0,6874.597965876666,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13434.650226277967
t29,5810.540563674504,0.0,6856.840060251238,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,13416.89232065254
t30,5810.540563674504,0.0,5959.166298604994,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,12519.218559006295
t31,5810.540563674504,0.0,4514.923821839466,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,11074.976082240766
t32,5810.540563674504,0.0,3591.7424091993107,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,10151.794669600611
t33,5810.540563674504,0.0,3534.5926565940927,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,10094.644916995392
t34,5810.540563674504,0.0,2747.094890691589,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,9307.14715109289
t35,5810.540563674504,0.0,3300.3133788368496,0.0,0.0,0.0,0.0,0.0,0.0,749.5116967267975,9860.365639238149
