,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.557436712479727e7,0.0,0.0,0.0,0.0,0.0,0.0,2.8180062750468176e7,-253366.30817074873,-8.350106356709462e7,5.6839793114079215e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.279068854403667e7,-202007.44450989948,-2.3847097125532642e7,6.903068458974698e6,435217.3784252637,-514198.225927769,0.0,0.0,0.0,0.0,4.61062579356849e6,-51358.86366084916,-1.1383354541379835e7
t1,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1305.6516567655099,-13.868865946866574,-6403.310955855614,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1670.8178275823689,-10.280405921461368,-1828.892872940752,939.7049153682947,0.0,-428.01551208390197,0,-0.0,0.0,0.0,365.1661708168591,-3.588460025405207,-873.2671140758466
t2,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1137.6564693273172,-16.300784192859766,-6232.883850171428,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1719.6945555669079,-10.581140445296905,-1779.7154104323777,899.6292921411657,0.0,-626.4199207458166,0,-0.0,0.0,0.0,582.0380862395908,-5.719643747562861,-849.5278138873771
t3,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1079.9876738071082,-17.136815997073967,-6174.379022847005,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1736.5485996995073,-10.684842005240194,-1762.7576647398348,912.1982873685724,0.0,-720.4099147280546,0,-0.0,0.0,0.0,656.5609258923992,-6.451973991833775,-841.8973245410832
t4,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1124.2754913953886,-16.486143031812013,-6219.317513400548,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1723.065364393428,-10.601880757285564,-1776.323861293869,824.1333917226514,0.0,-570.0546850075518,0,-0.0,0.0,0.0,598.7898729980393,-5.8842622745264475,-846.9843174386124
t5,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1361.6544976462696,-13.062671599563703,-6460.119991083677,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1654.8064856563992,-10.181889439515244,-1845.0027313486678,590.6263975720594,0.0,-0.0,0,-0.0,0.0,0.0,293.1519880101296,-2.8807821600484607,-880.8976034221405
t6,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,2036.044697483989,-12.52761708597614,-7135.045245434983,4086.045459528995,0.0,-0.0,0,-0.0,0.0,0.0,-2036.044697483989,-12.52761708597614,-2037.4731449590297,906.4782519122253,65.9852236654408,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-972.4634755776661
t7,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3074.3635090062885,-18.956937973174778,-8166.934736070085,5413.843067183048,0.0,-0.0,0,-0.0,0.0,0.0,-3063.3047698687355,-18.848264589663586,-2331.690032724649,1124.3710249303717,0.0,-0.0,0,-0.0,0.0,0.0,-11.058739137553117,-0.10867338351119045,-1113.2036124093074
t8,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3651.902051342893,-22.46985569189564,-8740.960360687968,6170.552072977104,0.0,-0.0,0,-0.0,0.0,0.0,-3651.902051342893,-22.46985569189564,-2496.1801659423154,907.7814987661108,283.42267140531123,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1191.204170171422
t9,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3767.92982332009,-23.183765116607912,-8856.274223240453,6320.361358479471,0.0,-0.0,0,-0.0,0.0,0.0,-3767.92982332009,-23.183765116607912,-2529.247770042774,936.652183361461,270.6607976521367,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1207.3129810135977
t10,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3790.111603256906,-23.320247800744077,-8878.319520493133,6349.462719377441,0.0,-0.0,0,-0.0,0.0,0.0,-3790.111603256906,-23.320247800744077,-2536.030868319791,955.6290053095219,255.07530430242866,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1210.7043096119505
t11,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3802.0556386075,-23.3937384768174,-8890.190065167653,6364.871794542617,0.0,-0.0,0,-0.0,0.0,0.0,-3802.0556386075,-23.3937384768174,-2539.4224174582996,1111.8440911645748,99.70805059696386,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1211.5521417615387
t12,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3744.8948980010873,-23.042033098466504,-8833.381029939592,6290.401602865311,0.0,-0.0,0,-0.0,0.0,0.0,-3744.8948980010873,-23.042033098466504,-2522.464671765757,1061.5232304244294,142.39842199081545,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1203.9216524152448
t13,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3611.804218380185,-22.22313699364948,-8701.109246423506,6118.337099331369,0.0,-0.0,0,-0.0,0.0,0.0,-3611.804218380185,-22.22313699364948,-2484.3097439575354,705.908381869306,480.20879540458657,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1186.1171772738926
t14,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3514.5456448110644,-21.624712917052427,-8604.449096930983,5993.347708577583,0.0,-0.0,0,-0.0,0.0,0.0,-3514.5456448110644,-21.624712917052427,-2457.1773508494666,1065.3693517335869,107.18251114689451,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1172.5518628804814
t15,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3368.6577844573817,-20.727076802156837,-8459.458872692196,5805.863622446902,0.0,-0.0,0,-0.0,0.0,0.0,-3368.6577844573817,-20.727076802156837,-2416.4787611873635,1041.0723572462803,111.9793661936726,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1153.0517234399529
t16,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3333.157570720714,-20.838497089048424,-8423.847238668635,5669.6384591523465,0.0,-0.0,0,-0.0,0.0,0.0,-3243.378104240433,-19.95624114007589,-2406.304113771838,1238.6264529716773,0.0,-0.0,0,-0.0,0.0,0.0,-89.77946648028106,-0.8822559489725361,-1147.9647305424237
t17,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3525.1405492907625,-22.044864818591012,-8614.623849509142,5910.190346355934,0.0,-0.0,0,-0.0,0.0,0.0,-3428.526005282326,-21.09544108563272,-2460.5688999879753,1271.8114949210528,0.0,-0.0,0,-0.0,0.0,0.0,-96.61454400843661,-0.9494237329582899,-1174.247527179658
t18,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,4109.788425850773,-25.88394837527775,-9195.432642512465,6597.556816284302,0.0,-0.0,0,-0.0,0.0,0.0,-3947.362098511901,-24.287797282132697,-2625.9069204902685,1417.966227672966,0.0,-0.0,0,-0.0,0.0,0.0,-162.42632733887208,-1.5961510931450544,-1253.9437492409488
t19,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,4766.109920476857,-29.325485902735583,-9848.312599611092,7607.877529487833,0.0,-0.0,0,-0.0,0.0,0.0,-4766.109920476857,-29.325485902735583,-2812.4421231082406,1263.1836586464754,79.78246630123454,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-1342.96612494771
t20,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,4634.2918986941395,-29.77924763610417,-9716.040816095006,7516.731952415965,0.0,-0.0,0,-0.0,0.0,0.0,-4713.443324486014,-29.001432629931497,-2774.287195300019,1102.73156335018,143.2086435208878,-0.0,0,-0.0,0.0,0.0,79.1514257918741,-0.7778150061726736,-1324.3138176567693
t21,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,4284.375971019258,-27.500699715035115,-9368.403436341192,7058.403374290637,0.0,-0.0,0,-0.0,0.0,0.0,-4355.671015237796,-26.80008876957042,-2675.93227028327,1206.2407840067563,0.0,-0.0,0,-0.0,0.0,0.0,71.29504421853865,-0.7006109454646965,-1276.8352172798302
t22,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,3692.228174907618,-22.944864992159786,-8780.811474952428,6160.862379159795,0.0,-0.0,0,-0.0,0.0,0.0,-3630.4737819360594,-22.338009296639346,-2508.0505879270954,1259.5002438856181,0.0,-0.0,0,-0.0,0.0,0.0,-61.75439297155839,-0.6068556955204419,-1197.1389952185393
t23,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,2912.7560760004258,-18.44975412151781,-8005.834486915878,5072.039363317606,0.0,-0.0,0,-0.0,0.0,0.0,-2769.097214483529,-17.038029479294174,-2285.9041193547832,1237.0783948287226,0.0,-0.0,0,-0.0,0.0,0.0,-143.65886151689662,-1.411724642223637,-1092.0078086696024
t24,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,2243.0861092327054,-14.378185175124068,-7340.236089094552,4194.942710058609,0.0,-0.0,0,-0.0,0.0,0.0,-2086.129557313714,-12.835785146592361,-2095.977367598303,1158.9408884615998,0.0,-0.0,0,-0.0,0.0,0.0,-156.9565519189914,-1.5424000285317068,-1000.4419365140767
t25,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1821.5746589954672,-11.72738273882225,-6921.375441293615,3666.971304130685,0.0,-0.0,0,-0.0,0.0,0.0,-1680.2078616291465,-10.338182035663415,-1976.4252604658752,1086.393180561147,0.0,-0.0,0,-0.0,0.0,0.0,-141.36679736632075,-1.3892007031588354,-943.6371824916673
t26,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1635.2839169711415,-10.277979217743992,-6736.534102790368,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1576.4351804398111,-9.699677185778953,-1923.8562488189923,1176.9368870258493,0.0,-199.30763045853269,0,-0.0,0.0,0.0,-58.8487365313304,-0.5783020319650392,-918.2022180040212
t27,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1564.768084553733,-10.13751879927857,-6666.158730791425,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1596.6600333989306,-9.824119057710899,-1903.5069539879407,1135.450569029268,0.0,-258.1530537743472,0,-0.0,0.0,0.0,31.8919488451978,-0.3133997415676721,-908.876064358551
t28,5111.528165036971,0.0,-0.0,0,-0.0,0.0,0.0,1594.996653654474,-9.841830165538038,-6696.682988525907,3509.9911064445823,0.0,-0.0,0,-0.0,0.0,0.0,-1587.3903091260008,-9.767083199742089,-1912.8337141188395,961.5716756697208,0.0,-40.775359068959574,0,-0.0,0.0,0.0,-7.606344528473184,-0.07474696579594955,-913.1152251064921
