Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,12018.291572936263,0.0,9297.77161803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.06319097572
t2,12018.618347043388,0.0,9297.85361803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.47196508285
t3,12018.776744021401,0.0,9297.893618039461,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.67036206086
t4,12018.845902812605,0.0,9297.90961803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.755520852064
t5,12018.7827440214,0.0,9297.89461803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.67736206086
t6,12018.525148554381,0.0,9297.829618039461,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23575.354766593842
t7,12018.066037015946,0.0,9297.714618039461,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23574.78065505541
t8,12017.564846081908,0.0,9297.589618039461,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23574.15446412137
t9,12016.901278018759,0.0,9297.42361803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23573.32489605822
t10,12016.49230542263,0.0,9297.32061803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.81292346209
t11,12016.330928293517,0.0,9297.27961803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.610546332977
t12,12016.333948142417,0.0,9297.28061803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.614566181877
t13,12016.405106933622,0.0,9297.29861803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.703724973082
t14,12016.49532527153,0.0,9297.32061803946,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.81594331099
t15,12016.530404667132,0.0,9297.329618039461,0.0,0.0,357.6676363736287,0.0,0.0,0.0,1901.332363626371,23572.86002270659
