,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.8496219015589863e7,0.0,0.0,0.0,0.0,1401.0565083271404,0.0,8.98997312313891e6,-116125.87380852216,-2.7371467321428575e7,2.0690997442322955e7,0.0,0.0,0.0,0.0,344.829739010989,0.0,-1.2795473945028003e7,-78729.50835263089,-7.81713881868132e6,4582.286058440359,227780.7682028669,-269117.1647009272,0.0,0.0,199.0770833333334,0.0,3.8055008218891e6,-37396.365455891326,-3.731549423076923e6
t1,9979.719436250494,0.0,-0.0,0.0,-0.0,0.0,0.0,-1206.8597181252485,-11.85971812524838,-8761.0,2502.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2502.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1206.8597181252485,-11.85971812524838,-1195.0
t2,9652.945329126003,0.0,-0.0,0.0,-0.0,0.0,0.0,-1167.472664563002,-11.472664563001779,-8474.0,2420.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2420.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1167.472664563002,-11.472664563001779,-1156.0
t3,9494.548351113443,0.0,-0.0,0.0,-0.0,0.0,0.0,-1147.2741755567213,-11.274175556721472,-8336.0,2380.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2380.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1147.2741755567213,-11.274175556721472,-1136.0
t4,9425.389559908419,0.0,-0.0,0.0,-0.0,0.0,0.0,-1139.1947799542093,-11.194779954209347,-8275.0,2364.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2364.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1139.1947799542093,-11.194779954209347,-1128.0
t5,9488.548351113443,0.0,-0.0,0.0,-0.0,0.0,0.0,-1147.2741755567213,-11.274175556721472,-8330.0,2379.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2379.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1147.2741755567213,-11.274175556721472,-1136.0
t6,9746.143818132283,0.0,-0.0,0.0,-0.0,0.0,0.0,-1177.5719090661419,-11.571909066141933,-8557.0,2444.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2444.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1177.5719090661419,-11.571909066141933,-1166.0
t7,10205.255356567453,0.0,-0.0,0.0,-0.0,0.0,0.0,-1234.1276782837267,-12.127678283726793,-8959.0,2559.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2559.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1234.1276782837267,-12.127678283726793,-1222.0
t8,10706.446290605134,0.0,-0.0,0.0,-0.0,0.0,0.0,-1294.723145302568,-12.723145302567717,-9399.0,2684.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2684.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1294.723145302568,-12.723145302567717,-1282.0
t9,11370.01435375475,0.0,-0.0,0.0,-0.0,0.0,0.0,-1374.5071768773748,-13.507176877374931,-9982.0,2850.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2850.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1374.5071768773748,-13.507176877374931,-1361.0
t10,11778.986949885522,0.0,-0.0,0.0,-0.0,0.0,0.0,-1423.9934749427616,-13.993474942761685,-10341.0,2953.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2953.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1423.9934749427616,-13.993474942761685,-1410.0
t11,11940.364078997456,0.0,-0.0,0.0,-0.0,0.0,0.0,-1443.182039498728,-14.182039498727978,-10483.0,2994.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2994.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1443.182039498728,-14.182039498727978,-1429.0
t12,11937.344230096829,0.0,-0.0,0.0,-0.0,0.0,0.0,-1442.1721150484138,-14.17211504841396,-10481.0,2993.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2993.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1442.1721150484138,-14.17211504841396,-1428.0
t13,11866.185438891802,0.0,-0.0,0.0,-0.0,0.0,0.0,-1434.0927194459016,-14.09271944590184,-10418.0,2975.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2975.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1434.0927194459016,-14.09271944590184,-1420.0
t14,11775.967100984897,0.0,-0.0,0.0,-0.0,0.0,0.0,-1422.9835504924476,-13.98355049244767,-10339.0,2953.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2953.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1422.9835504924476,-13.98355049244767,-1409.0
t15,11740.887705382382,0.0,-0.0,0.0,-0.0,0.0,0.0,-1418.9438526911918,-13.943852691191609,-10308.0,2944.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2944.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1418.9438526911918,-13.943852691191609,-1405.0
t16,11761.947252084268,0.0,-0.0,0.0,-0.0,0.0,0.0,-1421.9736260421337,-13.973626042133654,-10326.0,2949.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2949.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1421.9736260421337,-13.973626042133654,-1408.0
t17,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1203.8906831688757,-16.380609203637984,-10808.0,3372.489926034762,0.0,-0.0,0.0,-0.0,0.0,0.0,-284.737956593983,-1.751969440779315,-3086.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1488.6286397628587,-14.62863976285867,-1474.0
t18,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-478.8642264550216,-22.407065917493725,-11527.0,4406.542839462471,0.0,-0.0,0.0,-0.0,0.0,0.0,-1107.7270849882966,-6.815754474175562,-3292.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1586.591311443318,-15.59131144331816,-1571.0
t19,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-474.82322406349795,-22.44806830901503,-11531.0,4412.624844245518,0.0,-0.0,0.0,-0.0,0.0,0.0,-1112.7780118301343,-6.846832415382852,-3293.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1587.6012358936323,-15.601235893632177,-1572.0
t20,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-687.584201143595,-20.687091228918092,-11320.0,4110.102890085323,0.0,-0.0,0.0,-0.0,0.0,0.0,-871.739150141245,-5.363739944078343,-3233.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1559.3233512848399,-15.323351284839749,-1544.0
t21,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1106.079056571145,-17.19223580136967,-10905.0,3513.113179230225,0.0,-0.0,0.0,-0.0,0.0,0.0,-395.6786010457959,-2.4345781844287973,-3115.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1501.7576576169408,-14.75765761694087,-1487.0
t22,11642.649518574846,0.0,-0.0,0.0,-0.0,0.0,0.0,-1406.8247592874234,-13.824759287423424,-10222.0,2920.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2920.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1406.8247592874234,-13.824759287423424,-1393.0
