Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,3.4563755e6,7.023167e6,1.0741006e6,7.104361e6,5.8683245e6,299652.53,1.5245551e7,1.4845485e6,2.3760562e6,1.8064822e6,4.573862e7
t1,0.0,0.0,0.0,5030.1639758883775,0.0,0.0,11298.458316621734,0.0,1277.6029263076668,0.0,17606.225218817777
t2,0.0,0.0,0.0,4927.342839047765,0.0,0.0,4102.1003206542455,1581.7195387978622,1418.3142189030916,1687.9539838250519,13717.430901228016
t3,0.0,0.0,0.0,5185.653190262515,0.0,0.0,11239.458316621734,0.0,923.7271393232473,0.0,17348.838646207496
t4,0.0,0.0,0.0,4546.789928179539,0.0,0.0,9370.49246765206,0.0,1206.5480948446686,928.1992281116967,16052.029718787966
t5,0.0,0.0,0.0,3833.499110689049,0.0,0.0,2923.4598432659777,1372.4685510728993,2324.3428359010823,2024.8429286217356,12478.613269550744
t6,0.0,0.0,0.0,4146.478635341952,0.0,0.0,11269.458316621734,802.7384749862063,774.5046293722236,0.0,16993.180056322115
t7,0.0,0.0,0.0,4598.570920930726,0.0,0.0,9367.626049640847,0.0,1622.1252740214945,978.9161334904434,16567.23837808351
t8,0.0,0.0,0.0,4034.2764048335794,0.0,0.0,9967.382615952518,1450.1380173727368,721.4029179949041,709.0378503346084,16882.23780648835
t9,0.0,2691.9261589257894,0.0,5496.758142136201,2275.6970064877332,0.0,7080.600780287742,0.0,590.3648169336391,928.1992281116967,19063.546132882802
t10,0.0,5050.919841184435,0.0,1548.1514300277809,4462.704315645564,0.0,4183.903689155018,725.0690086863684,1206.5480948446686,575.6428538947126,17752.939233438545
t11,56.29419871607236,6947.025990827796,0.0,99.79257316975036,5581.4039069659275,0.0,2071.0030581866536,0.0,198.26620569269338,0.0,14953.785933558893
t12,248.10084724552982,6586.864835771517,0.0,266.38279581422233,6144.785052504742,0.0,1194.787501813076,217.35736785954873,52.96305619352001,233.2124981869239,14944.453955389079
t13,299.69788832727727,7028.712025995199,0.0,636.4646374405368,6106.487228657738,0.0,858.1845507924706,0.0,0.0,229.32809423066195,15158.874425443883
t14,299.69788832727727,6494.0397958085605,0.0,278.26691685417086,5179.276756572392,0.0,588.2035134455225,0.0,0.0,1913.4122918451064,14752.897162853029
t15,299.69788832727727,5234.094586711339,0.0,46.9563314043682,4265.168171592598,0.0,1066.5269208884763,1047.8267596481671,730.3733902524646,2024.8429286217356,14715.486977446424
t16,299.69788832727727,3854.095659262027,0.0,1336.8798309962408,3658.45001485849,0.0,2598.648740171035,322.0577499175841,1424.8010586577545,1278.8865654048914,14773.5175075953
t17,299.69788832727727,1349.05724746166,0.0,2000.0798200980494,1820.1544702023234,0.0,6561.898209280808,1581.7195387978622,1886.469233246169,0.0,15499.076407414152
t18,299.69788832727727,0.0,0.0,3605.346665511556,0.0,0.0,11674.458316621734,396.5409226406766,2632.053877978729,0.0,18608.097671079973
t19,299.69788832727727,0.0,0.0,6034.000468053644,0.0,0.0,11675.458316621734,602.4410659448733,0.0,0.0,18611.597738947527
t20,299.69788832727727,0.0,0.0,2738.065513503109,0.0,0.0,8517.634989457667,1581.7195387978622,2030.9184267752216,1564.911663582034,16732.948020443175
t21,299.69788832727727,0.0,0.0,4646.457901067729,0.0,0.0,11590.458316621734,1171.1902219092503,0.0,0.0,17707.804327925995
t22,191.80664852945748,0.0,0.0,4054.94525336651,0.0,0.0,11496.458316621736,987.7445284734891,0.0,0.0,16730.954746991192
t23,0.0,0.0,0.0,5275.417448215544,0.0,0.0,7342.772459378263,0.0,0.0,2024.8429286217356,14643.032836215543
t24,0.0,0.0,0.0,4757.759756097063,0.0,0.0,11287.458316621734,0.0,862.2917133687417,0.0,16907.50978608754
t25,0.0,0.0,0.0,5190.0482729102105,0.0,0.0,4703.285768399541,501.83246346598276,1497.9266961258932,2024.8429286217356,13917.936129523361
t26,0.0,0.0,0.0,7000.979166288711,0.0,0.0,6486.426261328869,0.0,390.84150178678146,1642.5518316697282,15520.798761074091
t27,0.0,0.0,0.0,6459.630584252782,0.0,0.0,5025.912042103762,0.0,925.2770991192154,2024.8429286217356,14435.662654097496
t28,0.0,0.0,0.0,6819.101135172175,0.0,0.0,9082.716992750999,0.0,746.541823659519,0.0,16648.359951582694
t29,0.0,0.0,0.0,7268.723789340772,0.0,0.0,10405.992657750972,35.861540167487775,0.0,0.0,17710.577987259232
t30,0.0,0.0,0.0,6642.803712234143,0.0,0.0,2928.074552527596,1581.7195387978622,972.6905351285353,2024.8429286217356,14150.131267309873
t31,0.0,0.0,0.0,4971.119894280211,0.0,0.0,7333.538880976322,1581.7195387978622,1998.5324441055018,591.3102833150131,16476.22104147491
t32,0.0,0.0,0.0,1966.3971874539304,0.0,0.0,7522.772459378263,1581.7195387978622,2519.1877374906226,2024.8429286217356,15614.919851742416
t33,0.0,1349.05724746166,0.0,2499.5740523080326,1335.3846472968319,0.0,11595.458316621736,0.0,2608.3275076904347,0.0,19387.801771378694
t34,0.0,4003.8533904022665,0.0,5462.385562352751,3067.85725763891,0.0,9543.174321722678,0.0,0.0,0.0,22077.270532116607
t35,0.0,4409.80823184027,0.0,3375.3769483016135,3045.6848333064345,0.0,1223.6715703215486,1581.7195387978622,1429.0615004415827,2024.8429286217356,17090.16555163105
t36,0.0,4683.332682931121,0.0,2401.9241348072405,4072.6712148879224,0.0,8307.70167566744,0.0,760.0067479928589,591.310283315013,20816.946739601593
t37,0.0,4141.2344495474445,0.0,4378.023323184958,2634.487145685976,0.0,4581.364697642905,0.0,1115.3371568101397,2024.8429286217356,18875.28970149316
t38,0.0,3229.0737235114416,0.0,5891.780852936664,2774.576553968436,0.0,9474.828000983158,0.0,277.91368779305617,0.0,21648.172819192758
t39,0.0,2946.885602024048,0.0,5474.17760224635,1949.1576663185454,0.0,9626.275076178255,0.0,882.4247569631591,0.0,20878.92070373036
t40,0.0,1617.631029754486,0.0,5069.558331587527,2182.9759592791984,0.0,3712.0974121320687,1581.7195387978622,968.325245812244,2024.8429286217356,17157.150445985124
t41,0.0,329.21947506862523,0.0,3712.7359409464766,183.4264194777535,0.0,10460.837749991708,1097.6537301968951,2214.9360602257443,591.3102833150131,18590.119659222215
t42,0.0,0.0,0.0,5738.4064360697685,0.0,0.0,7692.772459378263,1125.3289888372299,1898.389173210722,2024.8429286217356,18479.73998611772
t43,0.0,0.0,0.0,6289.272725983405,0.0,0.0,11728.458316621734,1075.3289888372292,1608.956028253905,0.0,20702.016059696278
t44,0.0,0.0,0.0,6781.3085776235,0.0,0.0,10259.071740852789,1581.7195387978622,1308.9381024338563,0.0,19931.037959708003
t45,0.0,0.0,0.0,7101.370566873371,0.0,0.0,5579.588081667669,1581.7195387978622,1070.9071078089219,2024.8429286217356,17358.42822376956
t46,0.0,0.0,0.0,6777.061569335102,0.0,0.0,10310.837749991711,214.32898883722908,1119.0616065780557,591.310283315013,19012.60019805711
t47,0.0,0.0,0.0,6439.343620200086,0.0,0.0,3494.800513835332,1581.7195387978622,1144.4205811455638,2024.8429286217356,14685.12718260058
t48,0.0,0.0,0.0,7193.797455929616,0.0,0.0,9720.673585897674,0.0,637.6936632807988,0.0,17552.164705108087
t49,0.0,0.0,0.0,7359.019382889533,0.0,0.0,9051.20092133467,0.0,472.5826998008409,0.0,16882.803004025045
t50,0.0,0.0,0.0,7389.7574416822135,0.0,0.0,1352.0205009715899,1581.7195387978622,405.21367040449974,2024.8429286217356,12753.554080477903
t51,0.0,0.0,0.0,7415.082679650853,0.0,0.0,7977.271840687621,0.0,0.0,591.310283315013,15983.664803653488
t52,0.0,0.0,0.0,6321.683643543929,0.0,0.0,1092.5544983302823,1581.7195387978622,906.7505694736421,2024.8429286217356,11927.551178767453
