Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7405.198258163208,9318.935158801154,5835.507070057631
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5685.937889904663,8893.929755038684,4310.712308156393
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141.119865598696,9461.539116206894,6173.56780248839
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,9461.539116206894,6173.56780248839
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7296.999107529153,7218.173670678021,3972.651575725634
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141.119865598696,8085.26612138272,5835.507070057631
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,7251.220791347839,5733.720446045329
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141.119865598696,8224.886068016758,6173.56780248839
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,9461.539116206894,6173.56780248839
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,9461.539116206894,6173.56780248839
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,9246.032370888748,6173.56780248839
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360.043832749741,9188.463831547966,5920.075956633038
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360.043832749741,9461.539116206894,5670.806288991015
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360.043832749741,9461.539116206894,3591.0103195941597
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7221.101702697387,8667.654996367257,1390.0940928314037
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6871.038931047839,7118.958193478395,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.778562789293,5068.4481573412495,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.755820788557,2207.5200291035017,1862.8554943319969
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4065.9285751963034,2207.5200291035017,3725.7109886639937
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346.6682069377603,0.0,2447.856813824397
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.6353570364013,0.0,4310.712308156393
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6173.56780248839
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.2736014877621,3972.651575725634
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4700689847638,1628.1811914411883,5835.507070057631
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.4961093053316,1043.3970073046094,3634.5908432948745
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.678084999365,2680.484674067742,2200.916226762756
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903.8600606933983,3244.983333315,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5359.042036387431,4168.195919310936,1862.8554943319969
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6742.251460162715,6589.685487051366,3725.7109886639937
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5022.9910919041695,7059.027441681659,1524.7947619012377
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3303.730723645624,5469.549286817309,2200.916226762756
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.4703553870775,2835.1385953156896,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3039.6523310811103,21.82826066523047,1862.8554943319969
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4494.834306775144,2443.3178284056607,3725.7109886639937
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.5739385165984,1996.74309786855,1524.7947619012377
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.755914210631,2892.9321661589643,2200.916226762756
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5685.937889904663,3075.988553101306,0.0
