Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366863,258.32463309275016,140.99836500312892
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366863,258.32463309275016,140.99836500312892
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.55360905642931,122.492522584341,6.160756527444739
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1595.09498611929,-1858.8716443466226
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1595.09498611929,-1858.8716443466226
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1595.09498611929,-1858.8716443466226
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.2298046948554,-1858.8716443466226
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,-1858.8716443466226
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,-1858.8716443466226
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,-1858.8716443466226
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,140.99836500312892
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,140.99836500312892
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,140.99836500312892
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,140.99836500312892
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.515005684871,-1765.229804694856,140.99836500312892
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.69670127768867,221.6221930184364,140.99836500312892
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366863,258.32463309275016,140.99836500312892
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.32463309275016,140.99836500312892
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.06759582366868,258.3271531061207,140.99836500312892
