Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,4270.406579348974,0.0,3391.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,10818.510670324304
t2,4595.647538353768,0.0,3473.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,11225.751629329097
t3,4753.258286561354,0.0,3513.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,11423.362377536683
t4,4822.102585844389,0.0,3529.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,11508.206676819718
t5,4759.258286561354,0.0,3514.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,11430.362377536683
t6,4502.842164249976,0.0,3449.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,11108.946255225306
t7,4045.9320692687343,0.0,3334.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,10537.036160244064
t8,3547.099824645975,0.0,3209.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,9913.203915621305
t9,2886.6373692260076,0.0,3043.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,9086.741460201338
t10,2479.591036117423,0.0,2940.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8576.695127092753
t11,2318.960825320215,0.0,2899.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8375.064916295545
t12,2321.941362730595,0.0,2900.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8379.045453705925
t13,2392.785662013628,0.0,2918.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8467.889752988958
t14,2482.571573527801,0.0,2940.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8579.675664503131
t15,2517.4937231693184,0.0,2949.151109575,0.0,0.0,2109.8230713219223,0.0,1047.1299100784072,0.0,0.0,8623.597814144649
