Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,12218.336525139952,12218.336525139952,2450.317496515862,2450.3174965158614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,0.0,0.0,31910.905160332204,31910.905160332204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,8995.18586036367,8995.18586036367,1615.3735644011185,1615.3735644011194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,0.0,0.0,3123.8215459863795,3123.8215459863795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,0.0,0.0,31754.748479755923,31754.748479755923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,0.0,0.0,193.94428845525204,193.94428845525204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,0.0,0.0,7356.244968833971,7356.244968833971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,0.0,0.0,5591.332138972411,5591.332138972411,0.0,0.0,37618.27985988073,37618.27985988073,0.0,0.0,0.0,0.0
CT_battery,2,0.0,0.0,24210.760732039827,24210.760732039827,0.0,0.0,107608.46001283293,107608.46001283293,0.0,0.0,0.0,0.0
ME_battery,3,106.63101188505487,106.63101188505487,407.10140228525347,407.1014022852535,280.65879145161625,280.65879145161625,2996.266320819466,2996.266320819466,0.0,0.0,0.0,0.0
Total,n/a,21320.15339738868,21320.15339738868,108614.5497775782,108614.5497775782,280.65879145161625,280.65879145161625,148223.00619353313,148223.00619353313,0.0,0.0,0.0,0.0
