Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,3.5990695e6,1.6198161e7,1.692098e6,2.0980348e6,1.7147466e7,283234.38,4.1327045e6,6.2778155e6,2.7584598e7,439996.8,7.945318e7
t1,1146.7485883694235,0.0,545.996264767578,2042.981102891589,0.0,91.92959272778945,4795.39705479671,1995.404934072826,14826.093825162021,271.6361176426735,25716.18748043061
t2,1146.7485883694235,0.0,545.996264767578,2001.220706898514,0.0,91.92959272778945,4876.110819181542,1660.384242414763,14805.97402315856,407.10140228525347,25535.465639803424
t3,1146.7485883694235,0.0,545.996264767578,2106.132429208684,0.0,91.92959272778945,1451.171809557464,3659.897436671484,14733.518162003475,0.0,23735.394283305897
t4,1146.7485883694235,0.0,545.996264767578,1846.6606549238932,0.0,91.92959272778945,1443.171809557464,3629.397436671484,14855.25404914587,0.0,23559.158396163504
t5,1146.7485883694235,0.0,545.996264767578,1556.9604248748713,0.0,91.92959272778945,1451.171809557464,3656.897436671484,15007.604164170381,0.0,23457.30828113899
t6,1146.7485883694235,0.0,545.996264767578,1684.0758146559665,0.0,91.92959272778945,666.9690049869571,3770.397436671484,14976.546469279834,407.10140228525347,23289.764573744287
t7,1146.7485883694235,0.0,545.996264767578,1867.6912992899067,0.0,91.92959272778945,4968.316788993995,4620.430614156582,12178.036583991172,407.10140228525347,25826.2511345817
t8,1146.7485883694235,0.0,545.996264767578,1638.5053247614676,0.0,91.92959272778945,1597.171809557464,5591.332138972411,13702.062988837657,0.0,24313.74670799379
t9,1146.7485883694235,6940.621872372254,545.996264767578,2232.486468707305,7170.222206728888,91.92959272778945,4016.110779681218,2595.7819900099735,8556.027895918029,0.0,33295.92565928245
t10,1146.7485883694235,13022.840395931573,545.996264767578,628.7755490918677,14061.002626835923,91.92959272778945,1487.4020130754354,881.3715773357071,5963.99314567223,118.88489824101426,37948.944652048536
t11,1146.7485883694235,17911.591066494468,545.996264767578,40.5303568973057,17585.77970808883,91.92959272778945,848.4722151345628,0.0,3083.520456225193,407.10140228525347,41661.66965099041
t12,1146.7485883694235,16982.9837263288,545.996264767578,108.19031359465197,19360.870148107188,91.92959272778945,489.4942063321015,0.0,2799.591601286922,407.10140228525347,41932.90584379971
t13,1146.7485883694235,18122.203040552657,545.996264767578,258.49758242128075,19240.202103884112,91.92959272778945,351.5908602485133,0.0,2247.4449811571576,407.10140228525347,42411.71441641378
t14,1146.7485883694235,16743.65193762631,545.996264767578,113.0170021132511,16318.76524374657,91.92959272778945,240.9819415911625,0.0,4461.903913684644,407.10140228525347,40070.095886911986
t15,1146.7485883694235,13495.12179230449,545.996264767578,19.071127339004246,13438.609556632708,91.92959272778945,436.9469448583172,867.8966953454928,6575.541891650268,407.10140228525347,37024.96385628032
t16,1146.7485883694235,9937.055866927449,545.996264767578,542.968428992389,11526.9736981514,91.92959272778945,908.9690049869571,2416.763841837769,7271.911170064228,407.10140228525347,34796.41785911023
t17,1146.7485883694235,3478.2886624762104,545.996264767578,812.3244682124848,5734.90757544392,91.92959272778945,2688.3534947509565,4461.914788807224,11098.346990683769,0.0,30058.810426239354
t18,1146.7485883694235,0.0,545.996264767578,1464.2972162179788,0.0,91.92959272778945,4788.735430615303,3433.183173686284,15510.435768498828,407.10140228525347,27388.427437168437
t19,1146.7485883694235,0.0,545.996264767578,2450.6853037321644,0.0,91.92959272778945,5741.901245990388,3322.5864577492007,14813.671163648856,251.4258260513724,28364.944443036773
t20,1146.7485883694235,0.0,545.996264767578,1112.0544239471005,0.0,91.92959272778945,5994.677109396568,3124.3886080144007,15657.057164634267,0.0,27672.851751857124
t21,1146.7485883694235,0.0,545.996264767578,1887.140405912154,0.0,91.92959272778945,2427.0011252570403,5591.332138972411,14245.44181397154,0.0,25935.589929977934
t22,1146.7485883694235,0.0,545.996264767578,1646.8998954302797,0.0,91.92959272778945,5980.239286933547,2508.4364460554657,15233.134428892678,0.0,27153.384503176763
t23,1146.7485883694235,0.0,545.996264767578,2142.5898257452923,0.0,91.92959272778945,5718.815120335961,4534.8327722502645,12111.587320763478,407.10140228525347,26699.60088724504
t24,1146.7485883694235,0.0,545.996264767578,1932.345211885015,0.0,91.92959272778945,5916.314834922229,4011.893009317394,12105.709627693617,393.9796383205294,26144.916768003575
t25,1146.7485883694235,0.0,545.996264767578,2107.9174745547066,0.0,91.92959272778945,6121.4381719132125,3733.393009317394,11938.923496358771,253.41796982503774,25939.76456783391
t26,1146.7485883694235,0.0,545.996264767578,2843.419858085147,0.0,91.92959272778945,6068.918672907941,1116.1126578353378,14294.374447565242,0.0,26107.500082258462
t27,1146.7485883694235,0.0,545.996264767578,2623.55328346096,0.0,91.92959272778945,6460.804564041172,803.498670687384,14388.307734877337,56.73477376105802,26117.5734726927
t28,1146.7485883694235,0.0,545.996264767578,2769.550818748992,0.0,91.92959272778945,6575.274111563289,3536.893009317394,11552.10682426163,0.0,26218.499209756097
t29,1146.7485883694235,0.0,545.996264767578,2952.1632723989096,0.0,91.92959272778945,5793.0713069927815,3656.893009317394,11494.80059743667,407.10140228525347,26088.7040342958
t30,1146.7485883694235,0.0,545.996264767578,2697.948321240493,0.0,91.92959272778945,6379.129684182427,4022.393009317394,11725.908073015878,163.57221369043054,26773.625747311413
t31,1146.7485883694235,0.0,545.996264767578,2019.0005838585555,0.0,91.92959272778945,6266.512223755031,4992.223404989425,12255.381941706846,0.0,27317.79260017465
t32,1146.7485883694235,0.0,545.996264767578,798.6444008593282,0.0,91.92959272778945,6989.274111563289,5060.893009317394,12972.56003320646,0.0,27606.046000811264
