Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,12338.90457631549,12218.336525139952,2450.3174965158614
MA_solar_pv,1,0.0,0.0,0.0,31910.905160332204
CT_natural_gas_combined_cycle,2,0.0,5893.151109575,8853.910269081838,1615.3735644011194
CT_onshore_wind,2,0.0,0.0,0.0,3123.8215459863795
CT_solar_pv,2,0.0,0.0,0.0,31754.748479755923
ME_natural_gas_combined_cycle,3,0.0,4011.070477798331,125.22584699999966,193.94428845525204
ME_onshore_wind,3,0.0,0.0,0.0,7356.244968833971
MA_battery,1,0.0,1047.1299100784072,0.0,5591.332138972411
CT_battery,2,0.0,0.0,0.0,24210.760732039827
ME_battery,3,0.0,0.0,118.23691350979504,407.1014022852535
Total,n/a,0.0,23290.256073767225,21315.709554731584,108614.5497775782
