,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.387198461242216e7,0.0,0.0,0.0,0.0,1239.7993785276308,0.0,3.6259774503016127e6,-50823.1578898457,-2.7448378704212457e7,1.321520237360134e7,137304.84729262596,-162222.17307729868,0.0,0.0,282.410728021978,0.0,-5.317648226744859e6,-33863.36641521635,-7.839055865384616e6,2.0671001216036344e6,0.0,0.0,0.0,0.0,205.32657793254793,0.0,1.6916707764432458e6,-16959.791474629354,-3.7420164331501834e6
t1,9259.48744874751,0.0,-0.0,0,-0.0,0.0,0.0,-493.6365204244919,-4.850928323017668,-8761.0,2502.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2502.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,493.6365204244919,-4.850928323017668,-1195.0
t2,8932.713341623017,0.0,-0.0,0,-0.0,0.0,0.0,-454.2494668622453,-4.463874760771069,-8474.0,2420.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2420.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,454.2494668622453,-4.463874760771069,-1156.0
t3,8774.316363610455,0.0,-0.0,0,-0.0,0.0,0.0,-434.05097785596496,-4.265385754490762,-8336.0,2380.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2380.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,434.05097785596496,-4.265385754490762,-1136.0
t4,8705.157572405431,0.0,-0.0,0,-0.0,0.0,0.0,-425.9715822534529,-4.185990151978639,-8275.0,2364.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2364.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,425.9715822534529,-4.185990151978639,-1128.0
t5,8768.316363610455,0.0,-0.0,0,-0.0,0.0,0.0,-434.05097785596496,-4.265385754490762,-8330.0,2379.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2379.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,434.05097785596496,-4.265385754490762,-1136.0
t6,9025.911830629297,0.0,-0.0,0,-0.0,0.0,0.0,-464.34871136538544,-4.563119263911223,-8557.0,2444.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2444.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,464.34871136538544,-4.563119263911223,-1166.0
t7,9485.023369064467,0.0,-0.0,0,-0.0,0.0,0.0,-520.9044805829703,-5.118888481496085,-8959.0,2559.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2559.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,520.9044805829703,-5.118888481496085,-1222.0
t8,9986.214303102148,0.0,-0.0,0,-0.0,0.0,0.0,-581.4999476018112,-5.714355500337007,-9399.0,2684.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2684.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,581.4999476018112,-5.714355500337007,-1282.0
