Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,2978.409769148231,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,8774.538230103324
t2,3388.1992021239403,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,9184.327663079033
t3,3587.091461039532,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,9383.219921994625
t4,3672.448364605767,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,9468.57682556086
t5,3594.1038430621084,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,9390.232304017201
t6,3270.7035445758393,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,9066.832005530932
t7,2695.168073544459,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,8491.296534499552
t8,2067.429386684804,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,7863.557847639897
t9,1235.8059077876096,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,7031.934368742703
t10,722.5579633315319,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6518.686424286625
t11,519.6731712939927,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6315.801632249086
t12,523.705402217196,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6319.833863172289
t13,613.0870698285853,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6409.215530783678
t14,725.5778122321608,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6521.706273187254
t15,769.7686460378536,0.0,3865.5180345386498,0.0,0.0,1051.4356906875685,0.0,879.174735728875,0.0,0.0,6565.897106992947
