Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,-2.407741974547184e-12,0.0,-1.2476941426239245e-12,0.0,0.0,1.519958740234375e6,0.0,0.0,0.0,1.519958740234375e6
t1,7611.678545259422,0.0,9725.877354187138,1016.5545673537429,0.0,0.0,4525.2622760935765,1887.2299180917241,233.66572970563524,965.97481099512,25966.24320168636
t2,7611.678545259422,0.0,9725.877354187138,995.7752653713721,0.0,0.0,4601.4292647617685,1887.2299180917241,233.8127400261417,965.97481099512,26021.77789869269
t3,7611.678545259422,0.0,9725.877354187138,1047.977652526301,0.0,0.0,4777.355390771988,1887.2299180917241,233.8127400261417,965.97481099512,26249.906411857835
t4,7611.678545259422,0.0,9725.877354187138,918.86866719342,0.0,0.0,3680.1501243843913,1886.846632672535,233.8127400261417,965.97481099512,25023.20887471817
t5,7611.264368667038,0.0,9725.877354187138,774.7184880248803,0.0,0.0,3873.0137867775106,1887.2299180917241,233.8127400261417,965.97481099512,25071.891466769554
t6,7611.678545259422,0.0,9725.877354187138,837.9690633141129,0.0,0.0,4759.308955968265,1887.2299180917241,233.8127400261417,965.97481099512,26021.851387841925
t7,7611.678545259422,0.0,9725.877354187138,929.3331778804765,0.0,0.0,4688.441078810732,1887.1088037220475,233.57892728611557,965.97481099512,26041.99269814105
t8,7611.659152564872,0.0,9725.877354187138,815.2939198322505,0.0,0.0,3853.5162757716857,1885.3426881736325,233.8127400261417,965.97481099512,25091.47694155084
t9,7610.568255416862,1389.6063435909628,9725.877354187138,1110.8493921494035,0.0,0.0,3789.8748321007633,1887.2299180917241,233.8127400261417,965.97481099512,26713.793646558115
t10,7608.357242335213,2607.348730204468,9725.877354187138,312.8686091932071,0.0,0.0,1617.5501215952183,1887.2299180917241,233.8127400261417,965.97481099512,24959.019526628228
t11,7610.778191367997,3586.1427156671602,9725.877354187138,20.167254294284945,0.0,0.0,800.6759948316229,1885.3426881736325,233.57892728611557,965.3472884674239,24827.91041427537
t12,7608.510178328554,3400.222970386714,9725.877354187138,53.833761493149446,0.0,0.0,461.9199705403597,1887.2299180917241,233.8127400261417,965.0091933480132,24336.41608640179
t13,7608.768895500203,3628.310080576127,9725.877354187138,128.6242431162604,0.0,0.0,331.7850093164671,1887.2299180917241,233.8127400261417,965.0088361841249,24509.417076998187
t14,7608.426432464488,3352.3055102628878,9725.877354187138,56.235444138099574,0.0,0.0,227.40692314757717,1887.2299180917241,233.8127400261417,965.0088361841249,24056.30315850218
t15,7607.961915871777,2701.905851515485,9725.877354187138,9.489486502645523,0.0,0.0,412.33280656996726,1887.2299180917241,233.8127400261417,965.0088361841249,23543.618908949007
t16,7609.062238798273,1989.5329443412681,9725.877354187138,270.17236509915443,0.0,0.0,1004.6704938602082,1885.3426881736325,233.8127400261417,965.9013944544605,23684.372218940276
t17,7607.627236260732,696.4004204662755,9725.877354187138,404.1996018298077,0.0,0.0,2536.9129011813525,1886.3786115052615,233.8127400261417,965.97481099512,24057.18367645183
t18,7607.627236260732,0.0,9725.877354187138,728.6107644377693,0.0,0.0,4518.975915180983,1886.9301179150123,233.8127400261417,965.97481099512,25667.808939002898
t19,7608.689609808602,0.0,9725.877354187138,1219.4216261371973,0.0,0.0,5418.447900063724,1887.2299180917241,233.8127400261417,965.97481099512,27059.45395930965
t20,7609.12127108431,0.0,9725.877354187138,553.3404113279988,0.0,0.0,5656.984368662249,1886.5937176684263,233.8127400261417,965.97481099512,26631.704673951383
t21,7609.385089885875,0.0,9725.877354187138,939.0107408005699,0.0,0.0,5440.581107416854,1887.2299180917241,233.8127400261417,965.9076581932518,26801.804608601557
t22,7610.155381207784,0.0,9725.877354187138,819.4709233014828,0.0,0.0,5643.35985903473,1887.2299180917241,233.8127400261417,965.97481099512,26885.880986844124
t23,7611.379577287666,0.0,9725.877354187138,1066.118267195062,0.0,0.0,5396.662264311074,1887.2299180917241,233.8127400261417,965.97481099512,26887.054932093928
t24,7611.678545259422,0.0,9725.877354187138,961.5039258393402,0.0,0.0,5583.036405543551,1887.2299180917241,233.8127400261417,965.97481099512,26969.11369994244
t25,7611.678545259422,0.0,9725.877354187138,1048.8658624059053,0.0,0.0,5777.239793940998,1887.2299180917241,233.8127400261417,965.97481099512,27250.67902490645
t26,7611.678545259422,0.0,9725.877354187138,1414.8400293814036,0.0,0.0,5727.043749113376,1887.2299180917241,233.8127400261417,965.97481099512,27566.45714705433
t27,7611.678545259422,0.0,9725.877354187138,1305.43795496853,0.0,0.0,6097.902734165406,1887.2299180917241,233.8127400261417,965.97481099512,27827.914057693484
t28,7611.678545259422,0.0,9725.877354187138,1378.0839824375926,0.0,0.0,6427.530533722739,1887.2299180917241,233.8127400261417,965.97481099512,28230.187884719882
t29,7611.678545259422,0.0,9725.877354187138,1468.9490049043952,0.0,0.0,6248.981682264246,1887.2299180917241,233.8127400261417,965.97481099512,28142.50405572819
t30,7611.678545259422,0.0,9725.877354187138,1342.4557302852954,0.0,0.0,6020.580421214435,1887.2299180917241,233.8127400261417,965.97481099512,27787.60952005928
t31,7611.678545259422,0.0,9725.877354187138,1004.6222464350421,0.0,0.0,5913.506440613199,1886.3631043162131,233.57892728611557,965.97481099512,27341.601429092254
t32,7609.021992497798,0.0,9725.877354187138,397.39262014511417,0.0,0.0,6679.58961730226,1887.2299180917241,233.8127400261417,965.97481099512,27498.899053245295
t33,7611.505434095372,696.4004204662755,9725.877354187138,505.1432580513196,0.0,0.0,6722.447585224174,1885.3426881736325,233.8127400261417,965.97481099512,28346.504291219175
t34,7611.466349680359,2066.8397800077073,9725.877354187138,1103.9029778499714,0.0,0.0,6503.402129954527,1887.2299180917241,233.8127400261417,965.97481099512,30098.50606079269
t35,7611.678545259422,2276.3988056159083,9725.877354187138,682.1357851918833,0.0,0.0,6209.527743023514,1886.9307243858261,233.57892728611557,965.97481099512,29592.10269594493
t36,7611.678545259422,2417.5955881141163,9725.877354187138,485.40901675959014,0.0,0.0,5062.8096867775785,1886.6685208485735,233.8127400261417,965.489380865462,28389.34083283802
t37,7611.368526867825,2137.7576209909707,9725.877354187138,884.762331108476,0.0,0.0,4900.115814091441,1887.2299180917241,233.8127400261417,965.3415241360464,28346.26582949976
t38,7611.678545259422,1666.8887128408376,9725.877354187138,1190.6802173068968,0.0,0.0,5193.151556849738,1886.8467814203252,233.8127400261417,965.6448532078765,28474.580761098376
t39,7611.217732433318,1521.2196340644055,9725.877354187138,1106.2860516562562,0.0,0.0,5672.378141231758,1887.2299180917241,233.8127400261417,965.97481099512,28723.996382685862
t40,7611.678545259422,835.041605091213,9725.877354187138,1024.5158410628883,0.0,0.0,5833.945012728392,1886.2263547119958,233.57892728611557,965.97481099512,28116.83845132228
t41,7610.762103075516,169.94725857250393,9725.877354187138,750.3132494763207,0.0,0.0,6294.1507020453355,1885.3426881736325,233.8127400261417,965.97481099512,27636.180906551708
t42,7610.0762621547365,0.0,9725.877354187138,1159.684515232647,0.0,0.0,6562.2093466011065,1885.3426881736325,233.8127400261417,965.97481099512,28142.977717370522
t43,7608.42676380276,0.0,9725.877354187138,1271.0100397477836,0.0,0.0,6233.295024962121,1887.2299180917241,233.8127400261417,965.97481099512,27925.62665181279
t44,7609.009761432544,0.0,9725.877354187138,1370.4464188964757,0.0,0.0,6512.060308926343,1887.2299180917241,233.8127400261417,965.97481099512,28304.41131255549
t45,7609.852681980024,0.0,9725.877354187138,1435.128301747187,0.0,0.0,6308.37242610457,1887.149044313703,233.8127400261417,965.97481099512,28166.167359353884
t46,7610.732216252006,0.0,9725.877354187138,1369.5881336211137,0.0,0.0,6745.328700117878,1887.2299180917241,233.8127400261417,965.97481099512,28538.54387329112
t47,7611.678545259422,0.0,9725.877354187138,1301.3381271966393,0.0,0.0,6928.78834414649,1887.2299180917241,233.8127400261417,965.97481099512,28654.699839902678
t48,7611.678545259422,0.0,9725.877354187138,1453.8070121563896,0.0,0.0,6813.359453458607,1887.2299180917241,233.8127400261417,965.97481099512,28691.739834174547
