Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,1.5113521e7,3.4699635e6,1.0420656e7,1.4776555e6,0.0,0.0,8.952665e6,588854.94,117369.375,203349.14,4.034403e7
t1,3410.401253677011,0.0,2520.239176237212,1017.5721394932363,0.0,0.0,5367.882788636264,13.924578579344704,224.61086702368354,0.0,12554.63080364675
t2,3410.401253677011,0.0,2520.239176237212,996.7720374087809,0.0,0.0,5458.232351289059,0.0,0.0,0.0,12385.644818612063
t3,3410.401253677011,0.0,2520.239176237212,1049.0266792055068,0.0,0.0,5666.916570294576,0.0,0.0,0.0,12646.583679414305
t4,3410.401253677011,0.0,2520.239176237212,919.7884556490691,0.0,0.0,4365.40763982717,627.3322564352882,0.0,0.0,11843.16878182575
t5,3906.9933503816824,0.0,2520.239176237212,775.4939820068872,0.0,0.0,4594.183226909179,0.0,128.175305363112,0.0,11925.085040898075
t6,3410.401253677011,0.0,2520.239176237212,838.8078711852982,0.0,0.0,5645.509822824731,0.0,0.0,0.0,12414.95812392425
t7,3410.401253677011,0.0,2520.239176237212,930.2634413217983,0.0,0.0,5561.446085774443,413.0104982913947,0.0,0.0,12835.36045530186
t8,5529.58772939578,0.0,2520.239176237212,816.1100298621126,0.0,0.0,4571.05520750082,0.0,0.0,0.0,13436.992142995925
t9,3410.401253677011,1390.9973409318945,2520.239176237212,1111.9613535029061,0.0,0.0,4495.563492483581,1334.4108747339308,0.0,0.0,14263.573491566534
t10,7258.752703585749,2609.958688893362,2520.239176237212,313.18179098419125,0.0,0.0,1918.7439153168593,0.0,93.34996790190239,0.0,14714.226242919278
t11,5465.227171675794,3589.7324481152755,2520.239176237212,20.187441736020965,0.0,0.0,949.7648157624736,1887.2299180917241,0.0,479.2351842375264,14911.616155856025
t12,7287.182165976518,3403.6265969836977,2520.239176237212,53.88764914229173,0.0,0.0,547.9311713466957,214.250908764817,0.0,880.0688286533043,14907.186497104538
t13,7177.763105783622,3631.9420225987255,2520.239176237212,128.75299611237278,0.0,0.0,393.56460076272464,0.0,0.0,965.97481099512,14818.236712489776
t14,7287.182165976518,3355.661171434322,2520.239176237212,56.29173587397354,0.0,0.0,269.7509302895855,26.608757631287894,224.61086702368354,965.97481099512,14706.319615461702
t15,7287.182165976518,2704.610461977463,2520.239176237212,9.498985488133657,0.0,0.0,489.11069470379675,508.2066059045367,224.61086702368354,915.8893052962032,14659.348262607546
t16,7287.182165976518,1991.524468810078,2520.239176237212,270.4428079070614,0.0,0.0,1191.7438422814168,1207.5716783156088,0.0,216.2561577185831,14684.96029724648
t17,7287.182165976518,697.0975179842598,2520.239176237212,404.60420603584356,0.0,0.0,3009.2954325459023,1481.4577710493486,0.0,0.0,15399.876269829083
t18,7287.182165976518,0.0,2520.239176237212,729.3401045423116,0.0,0.0,5360.425884154921,567.0899642734133,0.0,0.0,16464.277295184376
t19,6327.7118634331955,0.0,2520.239176237212,1220.6422684056029,0.0,0.0,6427.382867404199,0.0,0.0,0.0,16495.97617548021
t20,6254.214566156405,0.0,2520.239176237212,553.8943056336325,0.0,0.0,6710.335705522883,0.0,158.86651812915576,0.0,16197.550271679289
t21,5694.058270864504,0.0,2520.239176237212,939.950691492062,0.0,0.0,6453.637359532937,0.0,0.0,0.0,15607.885498126716
t22,4608.613258362647,0.0,2520.239176237212,820.2912145159988,0.0,0.0,6694.174261992963,0.0,0.0,0.0,14643.317911108821
t23,3569.379476217733,0.0,2520.239176237212,1067.1854526477093,0.0,0.0,6401.540665988837,0.0,0.0,0.0,13558.344771091492
t24,3410.401253677011,0.0,2520.239176237212,962.4663922315718,0.0,0.0,6622.618359154569,0.0,0.0,0.0,13515.725181300364
t25,3410.401253677011,0.0,2520.239176237212,1049.9157781840893,0.0,0.0,5569.838235741706,0.0,31.956418607537866,0.0,12582.350862447556
t26,3410.401253677011,0.0,2520.239176237212,1416.2562856670706,0.0,0.0,6793.440400800517,0.0,0.0,0.0,14140.33711638181
t27,3410.401253677011,0.0,2520.239176237212,1306.744699668198,0.0,0.0,6941.277996532827,0.0,0.0,0.0,14178.663126115249
t28,3410.401253677011,0.0,2520.239176237212,1379.463445883476,0.0,0.0,5496.29284167896,0.0,205.9257342383511,0.0,13012.32245171501
t29,3410.401253677011,0.0,2520.239176237212,1470.4194243287238,0.0,0.0,7130.795198457344,0.0,0.0,0.0,14531.855052700292
t30,3410.401253677011,0.0,2520.239176237212,1343.7995298151106,0.0,0.0,6793.858268825317,0.0,102.96286711917557,0.0,14171.261095673826
t31,3410.401253677011,0.0,2520.239176237212,1005.6278743093515,0.0,0.0,7014.623132619703,341.87188600134584,131.84025778919394,0.0,14424.603580633817
t32,3410.401253677011,0.0,2520.239176237212,397.7904105556699,0.0,0.0,7921.957907109425,1871.8839216347874,160.97041320711813,0.0,16283.243082421224
t33,3410.401253677011,697.0975179842598,2520.239176237212,505.6489069582779,0.0,0.0,7314.918182766396,1212.8101482025945,224.61086702368354,0.0,15885.726052849432
t34,3410.401253677011,2068.9086886964037,2520.239176237212,1105.0079858358072,0.0,0.0,7111.858268825317,0.0,0.0,0.0,16216.415373271751
t35,3410.401253677011,2278.677483099007,2520.239176237212,682.818603795679,0.0,0.0,7123.858268825318,0.0,0.0,0.0,16015.994785634226
t36,3410.401253677011,2420.0156037178335,2520.239176237212,485.89491167126147,0.0,0.0,6005.523508187562,0.0,86.13030964032609,965.97481099512,15894.179574126325
t37,3410.401253677011,2139.89751850948,2520.239176237212,885.6479790875636,0.0,0.0,5812.535436839266,6.308720986017242,0.0,965.97481099512,15741.004896331671
t38,3410.401253677011,1668.5572701109486,2520.239176237212,1191.8720893962934,0.0,0.0,6160.135514809859,0.0,0.0,936.7227540154586,15887.928058246782
t39,3410.401253677011,1522.7423764408463,2520.239176237212,1107.3934451013574,0.0,0.0,6728.595855274774,0.0,0.0,352.26241355054367,15641.634520281745
t40,3828.563559537451,835.8774825737868,2520.239176237212,1025.5413824453335,0.0,0.0,6919.860192583787,0.0,193.0480491331595,161.99807624153183,15485.127918752263
t41,3701.176248765937,170.11737594845235,2520.239176237212,751.0643137901109,0.0,0.0,7465.290190694848,1887.2299180917241,0.0,0.0,16495.117223528287
t42,4387.017169545705,0.0,2520.239176237212,1160.8453605932402,0.0,0.0,7246.858268825317,1887.2299180917241,0.0,0.0,17202.189893293198
t43,5814.651776399029,0.0,2520.239176237212,1272.2823220698533,0.0,0.0,7232.858268825318,0.0,224.61086702368354,0.0,17064.642410555094
t44,3566.2879736463406,0.0,2520.239176237212,1371.8182371336093,0.0,0.0,7181.858268825317,1887.2299180917241,0.0,0.0,16527.433573934202
t45,4469.607377157051,0.0,2520.239176237212,1436.5648666138006,0.0,0.0,7106.858268825317,0.0,224.61086702368354,0.0,15757.880555857064
t46,3731.0630722763303,0.0,2520.239176237212,1370.9590927138274,0.0,0.0,7963.833079820438,0.0,0.0,0.0,15586.094421047808
t47,3410.401253677011,0.0,2520.239176237212,1302.640767964604,0.0,0.0,6860.858268825318,0.0,0.0,0.0,14094.139466704146
t48,3410.401253677011,0.0,2520.239176237212,1455.2622744308205,0.0,0.0,6247.912992852131,0.0,190.11063784884578,0.0,13823.92633504602
t49,3410.401253677011,0.0,2520.239176237212,1488.6856837895791,0.0,0.0,3778.0569624198924,0.0,29.2009939735827,0.0,11226.584070097279
t50,3410.401253677011,0.0,2520.239176237212,1494.9038095603225,0.0,0.0,3302.593954255324,0.0,0.0,0.0,10728.13819372987
t51,3410.401253677011,0.0,2520.239176237212,1500.0269539958622,0.0,0.0,5684.301181611241,0.0,121.53338814263613,0.0,13236.501953663963
t52,3410.401253677011,0.0,2520.239176237212,1278.8388571814503,0.0,0.0,3195.3070916732618,0.0,0.0,0.0,10404.786378768935
t53,3410.401253677011,0.0,2520.239176237212,832.7942383352206,0.0,0.0,3938.0986455402262,0.0,0.0,0.0,10701.53331378967
t54,3410.401253677011,0.0,2520.239176237212,656.293799967537,0.0,0.0,4883.277811620645,0.0,102.96286711917557,0.0,11573.174908621579
t55,3410.401253677011,0.0,2520.239176237212,690.8669527979822,0.0,0.0,6786.931573282942,0.0,102.96286711917557,0.0,13511.401823114322
t56,3410.401253677011,0.0,2520.239176237212,788.492701495377,0.0,0.0,6981.858268825317,521.556400854732,224.61086702368354,0.0,14447.158668113332
t57,3410.401253677011,644.655319383609,2520.239176237212,1114.768687845458,0.0,0.0,6473.162823217768,159.94685690498312,224.61086702368354,0.0,14547.784984289723
t58,3410.401253677011,2283.793795157607,2520.239176237212,746.4498024930078,0.0,0.0,6082.530847970894,0.0,213.84561478846715,0.0,15257.260490324197
t59,3410.401253677011,3469.4991147381734,2520.239176237212,1201.2153678141249,0.0,0.0,5906.1832593234785,0.0,47.482580734478134,0.0,16555.02075252448
t60,3410.401253677011,4046.363299345332,2520.239176237212,979.2168159632971,0.0,0.0,3651.5589334036063,0.0,0.0,0.0,14607.779478626459
t61,3410.401253677011,4197.294505074034,2520.239176237212,1144.7260317420848,0.0,0.0,5908.844930238203,0.0,72.05621723349412,0.0,17253.562114202035
t62,3410.401253677011,4132.701065334209,2520.239176237212,782.2225488943202,0.0,0.0,3195.5010436957537,0.0,144.05965726877363,0.0,14185.12474510728
t63,3410.401253677011,3608.279079327701,2520.239176237212,1100.5735286345684,0.0,0.0,3604.2635168320217,0.0,0.0,0.0,14243.756554708512
t64,3410.401253677011,2528.737234963085,2520.239176237212,509.5274341855085,0.0,0.0,5254.093455654961,0.0,0.0,0.0,14222.998554717778
t65,3410.401253677011,991.9250003610888,2520.239176237212,1443.1495000724465,0.0,0.0,6288.064549659913,70.16279016217109,113.68164625809199,0.0,14837.623916427932
t66,3410.401253677011,0.0,2520.239176237212,990.3468234439409,0.0,0.0,6356.463553482495,1887.2299180917241,224.61086702368354,624.5150335788452,16013.80662553491
t67,3410.401253677011,0.0,2520.239176237212,1034.356228651347,0.0,0.0,7142.979675448075,1887.2299180917241,133.28423124112715,0.0,16128.490483346495
t68,3410.401253677011,0.0,2520.239176237212,801.8835251005471,0.0,0.0,7096.858268825317,1887.2299180917241,76.87377401394801,0.0,15793.48591594576
t69,3410.401253677011,0.0,2520.239176237212,683.1335949948061,0.0,0.0,7037.858268825317,1158.1714646324767,224.61086702368354,0.0,15034.414625390506
t70,3410.401253677011,0.0,2520.239176237212,1167.996543175272,0.0,0.0,6601.412853426005,91.60433381931155,224.61086702368354,0.0,14016.265027358495
t71,3410.401253677011,0.0,2520.239176237212,1266.8035209277682,0.0,0.0,6092.996917187582,0.0,0.0,0.0,13290.440868029573
t72,3410.401253677011,0.0,2520.239176237212,1357.7743381755972,0.0,0.0,6377.81337872511,0.0,0.0,0.0,13666.22814681493
t73,3410.401253677011,0.0,2520.239176237212,1381.7290838019833,0.0,0.0,3198.6232105600056,0.0,224.61086702368354,0.0,10735.603591299896
t74,3410.401253677011,0.0,2520.239176237212,1138.4126619259202,0.0,0.0,5127.829346085286,0.0,149.48490839118287,0.0,12346.367346316612
t75,3410.401253677011,0.0,2520.239176237212,1210.1776716061913,0.0,0.0,3116.915517262273,0.0,69.71211166937371,0.0,10327.445730452062
t76,3410.401253677011,0.0,2520.239176237212,1468.7623453553163,0.0,0.0,4930.699394251081,0.0,0.0,0.0,12330.10216952062
t77,3410.401253677011,0.0,2520.239176237212,1474.1699242904037,0.0,0.0,3330.5873834680147,0.0,0.0,0.0,10735.397737672642
t78,3410.401253677011,0.0,2520.239176237212,1162.5901700776599,0.0,0.0,4713.729488127068,0.0,0.0,0.0,11806.96008811895
t79,3410.401253677011,0.0,2520.239176237212,1451.934019854941,0.0,0.0,6241.612621305947,0.0,102.96286711917557,0.0,13727.149938194285
t80,3410.401253677011,0.0,2520.239176237212,1179.2974699494366,0.0,0.0,7008.858268825317,385.8464899831171,224.61086702368354,0.0,14729.253525695778
t81,3410.401253677011,1399.9508870344446,2520.239176237212,1222.02047840288,0.0,0.0,7982.833079820438,0.0,224.61086702368354,0.0,16760.05574219567
t82,3410.401253677011,2616.3540789666117,2520.239176237212,997.3761464246173,0.0,0.0,7025.858268825317,0.0,221.56895179324715,0.0,16791.797875924018
t83,3410.401253677011,3257.811703313595,2520.239176237212,1498.698267354708,0.0,0.0,4455.394480998354,0.0,0.0,0.0,15142.544881580881
t84,3410.401253677011,3508.510994184999,2520.239176237212,1195.5678723431508,0.0,0.0,4466.49768516349,0.0,0.0,0.0,15101.216981605863
t85,3410.401253677011,3435.603547349948,2520.239176237212,1370.3827148480796,0.0,0.0,4113.826936887003,0.0,49.94938399361473,0.0,14900.403012992869
t86,3410.401253677011,2569.6677314318863,2520.239176237212,1442.3712261153826,0.0,0.0,7743.964576382247,0.0,0.0,0.0,17686.64396384374
t87,3410.401253677011,2753.2154265341637,2520.239176237212,1423.6501698805766,0.0,0.0,4191.023368884244,0.0,205.9257342383511,0.0,14504.455129451559
t88,3410.401253677011,2222.398050454406,2520.239176237212,883.784647448736,0.0,0.0,6188.012315528748,0.0,0.0,0.0,15224.835443346114
t89,3410.401253677011,1188.2634756098666,2520.239176237212,623.5097847630157,0.0,0.0,7049.858268825318,359.3727764071577,0.0,0.0,15151.644735519581
t90,4171.397861149335,0.0,2520.239176237212,577.0012230414709,0.0,0.0,7185.858268825317,1887.2299180917241,224.61086702368354,0.0,16566.337314368742
t91,5842.4564550598425,0.0,2520.239176237212,538.2664994761216,0.0,0.0,7259.489486941055,341.2307794283198,224.61086702368354,0.0,16726.293264166234
t92,5791.715954786894,0.0,2520.239176237212,814.377182285446,0.0,0.0,7442.684885984097,0.0,0.0,0.0,16569.01719929365
t93,5477.9033594187085,0.0,2520.239176237212,366.7594838822842,0.0,0.0,7480.341416171244,0.0,224.61086702368354,0.0,16069.854302733132
t94,4560.477888710884,0.0,2520.239176237212,549.4477916135618,0.0,0.0,6999.858268825317,0.0,0.0,0.0,14630.023125386975
t95,7287.182165976518,0.0,2520.239176237212,192.01634125158503,0.0,0.0,3085.0035983349117,66.70598580646913,27.6056190073746,0.0,13178.752886614071
t96,3410.401253677011,0.0,2520.239176237212,248.44728678328178,0.0,0.0,6608.873677505896,0.0,0.0,0.0,12787.961394203401
t97,3410.401253677011,0.0,2520.239176237212,272.10109271794437,0.0,0.0,5682.385480049575,0.0,0.0,0.0,11885.127002681742
t98,3410.401253677011,0.0,2520.239176237212,417.07815439068156,0.0,0.0,5582.2378432918495,0.0,0.0,0.0,11929.956427596753
t99,3410.401253677011,0.0,2520.239176237212,114.60156445812876,0.0,0.0,5625.8189619626255,0.0,0.0,0.0,11671.060956334977
t100,3410.401253677011,0.0,2520.239176237212,143.53763402970756,0.0,0.0,4855.081447443834,0.0,0.0,0.0,10929.259511387765
t101,3410.401253677011,0.0,2520.239176237212,275.27122388081364,0.0,0.0,4778.511908702228,0.0,0.0,0.0,10984.423562497264
t102,4129.229419481104,0.0,2520.239176237212,73.3783019720989,0.0,0.0,5222.238395294324,0.0,0.0,0.0,11945.085292984739
t103,5784.751807639768,0.0,2520.239176237212,29.529332273816692,0.0,0.0,5596.4046228847155,0.0,0.0,0.0,13930.92493903551
t104,6811.2588102903555,0.0,2520.239176237212,11.977541630439573,0.0,0.0,5649.381842713802,0.0,0.0,0.0,14992.85737087181
t105,6565.728172899266,794.9469861049861,2520.239176237212,0.0,0.0,0.0,5173.873834790368,0.0,0.0,0.0,15054.788170031832
t106,5872.545600024358,2154.606915677955,2520.239176237212,0.00499450102593684,0.0,0.0,4448.235023507719,0.0,0.0,0.0,14995.63170994827
t107,5689.789853094847,3470.778192752823,2520.239176237212,0.0,0.0,0.0,3253.551712881899,0.0,0.0,0.0,14934.358934966782
t108,7287.182165976518,3303.218972833671,2576.17365395876,0.0,0.0,0.0,1382.5448599859058,0.0,224.61086702368354,23.62430325123041,14797.35482302977
t109,7287.182165976518,3070.4267741673684,2948.0,0.0,0.0,0.0,781.9596710011009,0.0,0.0,590.1244310438599,14677.693042188848
t110,7287.182165976518,2767.2852846953133,2917.3943809926254,0.0,0.0,0.0,686.7717509632382,259.53254932816793,27.6056190073746,719.2282490367618,14664.999999999998
t111,7287.182165976518,2035.0131213081784,3886.195365188029,25.530817216175762,0.0,0.0,668.827005377488,0.0,0.0,733.1729946225119,14635.9214696889
t112,7287.182165976518,1275.8803196133929,4519.2626055407445,188.67319186002908,0.0,0.0,229.23690571500754,296.49113252242665,0.0,965.97481099512,14762.701132223241
t113,7287.182165976518,436.8051420029811,4319.938482429223,302.4980009383528,0.0,0.0,277.67385527529143,1887.2299180917241,0.0,965.97481099512,15477.30237570921
t114,7287.182165976518,0.0,5331.088643918755,515.2758777021406,0.0,0.0,1023.6184514968767,1887.2299180917241,0.0,566.3815485031231,16610.776605689138
t115,7287.182165976518,0.0,4851.170685138808,896.8628448521496,0.0,0.0,1644.3943901439818,1887.2299180917241,0.0,0.0,16566.840004203183
t116,7287.182165976518,0.0,3374.1007274455715,388.66569679285897,0.0,0.0,3031.1365472915195,1887.2299180917241,224.61086702368354,0.0,16192.925922621873
