,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.858348450855075e7,588854.9345407748,-695717.0776710476,0.0,0.0,0.0,0.0,9.104977189107548e6,-87205.44738515804,-2.749439410714286e7,1.1898311540394383e7,117369.37178841585,-138668.9175193949,0.0,0.0,0.0,0.0,-3.9993858835765393e6,-25344.677936683067,-7.852281433150183e6,8.95266476304477e6,203349.13689806196,-240251.81580583873,0.0,0.0,0.0,0.0,-5.105591305531008e6,-61860.76944847498,-3.7483100091575095e6
t1,3410.401253677011,13.924578579344704,-0.0,0.0,-0.0,0.0,0.0,5384.98956956702,-48.315401823376696,-8761.0,3537.8113157304483,224.61086702368354,-0.0,0.0,-0.0,0.0,0.0,-1252.7143335559804,-7.707849198151761,-2502.0,5367.882788636264,0.0,-0.0,0.0,-0.0,0.0,0.0,-4132.27523601104,-40.60755262522493,-1195.0
t2,3410.401253677011,0.0,-16.631403843407888,0.0,-0.0,0.0,0.0,5127.431424038884,-47.201273872485615,-8474.0,3517.011213645993,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-867.0653641028122,-5.334982519497429,-2420.0,5458.232351289059,0.0,-0.0,0.0,-0.0,0.0,0.0,-4260.366059936072,-41.866291352988185,-1156.0
t3,3410.401253677011,0.0,-469.99114946465426,0.0,-0.0,0.0,0.0,5445.580727250627,-49.99083146298368,-8336.0,3569.265855442719,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-958.7558418626556,-5.899146556379808,-2380.0,5666.916570294576,0.0,-0.0,0.0,-0.0,0.0,0.0,-4486.824885387972,-44.09168490660387,-1136.0
t4,3410.401253677011,627.3322564352882,-0.0,0.0,-0.0,0.0,0.0,4275.350880800576,-38.084390912875485,-8275.0,3440.027631886281,0.0,-0.0,0.0,-0.0,0.0,0.0,-1069.4474091378202,-6.580222748461162,-2364.0,4365.40763982717,0.0,-0.0,0.0,-0.0,0.0,0.0,-3205.903471662756,-31.50416816441432,-1128.0
t5,3906.9933503816824,0.0,-0.0,0.0,-0.0,0.0,0.0,4463.049170067354,-40.04252044903707,-8330.0,3295.7331582440993,128.175305363112,-0.0,0.0,-0.0,0.0,0.0,-1038.5185436474103,-6.389919959801208,-2379.0,4594.183226909179,0.0,-0.0,0.0,-0.0,0.0,0.0,-3424.530626419944,-33.652600489235866,-1136.0
t6,3410.401253677011,0.0,-0.0,0.0,-0.0,0.0,0.0,5194.859882149061,-48.26113582607137,-8557.0,3359.0470474225103,0.0,-151.43585227210775,0.0,-0.0,0.0,0.0,-758.9414900160651,-4.669705134337413,-2444.0,5645.509822824731,0.0,-0.0,0.0,-0.0,0.0,0.0,-4435.918392132996,-43.591430691733954,-1166.0
t7,3410.401253677011,413.0104982913947,-0.0,0.0,-0.0,0.0,0.0,5183.268475682524,-47.68022765093116,-8959.0,3450.50261755901,0.0,-0.0,0.0,-0.0,0.0,0.0,-886.0508190823383,-5.451798476671872,-2559.0,5561.446085774443,0.0,-0.0,0.0,-0.0,0.0,0.0,-4297.217656600185,-42.22842917425929,-1222.0
t8,5529.58772939578,0.0,-0.0,0.0,-0.0,0.0,0.0,3905.408342102182,-35.9960714979625,-9399.0,3336.3492060993244,0.0,-0.0,0.0,-0.0,0.0,0.0,-648.3599004730456,-3.9893056262787607,-2684.0,4571.05520750082,0.0,-0.0,0.0,-0.0,0.0,0.0,-3257.048441629136,-32.00676587168373,-1282.0
