Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,7287.182165976518,7287.182165976518,2512.2465570684794,2512.2465570684785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,6395.39007325009,6395.39007325009,35891.257771343626,35891.257771343626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,7456.328923778733,7456.328923778733,1556.3789222962012,1556.3789222962007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,1555.9193227217568,1555.9193227217568,3042.7327730161965,3042.7327730161965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,0.0,0.0,29419.646762385775,29419.646762385775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,0.0,0.0,185.6816326979492,185.6816326979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,8234.45072555519,6948.801054533624,5832.819465750262,7118.469136771829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,1887.2299180917241,1887.2299180917241,6132.297989352476,6132.297989352476,9626.813378242805,9626.813378242805,45133.71320163422,45133.71320163422,0.0,0.0,0.0,0.0
CT_battery,2,224.61086702368354,224.61086702368354,21042.925886553086,21042.925886553086,762.4328479113317,762.4328479113317,110421.4833121134,110421.4833121134,0.0,0.0,0.0,0.0
ME_battery,3,965.97481099512,965.97481099512,0.28817576821980956,0.2881757682198227,4961.392552660573,4961.392552660573,2.1209736540977984,2.1209736540977984,0.0,0.0,0.0,0.0
Total,n/a,34007.086807392814,32721.43713637125,105616.27593623227,106901.92560725384,15350.63877881471,15350.63877881471,155557.3174874017,155557.3174874017,0.0,0.0,0.0,0.0
