,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.9596367786137477e7,6.277815543512527e6,-7.417078855756764e6,0.0,0.0,5426.509148351648,0.0,8.877430462851634e6,-96156.55120456775,-2.724380489468865e7,2.113587978141408e7,2.7584598374623463e7,-3.2590499024838686e7,0.0,0.0,1549.7679395604393,0.0,-8.294408750481237e6,-56411.47191726154,-7.780708676739926e6,4.415938920257625e6,439996.8026364846,-519844.9936631434,0.0,0.0,805.0917307692307,0.0,-583021.7123703999,-39745.0792873062,-3.7141290293040294e6
t1,1146.7485883694178,1862.5761546731014,-3728.7559842993214,0.0,-0.0,0.0,0.0,9554.131788504972,-73.70054724816949,-8761.0,2588.9773676591694,14826.09382516203,-9384.666906877825,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2502.0,4887.32664752451,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-4059.535306903277,-39.89274290648753,-1195.0
t2,1146.7485883694178,2059.562397173342,-3531.769741799081,0.0,-0.0,0.0,0.0,8866.401025911893,-66.94226965557066,-8474.0,2547.2169716660947,14805.974023158567,-9404.786708881287,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2420.0,4968.040411909343,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-3371.8045443101987,-33.13446531388868,-1156.0
t3,1146.7485883694178,3659.897436671497,-1931.4347023009261,0.0,-0.0,0.0,0.0,5494.596481601694,-33.80780434168197,-8336.0,2652.128693976265,14733.518162003482,-9477.242570036373,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2380.0,728.8985977147446,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1136.0
t4,1146.7485883694178,2424.9718287592177,-3166.3603102132056,0.0,-0.0,0.0,0.0,7927.354221631558,-57.71432854698833,-8275.0,2392.656919691474,14855.254049145877,-9355.506682893978,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2364.0,3991.765666520425,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-2432.7577400298637,-23.906524205306358,-1128.0
t5,1146.7485883694178,5591.332138972423,-0.0,0.0,-0.0,0.0,0.0,1601.7748628445904,-9.855590186431444,-8330.0,2102.9566896424512,13049.217247714212,-11161.543484325643,0.0,-0.0,0.0,0.0,-1601.7748628445904,-9.855590186431444,-2379.0,1373.0642481245156,85.01857708036965,-322.0828252048856,0.0,-0.0,0.0,0.0,0.0,-0.0,-1136.0
t6,1146.7485883694178,5591.332138972423,-0.0,0.0,-0.0,0.0,0.0,1836.9710466048602,-18.051773946700894,-8557.0,2230.072079423547,12212.344326308154,-11998.416405731701,0.0,-0.0,0.0,0.0,0.0,-0.0,-2444.0,2681.6540605875957,373.2350811246101,-33.86632116064514,0.0,-0.0,0.0,0.0,-1836.9710466048602,-18.051773946700894,-1166.0
t7,1146.7485883694178,3971.397436671497,-1619.9347023009268,0.0,-0.0,0.0,0.0,5494.596481601694,-33.80780434168197,-8959.0,2413.687564057487,14942.238726962873,-9268.522005076984,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2559.0,1629.1014022852553,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,0.0,-0.0,-1222.0
t8,1146.7485883694178,2573.2252340419823,-3018.106904930441,0.0,-0.0,0.0,0.0,8763.059826109757,-65.92674359071685,-9399.0,2184.5015895290485,15119.33171422709,-9091.429017812765,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2684.0,4175.4808814718435,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-3268.4633445080635,-32.11893924903488,-1282.0
t9,8087.370460741676,1012.5865004853667,-4578.745638487057,0.0,-0.0,0.0,0.0,5494.596481601694,-33.80780434168197,-9982.0,9948.704940203786,11320.230038889722,-12890.530693150133,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2850.0,1049.2741723831289,359.41361495106315,-47.68778733419206,0.0,-0.0,0.0,0.0,0.0,-0.0,-1361.0
t10,14169.588984300997,881.3715773357122,-4709.960561636711,0.0,-0.0,0.0,0.0,-0.0,-0.0,-10341.0,15235.774440695397,5963.99314567223,-18246.767586367623,0.0,-0.0,0.0,0.0,0.0,-0.0,-2953.0,1806.0390997196864,5.531151282784336,-401.5702510024709,0.0,-0.0,0.0,0.0,0.0,-0.0,-1410.0
t11,19058.339654863892,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,-2965.4588977897924,-18.548618101678304,-10483.0,18172.306329753745,3083.5204562251947,-21127.24027581466,0.0,-0.0,0.0,0.0,2883.1532970957605,-17.739807260036503,-2994.0,940.4018078623544,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,82.30560069403226,-0.808810841641802,-1429.0
t12,18129.732314698223,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,-2043.1978886886072,-14.202287037194829,-10481.0,20015.056726469455,2799.59160128692,-21411.169130752936,0.0,-0.0,0.0,0.0,1599.3615442302432,-9.840741233682833,-2993.0,581.4237990598923,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,443.8363444583644,-4.361545803511995,-1428.0
t13,19268.95162892208,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,-3237.586226670323,-22.03326327934298,-10418.0,20044.695951073005,2247.4449811571553,-21963.3157508827,0.0,-0.0,0.0,0.0,2662.5573168245387,-16.382498172000066,-2975.0,443.5204529763038,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,575.0289098457839,-5.650765107342915,-1420.0
t14,17890.400525995738,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,-1945.6149222311128,-14.453464792193467,-10339.0,16977.77851062743,4461.903913684649,-19748.85681835521,0.0,-0.0,0.0,0.0,1269.9885299639302,-7.814135920802872,-2953.0,332.9115343189527,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,675.6263922671826,-6.639328871390594,-1409.0
t15,14641.870380673912,867.8966953454967,-4723.435443626927,0.0,-0.0,0.0,0.0,-473.6768462605594,-4.654786131923777,-10308.0,14003.676948739316,6575.541891650271,-17635.218840389585,0.0,-0.0,0.0,0.0,0.0,-0.0,-2944.0,528.8765375861078,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,473.6768462605594,-4.654786131923777,-1405.0
t16,11083.804455296871,2416.7638418377765,-3174.568297134647,0.0,-0.0,0.0,0.0,-0.0,-0.0,-10326.0,12615.93839191139,7271.9111700642325,-16938.84956197562,0.0,-0.0,0.0,0.0,0.0,-0.0,-2949.0,1156.5737245718694,329.26383885669287,-77.83756342856238,0.0,-0.0,0.0,0.0,0.0,-0.0,-1408.0
t17,4625.037250845629,4397.315303878267,-1194.016835094157,0.0,-0.0,0.0,0.0,3001.8854753436644,-22.221194973405787,-10808.0,7093.228308423995,11098.346990683782,-13112.413741356073,0.0,-0.0,0.0,0.0,-1980.9727936019526,-12.188764149750135,-3086.0,2780.283087478752,65.88171368593521,-341.21968859932,0.0,-0.0,0.0,0.0,-1020.912681741712,-10.03243082365565,-1474.0
t18,1146.7485883694178,5591.332138972423,-0.0,0.0,-0.0,0.0,0.0,4831.307688694323,-42.388416036165495,-11527.0,2010.2934809855592,13442.991522933004,-10767.769209106853,0.0,-0.0,0.0,0.0,-1384.9940393645143,-8.52175544719565,-3292.0,4880.665023343104,288.8083444304645,-118.29305785479072,0.0,-0.0,0.0,0.0,-3446.313649329808,-33.86666058896984,-1571.0
t19,1146.7485883694178,3269.36964045951,-2321.9624985129135,0.0,-0.0,0.0,0.0,9510.112240198443,-73.26797051445669,-11531.0,2996.681568499745,15017.741724741743,-9193.019007298111,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3293.0,5833.83083871819,100.12324416829487,-306.97815811696034,0.0,-0.0,0.0,0.0,-4015.5157585967495,-39.46016617277472,-1572.0
t20,1146.7485883694178,2879.4800268827826,-2711.8521120896407,0.0,-0.0,0.0,0.0,10084.536288531424,-78.91279169398521,-11320.0,1658.0506887146807,15657.057164634274,-8553.70356740558,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3233.0,6086.606702124372,249.76974722145835,-157.33165506379686,0.0,-0.0,0.0,0.0,-4589.939806929731,-45.10498735230323,-1544.0
t21,1146.7485883694178,5591.332138972423,-0.0,0.0,-0.0,0.0,0.0,4208.273655942167,-41.354383284008996,-10905.0,2433.1366706797344,12446.31203068006,-11764.448701359795,0.0,-0.0,0.0,0.0,0.0,-0.0,-3115.0,5857.285284201962,143.22207865473462,-263.87932363052056,0.0,-0.0,0.0,0.0,-4208.273655942167,-41.354383284008996,-1487.0
t22,1146.7485883694178,5238.830784685479,-352.50135428694483,0.0,-0.0,0.0,0.0,4230.494729304071,-41.57274807202432,-10222.0,2192.89616019786,12468.932285920997,-11741.828446118858,0.0,-0.0,0.0,0.0,0.0,-0.0,-2920.0,6072.168879661351,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-4230.494729304071,-41.57274807202432,-1393.0
t23,1146.7485883694178,1804.4384336202615,-3786.8937053521618,0.0,-0.0,0.0,0.0,10375.478542327439,-81.77185896495622,-9458.0,2688.586090512873,14875.78946373518,-9334.971268304676,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2701.0,5810.744713063764,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-4880.882060725745,-47.96405462327425,-1289.0
t24,1146.7485883694178,4398.204783618387,-1193.1273553540357,0.0,-0.0,0.0,0.0,4374.158504365503,-42.98452099927422,-8683.0,2478.341476652596,12105.70962769363,-12105.051104346225,0.0,-0.0,0.0,0.0,0.0,-0.0,-2479.0,6008.244427650032,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-4374.158504365503,-42.98452099927422,-1184.0
t25,1146.7485883694178,3779.9054361168037,-1811.4267028556194,0.0,-0.0,0.0,0.0,5060.501842850701,-49.72916448130285,-8125.999999999999,2653.9137393222877,11938.923496358784,-12271.83723568107,0.0,-0.0,0.0,0.0,0.0,-0.0,-2321.0,6213.367764641016,205.98232248812124,-201.11907979713396,0.0,-0.0,0.0,0.0,-5060.501842850701,-49.72916448130285,-1108.0
t26,1146.7485883694178,3591.3930093173967,-1999.9391296550266,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-7842.0,3389.416122852729,11530.172304593563,-12680.588427446291,0.0,-0.0,0.0,0.0,0.0,-0.0,-2239.0,5867.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1069.0
t27,1146.7485883694178,859.1292388295153,-4732.202900142908,0.0,-0.0,0.0,0.0,10536.681056685538,-83.35598374156089,-7727.0,3169.549548228541,14388.307734877344,-9822.45299716251,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2207.0,6552.734156768976,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-5042.0845750838425,-49.548179399878926,-1054.0
t28,1146.7485883694178,3536.893009317396,-2054.4391296550275,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-7733.0,3315.5470835165734,11552.10682426164,-12658.653907778214,0.0,-0.0,0.0,0.0,0.0,-0.0,-2209.0,5853.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1055.0
t29,1146.7485883694178,926.4986706873906,-4664.833468285033,0.0,-0.0,0.0,0.0,10649.04639858872,-84.46018936049482,-7973.0,3498.1595371664916,14259.00274040837,-9951.757991631484,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-2277.0,6699.203704291093,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1087.0
t30,1146.7485883694178,3611.5624719074294,-1979.769667064994,0.0,-0.0,0.0,0.0,5981.197904795989,-55.7392980078404,-8704.0,3243.9445860080746,12141.825523414886,-12068.93520862497,0.0,-0.0,0.0,0.0,-826.7479878089637,-5.086912989027547,-2485.0,6471.059276910231,163.57221369043117,-243.52918859482403,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1186.0
t31,1146.7485883694178,4853.055509602684,-738.2766293697393,0.0,-0.0,0.0,0.0,4819.836697910498,-47.364166512859065,-10034.0,2564.9968486261364,12255.38194170686,-11955.378790332996,0.0,-0.0,0.0,0.0,0.0,-0.0,-2865.0,6358.441816482835,141.93022511288865,-265.1711771723666,0.0,-0.0,0.0,0.0,-4819.836697910498,-47.364166512859065,-1368.0
