Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,12380.553280329434,12218.336525139952,2450.317496515849
MA_solar_pv,1,0.0,0.0,0.0,31910.90516033222
CT_natural_gas_combined_cycle,2,0.0,5847.151109575001,8853.910269081836,1615.3735644011213
CT_onshore_wind,2,0.0,0.0,0.0,3123.8215459863827
CT_solar_pv,2,0.0,0.0,0.0,31754.74847975598
ME_natural_gas_combined_cycle,3,0.0,4011.0565527245817,125.225847,193.94428845525243
ME_onshore_wind,3,0.0,0.0,0.0,7356.2449688339875
MA_battery,1,0.0,1051.0669030719778,0.0,5591.332138972423
CT_battery,2,0.0,0.0,0.0,24210.760732039857
ME_battery,3,0.0,0.0,118.23691350979665,407.1014022852553
Total,n/a,0.0,23289.827845700995,21315.709554731588,108614.54977757833
