Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.7494112215649
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.7494112215649
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156497
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
