,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.105461482202439e7,8.781995524131568e6,-1.0375703596563764e7,0.0,0.0,0.0,0.0,3.671783893362585e7,-351519.55086145573,-8.582722613235658e7,4.911853792160427e7,1.0897824696534459e7,-1.2875501768117268e7,0.0,0.0,0.0,0.0,-2.243518965317957e7,-194029.32861916983,-2.4511641868222732e7,2.695504601069579e7,4.487163664747411e6,-5.30146935816093e6,0.0,0.0,0.0,0.0,-1.4282649280446298e7,-157490.22224228605,-1.1700600814593684e7
t1,0.0,1760.5676249730916,-1493.8250354946051,0.0,-0.0,0.0,0.0,6140.214825480052,-38.662791863558326,-6368.294623094981,11762.196586568443,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1818.8361410597092,2596.996606690222,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-240.2148254800523,-2.3605727135583243,-867.6759018417205
t2,0.0,1651.0525038417172,-1603.3401566259795,0.0,-0.0,0.0,0.0,6095.75281637938,-38.22586710146971,-6105.239296493647,3672.4997869208096,4007.0582263587344,-0.0,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1743.2557941295431,0.0,1258.3812275526998,-228.3640791021912,0.0,-0.0,0.0,0.0,-195.7528163793794,-1.923647951469708,-832.3406841196595
t3,0.0,1687.6017798990224,-1566.7908805686743,0.0,-0.0,0.0,0.0,5900.0,-36.30221915,-5984.508680180348,11652.261536488202,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1708.9010909794677,2302.3999157391327,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-815.6546090842418
t4,0.0,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,9306.718017691726,-69.77977649592822,-5982.5455807281,4477.11469453505,3587.573420976576,-419.484805382158,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1708.9010909794677,2839.258322567196,1451.6685841047945,-35.076722550096406,0.0,-0.0,0.0,0.0,-3406.718017691724,-33.47755734592821,-815.6546090842418
t5,0.0,391.22833675231664,-2863.1643237153803,0.0,-0.0,0.0,0.0,8724.667016006553,-64.06000582926966,-6188.6710232142195,11711.155313316905,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1767.7948678081684,5122.929789609309,29.688937966401603,-1457.0563686884893,0.0,-0.0,0.0,0.0,-2824.667016006552,-27.757786679269657,-843.1375562014003
t6,0.0,2135.1884550117397,-1119.2042054559574,0.0,-0.0,0.0,0.0,5900.0,-36.30221915,-6879.682030405783,11908.449465693051,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1965.089020184316,2424.1101101151207,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-937.3648034602297
t7,77.89399963779535,2975.1161040870393,-279.27655638065715,0.0,-0.0,0.0,0.0,5427.134439632393,-33.392715895601285,-8167.475271080971,3785.662491585812,4007.0582263587344,-0.0,0.0,-0.0,0.0,0.0,-5427.134439632393,-33.392715895601285,-2332.193562416551,2600.7861987254255,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-1114.0408920705347
t8,4778.393977780619,2186.173253693298,-1068.2194067743987,0.0,-0.0,0.0,0.0,3041.709929891991,-18.715393299266132,-8919.342361292245,3337.266050489118,3138.6866734510913,-868.371552907643,0.0,-0.0,0.0,0.0,-3041.709929891991,-18.715393299266132,-2547.155847841309,2702.8657165891577,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-1216.1204099342667
t9,10577.467950815108,904.1409058938511,-2350.2517545738456,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9131.357102135113,0.0,3307.535488461517,-699.5227378972176,0.0,-0.0,0.0,0.0,0.0,-0.0,-2608.0127505642995,0.0,1365.6650987659646,-121.0802078889266,0.0,-0.0,0.0,0.0,0.0,-0.0,-1244.584890877038
t10,14969.077930394262,1535.173589424395,-1719.2190710433017,0.0,-0.0,0.0,0.0,-5499.109159843823,-33.83557048312252,-9252.08771844841,0.0,592.0760453562048,-3414.9821810025296,0.0,-0.0,0.0,0.0,5499.109159843823,-33.83557048312252,-2642.367453714375,1986.231307570228,380.8924824985592,-1105.8528241563317,0.0,-0.0,0.0,0.0,0.0,-0.0,-1261.2709659124557
t11,18173.47591549391,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-5478.789753257015,-36.06557577150946,-9404.22792599769,0.0,942.2944935542436,-3064.7637328044907,0.0,-0.0,0.0,0.0,4837.792002550649,-29.766539911645935,-2685.556223388756,1446.2351380499872,343.84731500436334,-1142.8979916505277,0.0,-0.0,0.0,0.0,640.9977507063655,-6.299035859863524,-1281.8831762503246
t12,18211.079915319053,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-5431.186286517606,-43.73061397223811,-9481.770354361515,0.0,2053.5800399867076,-1953.4781863720268,0.0,-0.0,0.0,0.0,2624.1766626935664,-16.146345135155503,-2708.132171173091,0.0,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,2807.0096238240394,-27.58426883708261,-1292.6800483320656
t13,17757.145917429832,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-4986.375938933504,-30.68076476261883,-9485.696553266012,0.0,880.2383931540429,-3126.8198332046913,0.0,-0.0,0.0,0.0,4986.375938933504,-30.68076476261883,-2709.113734120236,1204.774574683939,787.8161570643153,-698.9291495905758,0.0,-0.0,0.0,0.0,0.0,-0.0,-1293.6615821576784
t14,17595.98591817922,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-4789.002080831139,-30.577283747770103,-9522.013893132615,0.0,1133.4854773951727,-2873.5727489635615,0.0,-0.0,0.0,0.0,4486.622457481228,-27.60582232115171,-2718.929363591686,1334.4280005129494,575.248430839389,-911.496875815502,0.0,-0.0,0.0,0.0,302.3796233499115,-2.971461426618394,-1297.5877174601296
t15,16580.67792290037,751.713854177154,-2502.6788062905425,0.0,-0.0,0.0,0.0,-5349.382542033367,-32.91431480645413,-9447.416113947162,0.0,694.4532704167304,-3312.6049559420035,0.0,-0.0,0.0,0.0,5349.382542033367,-32.91431480645413,-2698.3165417016407,1411.4530979551882,681.5322939518521,-805.2130127030389,0.0,-0.0,0.0,0.0,0.0,-0.0,-1287.7723792040015
t16,13335.989937988068,1491.8316441831992,-1762.5610162844978,0.0,-0.0,0.0,0.0,-3704.98157161141,-22.79644965412692,-9337.482544621233,0.0,1495.8898158972258,-2511.1684104615083,0.0,-0.0,0.0,0.0,3704.98157161141,-22.79644965412692,-2666.9065273930005,1396.7300905709963,681.5322939518521,-805.2130127030389,0.0,-0.0,0.0,0.0,0.0,-0.0,-1273.0493718198095
t17,9033.017957996752,1491.8316441831992,-1762.5610162844978,0.0,-0.0,0.0,0.0,506.65825567320945,-3.1174269545094204,-9265.829414614152,3489.412186857224,1836.8577138160924,-2170.200512542642,0.0,-0.0,0.0,0.0,-506.65825567320945,-3.1174269545094204,-2646.293705502955,0.0,1374.9896701092862,-111.75563654560472,0.0,-0.0,0.0,0.0,0.0,-0.0,-1263.2340335636814
t18,3336.01198448765,1549.6940226922557,-1704.698637775441,0.0,-0.0,0.0,0.0,6121.336218999325,-38.477273241885605,-9263.866315161904,7532.902173595248,2527.885207234649,-1479.1730191240854,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2645.31214255581,0.0,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-221.33621899932407,-2.1750540918856043,-1263.2340335636814
t19,0.0,1742.5930963659532,-1511.7995641017435,0.0,-0.0,0.0,0.0,9172.202263650064,-68.45790047141601,-9334.537895442858,6643.909541527335,2982.6879342136276,-1024.3702921451065,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2665.9249644458555,6064.15262344618,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-3272.2022636500647,-32.15568132141601,-1273.0493718198095
t20,0.0,3078.7357005167114,-175.6569599509854,0.0,-0.0,0.0,0.0,6992.83261300259,-47.04140163628155,-9848.869951932034,12755.538289079197,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2812.1778435704623,3933.0553755820806,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-1092.8326130025894,-10.73918248628155,-1342.7382734383186
t21,0.0,3254.3926604676967,-0.0,0.0,-0.0,0.0,0.0,6409.04385893955,-41.30455420994375,-9622.131965197303,8418.537070353466,2136.5998135806526,-1870.4584127780818,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2748.3762520060363,339.61161218892386,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-509.04385893954964,-5.002335059943745,-1312.3107248443216
t22,0.0,3138.3322751108567,-116.06038535683938,0.0,-0.0,0.0,0.0,5900.0,-36.30221915,-8885.969670604018,6786.454827438141,2847.122918220226,-1159.9353081385084,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2537.3402183698586,2697.9580474610934,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-1211.2127408062026
t23,0.0,682.4252798035943,-2571.967380664102,0.0,-0.0,0.0,0.0,9900.0,-75.60991315,-7934.847985989492,4195.672837749101,4007.0582263587344,-0.0,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2266.4288449578353,3634.2126631704214,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-1081.6502758253123
t24,0.0,585.9791657783437,-2668.413494689353,0.0,-0.0,0.0,0.0,9240.313677102175,-69.12722612088676,-7088.7521220702765,11968.324805468896,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2024.9643599601618,5825.713275130952,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-3340.313677102174,-32.82500697088676,-965.8292844030011
t25,0.0,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,9863.823597689689,-75.25441041199136,-6534.176526810001,11422.29638618971,193.50761092084844,-3813.550615437886,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1865.9511625226698,4366.306095995716,1007.2238566336417,-479.5214500212492,0.0,-0.0,0.0,0.0,-3963.8235976896885,-38.952191261991345,-891.2327136564278
t26,0.0,1507.4288677318134,-1746.963792735883,0.0,-0.0,0.0,0.0,6528.596773616302,-42.47939155667421,-6246.582457055558,8054.126455786184,1836.8577138160924,-2170.200512542642,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1784.4814379096338,0.0,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-628.5967736163013,-6.17717240667421,-851.9713606319156
t27,0.0,1432.0311701805401,-1822.3614902871566,0.0,-0.0,0.0,0.0,6547.064435997501,-42.660871862118086,-6114.073244028767,8015.845500847528,1836.8577138160924,-2170.200512542642,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1746.200482970978,0.0,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-647.0644359975007,-6.358652712118086,-833.3222179452723
t28,0.0,1409.022108888292,-1845.3705515794047,0.0,-0.0,0.0,0.0,6552.8963293810375,-42.718181432258255,-6073.829705257666,7149.5078329507205,2264.1371700816258,-1742.9210562771082,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1734.421727605238,0.0,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-652.8963293810375,-6.415962282258257,-827.4330149915954
t29,0.0,3254.3926604676967,-0.0,0.0,-0.0,0.0,0.0,3030.9075599269577,-20.068318542733117,-6265.231901851921,2185.0802596227422,3136.106545524986,-870.9516808337482,0.0,-0.0,0.0,0.0,-2644.57402323643,-16.27184843219086,-1789.3892526453587,1903.821796809754,413.4939724646741,-1073.251334190217,0.0,-0.0,0.0,0.0,-386.3335366905275,-3.7964701105422565,-853.9344282831412
t30,0.0,3100.9236634655435,-153.46899700215343,0.0,-0.0,0.0,0.0,4000.0,-39.307694,-6908.14697246339,1081.1168159432239,2449.4414670884935,-1557.616759270241,0.0,-0.0,0.0,0.0,0.0,-0.0,-1972.9415237614762,4650.544080900373,908.3999292585999,-578.3453773962914,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-941.290938762681
t31,0.0,2746.65532644625,-507.7373340214466,0.0,-0.0,0.0,0.0,5975.109914357128,-51.460384331581395,-8162.567522450349,311.4163777993813,4007.0582263587344,-0.0,0.0,-0.0,0.0,0.0,-1975.1099143571287,-12.152690331581393,-2331.211999469406,5660.08930404337,489.51152742822103,-997.23377922667,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-1113.059358244922
t32,4858.973977405924,2113.2193510513057,-1141.173309416391,0.0,-0.0,0.0,0.0,3078.801011897723,-18.94361170392422,-8890.87741923464,6404.268699141162,1619.918747541684,-2387.1394788170505,0.0,-0.0,0.0,0.0,-3078.801011897723,-18.94361170392422,-2539.3033442641486,1010.8222398117994,844.0586707374536,-642.6866359174375,0.0,-0.0,0.0,0.0,0.0,-0.0,-1212.1942746318155
t33,10392.133951676906,965.8890890900334,-2288.5035713776633,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9069.519469389275,2556.45313413292,2020.4748548707516,-1986.5833714879825,0.0,-0.0,0.0,0.0,0.0,-0.0,-2590.344617515689,1635.5379896459885,543.969968640519,-942.775338014372,0.0,-0.0,0.0,0.0,0.0,-0.0,-1236.7326202721356
t34,14735.395931480873,491.5790585503705,-2762.813601917326,0.0,-0.0,0.0,0.0,-3281.2057034676536,-20.18899127517164,-9162.766693371092,0.0,1681.4441656274287,-2325.6140607313055,0.0,-0.0,0.0,0.0,3281.2057034676536,-20.18899127517164,-2616.846817088605,1139.3262406436513,797.9650460953644,-688.7802605595265,0.0,-0.0,0.0,0.0,0.0,-0.0,-1248.5110261794891
t35,18076.779915943545,313.8243757960586,-2940.568284671638,0.0,-0.0,0.0,0.0,-6112.7686136135135,-43.954586508818984,-9293.312806945634,0.0,1150.9688215021104,-2856.089404856624,0.0,-0.0,0.0,0.0,4386.255062353502,-26.98826991887351,-2654.146209080115,1044.3582408509567,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,1726.5135512600127,-16.966316589945475,-1267.1601688661326
t36,18479.67991407007,1453.1782996270613,-1801.2143608406354,0.0,-0.0,0.0,0.0,-8692.14049868459,-63.74037023182532,-9375.762983940083,0.0,410.53208266016463,-3596.5261436985693,0.0,-0.0,0.0,0.0,5900.0,-36.30221915,-2677.7037198115954,0.0,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,2792.1404986845896,-27.438151081825307,-1277.9570409478733
t37,18622.037913408116,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-5907.95204214149,-46.63133726611801,-9413.06187353281,0.0,1802.4149921349972,-2204.643234223737,0.0,-0.0,0.0,0.0,3109.8638934011205,-19.134739082189782,-2688.500912230191,0.0,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,2798.08814874037,-27.49659818392823,-1283.8462439015502
t38,18436.70391426991,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-5659.827145930951,-34.82445515300075,-9487.659652718263,0.0,545.5846348505102,-3461.4735915082238,0.0,-0.0,0.0,0.0,5659.827145930951,-34.82445515300075,-2709.113734120236,1793.4563476044361,493.4752706040667,-993.2700360508243,0.0,-0.0,0.0,0.0,0.0,-0.0,-1293.6615821576784
t39,17458.999918816204,0.0,-3254.3926604676967,0.0,-0.0,0.0,0.0,-4710.1247883724245,-32.343110137053145,-9462.139359839028,0.0,1468.815277333635,-2538.242949025099,0.0,-0.0,0.0,0.0,3795.020919605814,-23.350454424129627,-2702.2427934902207,0.0,935.1847702282156,-551.5605364266754,0.0,-0.0,0.0,0.0,915.1038687666105,-8.99265571292352,-1289.735446855227
t40,13789.923935877288,1491.8316441831992,-1762.5610162844978,0.0,-0.0,0.0,0.0,-4077.120302403299,-25.08618893538285,-9416.988072437307,0.0,1322.253294034077,-2684.8049323246573,0.0,-0.0,0.0,0.0,4077.120302403299,-25.08618893538285,-2689.482475177336,788.4013093189058,991.0951206187679,-495.6501860361232,0.0,-0.0,0.0,0.0,0.0,-0.0,-1283.8462439015502
t41,9135.08595752214,1491.8316441831992,-1762.5610162844978,0.0,-0.0,0.0,0.0,550.1270757212754,-3.384887061556336,-9411.098774080561,3574.3741107924266,1836.8577138160924,-2170.200512542642,0.0,-0.0,0.0,0.0,-550.1270757212754,-3.384887061556336,-2687.519349283046,2769.610016730828,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-1282.8647100759374
t42,3303.7799846375274,1491.8316441831992,-1762.5610162844978,0.0,-0.0,0.0,0.0,6448.4853337094655,-46.87997873814875,-9434.655967507546,4921.2414706641375,3147.8913495203187,-859.1668768384153,0.0,-0.0,0.0,0.0,-4487.961591529171,-27.61406190380928,-2694.3902899130608,4752.344277222301,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-1960.5237421802947,-19.265916834339478,-1285.8093115527759
t43,0.0,3254.3926604676967,-0.0,0.0,-0.0,0.0,0.0,6231.602757836995,-39.56085408365317,-9446.434564221037,7811.108130438477,2415.284428385949,-1591.7737979727851,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2698.3165417016407,135.8884653197576,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-331.602757836994,-3.2586349336531653,-1287.7723792040015
t44,0.0,2009.4313142398628,-1244.961346227834,0.0,-0.0,0.0,0.0,9253.203634634128,-71.63022782780756,-9946.043374818348,4119.111111140868,4007.0582263587344,-0.0,0.0,-0.0,0.0,0.0,-5253.203634634127,-32.32253382780757,-2840.6431690376676,6882.532747651789,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-1356.4797469968978
t45,0.0,2676.184899804781,-578.2077606629161,0.0,-0.0,0.0,0.0,7746.507078125088,-62.3596467113768,-9782.124570555576,7495.006875796974,1537.5692644864655,-2469.4889618722686,0.0,-0.0,0.0,0.0,-3746.507078125088,-23.0519527113768,-2793.528147574707,5743.27278543575,557.8515752006655,-928.8937314542255,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-1332.9229351821905
t46,0.0,1250.2517963665475,-2004.1408641011494,0.0,-0.0,0.0,0.0,9900.0,-75.60991315,-9070.5010191154,9044.99112613337,1744.3569684455267,-2262.7012579132074,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2590.344617515689,4036.6564451196173,1363.0645879037045,-123.68071875118657,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-1236.7326202721356
t47,0.0,779.7148760803361,-2474.6777843873606,0.0,-0.0,0.0,0.0,9858.131122465356,-75.19847089343621,-8087.969743264896,5905.867662444553,3173.5551988481984,-833.503027510536,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-2309.6176146322155,6586.035167026865,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-3958.1311224653573,-38.896251743436196,-1102.2624861631812
t48,0.0,3038.087873980053,-216.30478648764372,0.0,-0.0,0.0,0.0,4457.304494507034,-42.12145128438547,-7236.966130715057,6533.366481890406,0.0,-4007.0582263587344,0.0,-0.0,0.0,0.0,-457.30449450703384,-2.813757284385477,-2066.1900037402525,3539.0038820859786,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-986.44149474087
t49,0.0,41.964083507435745,-3212.428576960261,0.0,-0.0,0.0,0.0,9900.0,-75.60991315,-6653.925593397175,5573.660700561545,3135.0028053099677,-872.0554210487666,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1900.3058656727453,3459.499642211341,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-4000.0,-39.307694,-906.9372548662327
t50,0.0,3101.55433405126,-152.8383264164365,0.0,-0.0,0.0,0.0,3424.1172161849527,-27.114244425656977,-6345.71897939412,4208.17520483401,1700.155948340659,-2306.9022780180753,0.0,-0.0,0.0,0.0,-1778.520582532008,-10.94309219489197,-1811.965200429694,3144.902680004525,434.1708564494788,-1052.5744502054122,0.0,-0.0,0.0,0.0,-1645.5966336529443,-16.17115223076501,-864.731300364882
t51,0.0,3254.3926604676967,-0.0,0.0,-0.0,0.0,0.0,2935.620121066531,-22.935852294744986,-6167.0769292394825,5600.112251009301,893.4928760138412,-3113.565350344893,0.0,-0.0,0.0,0.0,-1609.2144839314453,-9.901365568649743,-1760.9239271781535,3667.3599190662467,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,-1326.4056371350855,-13.034486726095242,-841.1744885501747
t52,0.0,1756.3102607277285,-1498.0823997399682,0.0,-0.0,0.0,0.0,5900.0,-36.30221915,-6121.925641837761,9370.551194142015,1160.4864301159942,-2846.57179624274,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1748.163608865268,2321.049058425776,0.0,-1486.745306654891,0.0,-0.0,0.0,0.0,0.0,-0.0,-834.3037517708851
t53,0.0,1527.0120645279053,-1727.3805959397914,0.0,-0.0,0.0,0.0,6523.736862463355,-42.4316335815574,-6280.9366974699105,6522.178771539541,2607.739370675139,-1399.318855683595,0.0,-0.0,0.0,0.0,-5900.0,-36.30221915,-1794.2970673810837,0.0,1486.745306654891,-0.0,0.0,-0.0,0.0,0.0,-623.736862463354,-6.129414431557401,-856.8790297599796
t54,0.0,2319.5288085547204,-934.8638519129762,0.0,-0.0,0.0,0.0,5539.900678121986,-34.08655737057931,-6890.479077393151,4509.305227613264,3519.8869716318927,-487.1712547268412,0.0,-0.0,0.0,0.0,-5539.900678121986,-34.08655737057931,-1968.033709025751,0.0,1213.0365888831732,-273.7087177717178,0.0,-0.0,0.0,0.0,0.0,-0.0,-939.3278711114554
t55,10.74399995004074,1171.7715216052068,-2082.62113886249,0.0,-0.0,0.0,0.0,9103.56362612983,-68.37387870372072,-8135.084130118866,11280.327876044847,412.3417500007984,-3594.716476357936,0.0,-0.0,0.0,0.0,-5739.2803296782995,-35.31332411716371,-2323.359495892246,5084.41190751983,454.4052365578097,-1032.3400700970813,0.0,-0.0,0.0,0.0,-3364.2832964515305,-33.06055458655701,-1109.1332229424709
