Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922909249428133,4.870994869145004,1.4596836925542336
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922909249428133,4.870994869145004,1.4596836925542336
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922909249428133,4.870994869145004,1.4596836925542336
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922909249428134,4.870994869145004,1.4596836925542336
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.304535433971104,-42.00192272103223,-43.65548744822509
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.304535433971104,-42.00192272103223,-43.65548744822509
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.00192272103223,-43.65548744822509
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.33668982987825,-71.39355390809287,-75.07841061354728
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-37.68970304107515
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-37.68970304107515
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-37.68970304107515
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.81145090820565,-35.27442739108167,-37.68970304107515
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.81145090820565,-35.27442739108167,-37.68970304107515
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.6593212955039,-35.27442739108167,-37.68970304107515
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.6593212955039,-35.27442739108167,-37.68970304107515
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.635995323548018,-3.4948432290252813,1.1916251677162306
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9204909621079103,4.869637767249693,1.1916251677162306
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924143159823467,4.870994869145004,1.4596836925542336
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924143159823467,4.870994869145004,1.4596836925542336
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.924143159823467,4.870994869145004,1.4596836925542336
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.07450568667944,-63.88743595188287,-65.40268558296853
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.65538728415304,-81.84001770719902,-85.60192286820266
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.65538728415304,-81.84001770719902,-85.60192286820266
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.65538728415304,-81.84001770719902,-85.60192286820266
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.65538728415304,-81.84001770719902,-44.20558410382377
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334401346626524,4.272716949107843,0.7952499577544901
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6134231410993896,4.555193597739007,0.9678608637610566
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6134231410993896,4.555193597739007,1.1294814378346696
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6134231410993896,4.555193597739007,1.1294814378346696
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6134231410993896,4.555193597739007,1.1294814378346696
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.19615044736142,-76.31318447664776,-76.8874838670275
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.19615044736142,-76.31318447664776,-76.8874838670275
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.19615044736142,-76.31318447664776,-76.8874838670275
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.19615044736142,-76.31318447664776,-76.8874838670275
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.19615044736142,-42.001922721032216,-76.8874838670275
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-35.27442739108167,-44.20558410382377
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.66713515195232,-17.917830330088215,-20.87906006671322
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.66713515195232,-17.917830330088215,-20.879060066713226
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.66713515195232,-17.917830330088215,-20.879060066713226
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.076021008702057,-17.92145503678744,-20.879060066713226
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.867758456956926,1.4596836925542336
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.867758456956926,1.4596836925542336
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.867758456956926,1.4596836925542336
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,1.4596836925542336
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,1.4596836925542336
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.45666504667285,-42.001922721032216,-44.205584103823774
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-50.67917351469643,-52.05979415527601
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-50.679173514696444,-52.05979415527601
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-50.679173514696444,-52.05979415527601
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-50.679173514696444,-52.059794155276
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-50.679173514696444,-52.059794155276
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.87565838969777,-42.001922721032216,-44.20558410382377
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,-44.20558410382377
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,1.4596836925542336
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-42.001922721032216,1.4596836925542336
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-40.85294410373145,1.4596836925542336
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-40.85294410373145,1.4596836925542336
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-40.85294410373145,1.4596836925542336
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.456665046672846,-40.85294410373145,1.4596836925542336
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284892,1.4596836925542336
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
