Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,2.1760486e7,6588.409,0.0,1.0182915e7,7475.142,0.0,2.4099812e7,-5.7590044e-13,0.0,0.0,0.0,5.6057276e7
t1,6879.949465124322,0.0,8729.075920366005,0.0,3572.960502497511,3539.4982800878224,0.0,796.6603150940905,7056.656103772328,0.0,3287.515706099775,1993.2939157506853,865.6702987958371,36721.280507588366
t2,6879.949465124322,0.0,15263.172758504605,0.0,3572.960502497511,6423.549797101592,0.0,796.6603150940905,7009.640879171724,0.0,0.0,531.7935953287961,865.6702987958371,41343.39761161848
t3,6879.949465124322,0.0,6811.950493333541,0.0,3572.960502497511,1977.1998090842035,0.0,796.6603150940905,8312.182240721648,0.0,4246.698549413191,2757.420996451504,36.5695535378037,35391.59192525782
t4,6879.949465124322,0.0,5782.586292176407,0.0,3572.960502497511,6004.222349981515,0.0,796.6603150940905,5813.838372970804,0.0,4246.698549413191,548.4839622214722,865.6702987958371,34511.07010827515
t5,6879.949465124322,0.0,4546.489662803413,0.0,3572.960502497511,2423.6370876845626,0.0,796.6603150940905,5485.237935667334,0.0,4246.698549413191,2113.8782835561615,806.2439190650144,30871.7557209056
t6,6879.949465124322,0.0,6365.204168066344,0.0,3572.960502497511,0.0,0.0,796.6603150940905,6671.523948159005,0.0,1520.1612408551082,2668.371550424514,72.01416697088416,28546.84535719178
t7,6879.949465124322,0.0,-4.547473508864641e-13,0.0,3572.960502497511,-2.2737367544323206e-13,0.0,796.6603150940905,4911.028043285898,0.0,0.0,777.7620894893159,865.6702987958371,17804.030714286975
t8,6879.949465124322,0.0,-4.547473508864641e-13,0.0,3572.960502497511,1139.0950065564668,0.0,796.6603150940905,4972.318708158847,0.0,973.2985543398727,601.8184364596805,0.0,18936.100988230788
t9,6879.949465124322,0.0,1304.8289343239276,0.0,3572.960502497511,219.6085956491096,0.0,796.6603150940905,3012.259807592187,0.0,1599.6530751347755,1370.6103838063025,865.6702987958371,19622.201378018064
t10,6879.949465124322,0.0,569.0504451941628,0.0,3572.960502497511,215.66987871337471,-4.547473508864641e-13,796.6603150940905,1164.6873743373462,0.0,2892.7521866191173,1597.3363675978494,540.8563998542447,18229.92293503202
t11,6879.949465124322,0.0,37.58814191000556,0.0,3572.960502497511,14.245889929891883,0.0,796.6603150940905,24.315427083380428,0.0,3945.7659418256635,1865.0835891705954,468.8422328833606,17605.411505518823
t12,6879.949465124322,0.0,9.549141818996388,0.0,3572.960502497511,3.619120721743864,0.0,796.6603150940905,68.38180676165143,0.0,3921.318091390489,1885.6036826353716,468.8422328833606,17606.88435892754
t13,6879.949465124322,0.0,15.095850597146432,0.0,3572.960502497511,5.721321009161023,0.0,796.6603150940905,864.9921307255809,0.0,3215.981240837278,1860.8436586922678,468.8422328833606,17681.04671746072
t14,6879.949465124322,0.0,60.035165740060286,0.0,3572.960502497511,22.753302493732882,0.0,796.6603150940905,0.0,0.0,2825.152591211183,2627.422263939465,468.8422328833606,17253.775838983725
t15,6879.949465124322,0.0,332.4496613928651,0.0,3572.960502497511,125.99828144662558,0.0,796.6603150940905,1350.152989078907,0.0,2721.3313028035823,1808.450062302478,468.8422328833606,18056.794812623742
t16,6879.949465124322,0.0,2012.026508984639,0.0,3572.960502497511,780.0296721201198,0.0,796.6603150940905,1032.5176747938222,0.0,2299.9883824811477,1540.050538784489,468.8422328833606,19383.0252927635
t17,6879.949465124322,0.0,1740.6351423456608,-9.094947017729282e-13,3572.960502497511,1039.1106799096926,0.0,796.6603150940905,3456.4715239862303,0.0,2299.9883824811477,1493.4039192220016,0.0,21279.179930660655
t18,6879.949465124322,0.0,3511.1250748286425,4.547473508864641e-13,3572.960502497511,638.726104681663,0.0,796.6603150940905,2895.7863664905526,0.0,432.38456135480465,1493.4039192220016,865.6702987958371,21086.666608089425
t19,6879.949465124322,0.0,0.0,0.0,3572.960502497511,3219.7618538598535,0.0,796.6603150940905,4683.503640297265,0.0,2220.882036675447,229.38684199249928,144.0283339417682,21747.132989482758
t20,6879.949465124322,0.0,2408.3453402571777,0.0,3572.960502497511,659.3235952112855,0.0,796.6603150940905,4126.892342603518,0.0,4246.698549413191,2757.420996451504,865.6702987958371,26313.921405448436
t21,6879.949465124322,0.0,2478.9525273169947,0.0,3572.960502497511,0.0,0.0,796.6603150940905,5338.9290653189855,0.0,0.0,1480.2130995944613,468.8422328833606,21016.507207829727
t22,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,5895.3890182915275,0.0,862.2024678831076,1304.2037499597877,0.0,19311.365518850344
t23,6879.949465124322,0.0,6153.748716266515,0.0,3572.960502497511,3644.8522133144616,0.0,796.6603150940905,2850.086762506041,0.0,0.0,277.623150934608,865.6702987958371,25041.551424533387
t24,6879.949465124322,0.0,95.42483057518439,0.0,3572.960502497511,0.0,0.0,796.6603150940905,5059.99278920843,0.0,4246.698549413191,2523.013248412958,0.0,23174.699700325687
t25,6879.949465124322,0.0,147.32410584495665,0.0,3572.960502497511,1252.0411351759176,0.0,796.6603150940905,3708.948138187434,0.0,4246.698549413191,1881.966347208193,612.8705668251289,23099.419125370743
t26,6879.949465124322,0.0,6571.599744158905,0.0,3572.960502497511,5005.017148646302,0.0,796.6603150940905,3091.6009002327633,0.0,2405.7004802253714,511.76515505758425,865.6702987958371,29700.924009832685
t27,6879.949465124322,0.0,2161.8266315887668,0.0,3572.960502497511,1316.7073144236674,0.0,796.6603150940905,4110.607205192327,0.0,4246.698549413191,2212.205456098941,27.986183230364418,25325.60162266318
t28,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,1529.2993628044567,0.0,2391.9084635011286,1756.2411465094801,865.6702987958371,17792.689554326826
t29,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,4336.264478552524,0.0,63.44565915185012,882.2929514445632,17.97225120501855,16549.545623069876
t30,6879.949465124322,0.0,0.0,0.0,3572.960502497511,5.684341886080802e-14,0.0,796.6603150940905,12.807872925703123,0.0,1107.6054544431163,482.31831496287396,865.6702987958371,13717.972223843455
t31,6879.949465124322,0.0,5.684341886080802e-14,0.0,3572.960502497511,0.0,0.0,796.6603150940905,0.0,0.0,275.29276887870174,299.297109890148,368.91967928776467,12193.079840772536
t32,6879.949465124322,0.0,-9.094947017729282e-13,0.0,3572.960502497511,-4.547473508864641e-13,0.0,796.6603150940905,3987.8488467074685,0.0,2396.532565443801,1754.9093489276122,0.0,19388.861043794805
t33,6879.949465124322,0.0,802.42838783141,0.0,3572.960502497511,782.765306902772,0.0,796.6603150940905,2028.5259729089912,0.0,2218.273386021558,1272.065723519173,0.0,18353.629059899828
t34,6879.949465124322,0.0,0.3765093953208752,1.8189894035458565e-12,3572.960502497511,0.1426969020217404,0.0,796.6603150940905,1521.1397297218343,0.0,2369.1519554845445,1680.744568064876,206.9405999696545,17028.066342254173
t35,6879.949465124322,0.0,6.941641545667528,0.0,3572.960502497511,2.630879217948806,0.0,796.6603150940905,0.0,0.0,3079.1349074109003,2388.041015184348,690.5157749815215,17416.83450105631
t36,6879.949465124322,0.0,162.17800236197738,1.8189894035458565e-12,3572.960502497511,61.46539449143348,0.0,796.6603150940905,0.0,0.0,4014.7169340056116,1933.4757151071517,281.2177468514773,17702.624075533575
t37,6879.949465124322,0.0,2711.794584807864,0.0,3572.960502497511,1027.7690038561414,0.0,796.6603150940905,1194.5384027058376,0.0,3057.046633605176,1935.1682158887672,865.6702987958371,22041.557422375547
t38,6879.949465124322,0.0,7016.463047102278,-1.8189894035458565e-12,3572.960502497511,2659.236535434217,0.0,796.6603150940905,0.0,0.0,3997.804721312883,1920.8844298072102,628.7281065419236,27472.687122914434
t39,6879.949465124322,0.0,7203.189375683811,0.0,3572.960502497511,2730.00573520882,4.547473508864641e-13,796.6603150940905,1685.0839906103774,0.0,2720.8672215344814,1846.302924672131,765.8427640619027,28200.86229448744
t40,6879.949465124322,0.0,5805.013273333883,0.0,3572.960502497511,2200.0975821436564,0.0,796.6603150940905,862.0046389165888,0.0,2299.9883824811477,1525.3467131951654,423.9004531306292,24365.921325916992
t41,6879.949465124322,0.0,1940.2249623181942,0.0,3572.960502497511,1113.261322385563,0.0,796.6603150940905,3216.541206578876,0.0,2299.9883824811477,1493.4039192220016,0.0,21312.990075701706
t42,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,3815.687441899382,0.0,917.6102322818033,1363.2235904747467,0.0,17346.091547371856
t43,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,4618.53854301197,0.0,1051.3111733164537,1400.8677638778872,865.6702987958371,19185.958061718073
t44,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,1568.1003801176275,0.0,1126.4317310102128,701.6350389352506,865.6702987958371,15511.40773157485
t45,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,1541.8178782318873,0.0,2726.228943067376,1300.6648472955603,612.8705668251289,17431.152518135874
t46,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,6370.5113743315305,0.0,2811.180004988722,629.6383528169285,0.0,21060.9000148531
t47,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,1558.0047441711176,0.0,2833.7144674754,1264.5534795245362,0.0,16905.842973886975
t48,6879.949465124322,0.0,9.094947017729282e-13,0.0,3572.960502497511,0.0,0.0,796.6603150940905,3556.2427028555867,0.0,1549.373668831508,1489.9074191167015,865.6702987958371,18710.764372315556
t49,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,3248.934444424197,0.0,1400.4786677611232,1406.7118757424432,865.6702987958371,18171.365569439524
t50,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,3438.727035214236,0.0,1234.8504012491803,1216.592247007573,573.8003146451608,17713.540280832072
t51,6879.949465124322,0.0,0.0,0.0,3572.960502497511,-2.2737367544323206e-13,0.0,796.6603150940905,5733.833440178908,0.0,1648.9157654999744,1478.941376881235,24.1713519826136,20135.43221725865
t52,6879.949465124322,0.0,0.0,0.0,3572.960502497511,4.547473508864641e-13,0.0,796.6603150940905,6886.661407086088,0.0,3866.4533157382402,1624.6721090542908,27.50932932439548,23654.866443918938
t53,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,4462.232775218888,0.0,2008.8042700216201,1620.090424285306,865.6702987958371,20206.368051037574
t54,6879.949465124322,0.0,0.0,0.0,3572.960502497511,325.60910241160127,0.0,796.6603150940905,4904.918836763917,0.0,806.2761757915187,1029.3574664040027,865.6702987958371,19181.402162882798
t55,6879.949465124322,0.0,0.0,-8.881784197001252e-16,3572.960502497511,179.42197418110936,0.0,796.6603150940905,5714.907696329341,0.0,3254.3679564051204,2085.3873133236525,865.6702987958371,23349.325521750983
t56,6879.949465124322,0.0,31.90353356777723,4.547473508864641e-13,3572.960502497511,0.0,-1.1368683772161603e-13,796.6603150940905,6254.111329757746,0.0,2143.6766809860583,1599.4821969869572,0.0,21278.744024014464
t57,6879.949465124322,0.0,0.0,0.0,3572.960502497511,609.8194393311327,0.0,796.6603150940905,2814.8801008630553,0.0,1955.827997243086,1071.7127885533566,865.6702987958371,18567.48090750239
t58,6879.949465124322,0.0,31.94051825126561,1.8189894035458565e-12,3572.960502497511,12.105442945295227,4.547473508864641e-13,796.6603150940905,2881.3065557326736,0.0,2416.273172055986,1375.8822696192403,0.0,17967.078241320385
t59,6879.949465124322,0.0,0.0,1.8189894035458565e-12,3572.960502497511,0.0,0.0,796.6603150940905,2458.931713043401,0.0,4246.698549413191,2355.440980357584,0.0,20310.641525530104
t60,6879.949465124322,0.0,0.0,-1.8189894035458565e-12,3572.960502497511,0.0,0.0,796.6603150940905,998.5598285488732,0.0,3714.6075263239572,1681.5811598975529,508.5839352399939,18152.9027327263
t61,6879.949465124322,0.0,8.022776184580195,0.0,3572.960502497511,3.0406287900936184,4.547473508864641e-13,796.6603150940905,1285.0565285742914,0.0,2559.371309909792,2722.489755763154,435.2048560087062,18262.75613794654
t62,6879.949465124322,0.0,1791.751943175625,0.0,3572.960502497511,679.0732307349127,0.0,796.6603150940905,0.0,0.0,3862.0343934524435,1757.2423992696708,793.140182043602,20132.812431392176
t63,6879.949465124322,0.0,6406.799535157098,0.0,3572.960502497511,2428.174321552065,0.0,796.6603150940905,1806.5012270790899,0.0,2465.258011762484,1678.8113676964065,865.6702987958371,26900.785044758904
t64,6879.949465124322,0.0,5832.5555322612745,1.8189894035458565e-12,3572.960502497511,2093.1746976732184,4.547473508864641e-13,796.6603150940905,1627.8036209141505,0.0,2299.9883824811477,1493.4039192220016,0.0,24596.496435267716
t65,6879.949465124322,0.0,4332.220306130517,0.0,3572.960502497511,1931.9550991991425,0.0,796.6603150940905,978.8478606050155,0.0,2299.9883824811477,1493.4039192220016,787.8574367170934,23073.843287070842
t66,6879.949465124322,0.0,-9.094947017729282e-13,0.0,3572.960502497511,0.0,0.0,796.6603150940905,54.92313554224438,0.0,2299.9883824811477,1412.2186534516209,865.6702987958371,15882.370752986773
t67,6879.949465124322,0.0,0.0,0.0,3572.960502497511,0.0,0.0,796.6603150940905,2008.8375467776432,0.0,1382.9710341897026,782.8669644465472,0.0,15424.245828129813
