Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,1.1174881e7,0.0,4.464137e7,2.6912322e7,3.427826e6,1.4983359e7,7.7038875e6,913599.6,1.803478e7,142485.84,1.1534235e7,7.474968e6,2.5148652e6,1.4945858e8
t1,0.0,0.0,8516.158404140955,0.0,0.0,2996.4382551715553,0.0,0.0,1708.748004548765,0.0,959.1828433134166,764.1270807008187,0.0,14944.65458787551
t2,0.0,0.0,1685.5263068176337,0.0,0.0,0.0,0.0,0.0,1674.414523319008,0.0,4246.698549413191,2225.627401122708,0.0,9832.26678067254
t3,0.0,0.0,10061.614135979002,0.0,0.0,4417.874068460063,0.0,0.0,0.0,0.0,0.0,0.0,829.1007452580334,15308.5889496971
t4,0.0,0.0,10059.70666817957,0.0,0.0,0.0,0.0,0.0,1658.2014905160668,0.0,0.0,2208.9370342300317,0.0,13926.845192925668
t5,0.0,0.0,10259.990787119841,0.0,0.0,3188.012757729983,0.0,0.0,1566.0525497886772,0.0,0.0,643.5427128953424,59.426379730822646,15717.025187264666
t6,0.0,0.0,5478.3448354034335,0.0,0.0,4488.700076919716,0.0,0.0,189.1489955464359,0.0,2726.537308558083,89.0494460269897,793.6561318249529,13765.43679427961
t7,0.0,0.0,3409.3554586079727,54.7877885005877,0.0,1292.1442808077888,0.0,0.0,1947.838665345128,0.29,4246.698549413191,1979.658906962188,0.0,12930.773649636856
t8,0.0,0.0,3005.531066583788,3360.947439398122,0.0,0.0,921.1588528390291,0.0,298.1836801949747,17.79,3273.3999950733187,2155.6025599918235,865.6702987958371,13898.283892876892
t9,0.0,0.0,385.3902383477125,7439.803831562565,0.0,420.98375788948397,2096.8905752054147,0.0,2035.591804332842,39.379999999999995,2647.045474278416,1386.8106126452014,0.0,16451.896294261634
t10,0.0,0.0,0.0,10528.701562543976,0.0,0.0,3004.7070344633453,0.0,1385.8270392525983,55.730000000000004,1353.946362794074,1160.0846288536545,324.81389894159236,17813.810526849244
t11,0.0,0.0,0.0,12782.55782741298,0.0,0.0,3582.165828653281,0.0,1249.8965693615219,67.66,300.93260758752785,892.3374072809086,396.82806591247646,19272.378306208695
t12,0.0,0.0,0.0,12809.007104620161,0.0,0.0,3645.1419263560656,0.0,1260.2473552928368,67.80000000000001,325.38045802270244,871.8173138161324,396.82806591247646,19376.222224020377
t13,0.0,0.0,0.0,12489.726544047771,0.0,0.0,3596.5756137208678,0.0,196.47994645266022,66.11,1030.7173085759132,896.5773377592361,396.82806591247646,18673.014816468927
t14,0.0,0.0,0.0,12376.372498874141,0.0,0.0,3531.9984287883517,0.0,1175.7038132389882,65.51,1421.5459582020083,129.99873251203854,396.82806591247646,19097.957497528005
t15,0.0,0.0,0.0,11662.242014280273,0.0,0.0,3481.2973331801777,0.0,0.0,61.73,1525.367246609609,948.9709341490259,396.82806591247646,18076.435594131563
