Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,9.332955078125e6,6.990553969021818e-10,0.0,4.7149208984375e6,110164.35241699219,0.0,2.1768908203125e7,-7.742287713718987e-13,0.0,0.0,0.0,3.592694853210449e7
t1,0.0,5234.926711299418,4377.121398734057,14340.211387164414,0.0,2323.9413311272533,3732.4992591377477,0.0,322.9560152632791,8221.955158006898,0.0,6464.3990466357545,592.0459484396912,74.46322879390533,45684.519484602424
t2,0.0,5234.926711299418,4377.121398734057,14093.670973978475,0.0,2323.9413311272533,3668.352311340392,0.0,322.9560152632791,8145.676606833109,0.0,6464.3990466357545,592.0459484396912,74.46322879390533,45297.55357244534
t3,0.0,5234.926711299418,4377.121398734057,14043.706937699202,0.0,2323.9413311272533,3652.1143231036017,0.0,322.9560152632791,7796.947797209721,0.0,6458.174592772347,592.0459484396912,74.4073491092125,44876.34240475779
t4,0.0,5234.926711299418,4377.121398734057,13172.942417020453,0.0,2323.9413311272533,3429.07209912652,0.0,322.9560152632791,7008.840527646526,0.0,6464.3990466357545,591.8925264013845,74.38876556511143,43000.480838819756
t5,0.0,5234.926711299418,4377.121398734057,12312.483598804785,0.0,2323.9413311272533,3204.37385428432,0.0,322.9560152632791,6613.955684879595,0.0,6463.476955466673,592.0459484396912,74.46322879390533,41519.74472709298
t6,0.0,5234.926711299418,4377.121398734057,9847.415624737005,0.0,2323.9413311272533,2563.2289546376987,0.0,322.9560152632791,6435.190508876209,0.0,6462.655642546051,591.6692918980677,74.38876556511143,38233.49424468415
t7,0.0,5234.926711299418,4377.121398734057,2834.7364631617293,24.94330875145559,2323.9413311272533,737.6474219923176,0.0,322.9560152632791,6433.170752431263,0.28970999999999997,6458.007297812272,591.4539024912515,74.46322879390533,29413.657541858203
t8,0.0,5234.926711299418,4377.121398734057,2498.97337166746,1530.1429747875688,2323.9413311272533,650.2760624110908,1656.030270242718,322.9560152632791,4943.028610857793,17.77221,6458.898341417411,591.4539024912515,74.46322879390533,30679.984429093205
t9,0.0,5234.926711299418,4377.121398734057,1405.3465464887695,3387.1293056286936,2323.9413311272533,365.69546075793494,3769.723598947648,322.9560152632791,4732.547607559184,39.34062,6460.8561385708,591.4539024912515,74.44148346625927,33085.48012033455
t10,0.0,5234.926711299418,4377.121398734057,473.1416439132265,4793.415850753863,2323.9413311272533,123.24287618436418,5401.7673357279855,322.9560152632791,2390.2657767770947,55.674270000000014,6461.221611928301,591.6482534389457,74.42909443685856,32623.752169584648
t11,0.0,5234.926711299418,4377.121398734057,31.25296782585859,5819.531965943053,2323.9413311272533,8.140703093263557,6440.105101553226,322.9560152632791,1194.1533485294533,67.59234000000001,6460.858978382323,592.0459484396912,74.41655993999656,32947.043370130865
t12,0.0,5234.926711299418,4377.121398734057,7.93971201737465,5831.573563271342,2323.9413311272533,2.0681184116532134,6553.412293315585,322.9560152632791,1245.1514875451528,67.73219999999999,6460.814565697429,592.0459484396912,74.43675609805764,33094.1201012203
t13,0.0,5234.926711299418,4377.121398734057,12.551568368187953,5686.2142812369975,2323.9413311272533,3.26940442935069,6466.012931569392,322.9560152632791,994.7798630600328,66.04389,6460.647604614903,592.0459484396912,74.4028227715406,32614.913770914107
t14,0.0,5234.926711299418,4377.121398734057,49.916729264947975,5634.607435544331,2323.9413311272533,13.002197890356609,6349.7920829490095,322.9560152632791,1101.8344273757539,65.44449,6460.688990598314,592.0459484396912,74.38876556511143,32600.66652405153
t15,0.0,5234.926711299418,4377.121398734057,276.41798831410387,5309.484307680529,2323.9413311272533,72.00073877913373,6258.899592695424,322.9560152632791,1265.322974068659,61.66827,6460.704810395568,591.8824663652942,74.44627077172252,32629.77287549444
t16,0.0,5234.926711299418,4377.121398734057,1711.2474100219408,4270.4664810681725,2323.9413311272533,445.3014879111057,5238.658908183801,322.9560152632791,2147.844676896734,49.600350000000006,6461.389354519986,591.7745512934827,74.44925711767583,33249.67793343691
t17,0.0,5234.926711299418,4377.121398734057,3944.160816297349,2892.563701073971,2323.9413311272533,1026.338813457054,3670.899081082642,322.9560152632791,3547.976101718642,33.59637,6461.474982689469,591.7745512934827,74.46322879390533,34502.19310283052
t18,0.0,5234.926711299418,4377.121398734057,5640.701597773869,1068.2617058382014,2323.9413311272533,1467.8080470256589,1559.1246750547027,322.9560152632791,4663.788082812061,12.407580000000001,6461.730928016665,591.7745512934827,74.42909443685856,33798.97171867551
t19,0.0,5234.926711299418,4377.121398734057,7703.522264200977,0.0,2323.9413311272533,2004.589637271008,0.0,322.9560152632791,5009.7972233116425,0.0,6460.857453872035,591.4539024912515,74.42909443685856,34103.59503200778
t20,0.0,5234.926711299418,4377.121398734057,13490.250757965137,0.0,2323.9413311272533,3510.396406494863,0.0,322.9560152632791,5906.206934906653,0.0,6463.0484618900255,592.0459484396912,74.39496007981178,42295.28892620019
t21,0.0,5234.926711299418,4377.121398734057,6303.872585802791,0.0,2323.9413311272533,1640.376600052284,0.0,322.9560152632791,6266.812658003575,0.0,6461.23087871523,591.4539024912515,74.46322879390533,33597.155310283044
t22,0.0,5234.926711299418,4377.121398734057,5081.755438499255,0.0,2323.9413311272533,1322.360595814776,0.0,322.9560152632791,5817.200037447243,0.0,6460.932976181143,591.4539024912515,74.42909443685856,31607.077501294538
t23,0.0,5234.926711299418,4377.121398734057,7996.162367765174,0.0,2323.9413311272533,2080.739650074996,0.0,322.9560152632791,4467.248946462527,0.0,6462.860514831137,591.6581222792662,74.42909443685856,33932.04415227397
t24,0.0,5234.926711299418,4377.121398734057,9337.266646766777,0.0,2323.9413311272533,2429.7181624990476,0.0,322.9560152632791,4814.12241736726,0.0,6462.295777681415,591.9535184418972,74.42909443685856,35968.731073617266
t25,0.0,5234.926711299418,4377.121398734057,8932.3794601452,0.0,2323.9413311272533,2324.359518656715,0.0,322.9560152632791,4625.556643592882,0.0,6463.915859830749,591.9802929866408,74.40115459451215,35271.538386230706
t26,0.0,5234.926711299418,4377.121398734057,10980.12413996663,0.0,2323.9413311272533,2857.218076620868,0.0,322.9560152632791,4488.1541698575065,0.0,6463.896982611743,591.9254235804033,74.38876556511143,37714.653014626274
t27,0.0,5234.926711299418,4377.121398734057,10267.954396857349,0.0,2323.9413311272533,2671.899200650449,0.0,322.9560152632791,3855.2864595033943,0.0,6463.415033736894,592.0459484396912,74.46322879390533,36184.00972440569
t28,0.0,5234.926711299418,4377.121398734057,5353.612635244718,0.0,2323.9413311272533,1393.1025370623522,0.0,322.9560152632791,2997.955841427446,0.0,6461.838521763374,591.5799631187169,74.46322879390533,29131.498183834527
t29,0.0,5234.926711299418,4377.121398734057,1636.2067935677933,0.0,2323.9413311272533,425.7692871299337,0.0,322.9560152632791,4063.8172938412836,0.0,6460.035467881355,591.4539024912515,74.42909443685856,25510.657295772482
t30,0.0,5234.926711299418,4377.121398734057,809.5495216235643,0.0,2323.9413311272533,210.65877740701518,0.0,322.9560152632791,4992.69146893681,0.0,6459.506043112095,591.4539024912515,74.38876556511143,25397.193935559855
t31,0.0,5234.926711299418,4377.121398734057,233.1912481199182,0.0,2323.9413311272533,60.68039313078634,0.0,322.9560152632791,4673.523977928352,0.0,6458.137057027477,591.4539024912515,74.38876556511143,24350.320800686903
t32,0.0,5234.926711299418,4377.121398734057,4795.571195713202,1555.9463976339023,2323.9413311272533,1247.890509565382,1858.476612665206,322.9560152632791,4012.8851153966307,18.07191,6461.2477685408285,592.035012092754,74.46322879390533,32875.53320682582
t33,0.0,5234.926711299418,4377.121398734057,2074.7634926183855,3327.7814330821275,2323.9413311272533,539.8893200346198,3848.399428704254,322.9560152632791,2179.7053135543615,38.65131,6460.794819230206,591.6472238680769,74.44148346625927,31395.019280982302
t34,0.0,5234.926711299418,4377.121398734057,0.31305181422028544,4718.585924499496,2323.9413311272533,0.08154303573903333,5214.672374721421,322.9560152632791,1425.5666301184929,54.80514000000001,6460.491093092827,591.5673726356338,74.46322879390533,30799.491815135745
t35,0.0,5234.926711299418,4377.121398734057,5.771684602149531,5788.567858527453,2323.9413311272533,1.5033954840981418,6491.999286621329,322.9560152632791,862.3244295239867,67.2327,6460.711348695205,592.0459484396912,74.42909443685856,32603.53120275478
t36,0.0,5234.926711299418,4377.121398734057,134.84422566074505,5917.584972759119,2323.9413311272533,35.12392202435575,6672.535020038623,322.9560152632791,718.4438212740145,68.7312,6460.762244579729,592.0459484396912,74.38876556511143,32933.40557676539
t37,0.0,5234.926711299418,4377.121398734057,2254.7437729763856,5963.171019787643,2323.9413311272533,587.3106102902195,6697.748000344045,322.9560152632791,1119.4856409436431,69.26067000000002,6462.029394705291,591.9195425740916,74.38876556511143,36079.002873610436
t38,0.0,5234.926711299418,4377.121398734057,5833.895551087133,5903.823147241075,2323.9413311272533,1519.600052805763,6682.107827626868,322.9560152632791,1481.036030513656,68.57136,6463.763675814537,592.0459484396912,74.46322879390533,40878.25227874664
t39,0.0,5234.926711299418,4377.121398734057,5989.150683234166,5590.7416167055635,2323.9413311272533,1560.0405620577726,6401.671544572906,322.9560152632791,1579.2102849094213,64.935,6463.8354997110955,592.0459484396912,74.46322879390533,40575.03982484853
t40,0.0,5234.926711299418,4377.121398734057,4826.625734641403,4415.825763102517,2323.9413311272533,1256.7522376583975,5225.226449444869,322.9560152632791,1732.0137682788054,51.28866,6462.820231115221,591.7745512934827,74.40115459451215,36895.67400655322
t41,0.0,5234.926711299418,4377.121398734057,4167.782774105126,2925.2480366793266,2323.9413311272533,1084.5291118574207,3692.966691868032,322.9560152632791,3339.4715533251906,33.97599,6462.084717743073,591.7745512934827,74.38876556511143,34631.16764886078
t42,0.0,5234.926711299418,4377.121398734057,3685.067718509544,1057.9403366996683,2323.9413311272533,958.9183113670597,1631.084275441843,322.9560152632791,3924.000795376641,12.287700000000001,6460.088268811848,591.6990279115103,74.46322879390533,30654.49511933603
t43,0.0,5234.926711299418,4377.121398734057,5849.024598539302,0.0,2323.9413311272533,1522.0172923834903,0.0,322.9560152632791,6313.201236469892,0.0,6461.05644315579,591.4539024912515,74.46322879390533,33070.16215825764
t44,0.0,5234.926711299418,4377.121398734057,3084.4256424122814,0.0,2323.9413311272533,802.6208619459277,0.0,322.9560152632791,7303.470293074801,0.0,6458.986394606679,591.4539024912515,74.44148346625927,30574.34403442121
t45,0.0,5234.926711299418,4377.121398734057,5612.32527455702,0.0,2323.9413311272533,1460.4240372813515,0.0,322.9560152632791,6783.164116225049,0.0,6460.690725602189,591.4539024912515,74.38876556511143,33241.39227814598
t46,0.0,5234.926711299418,4377.121398734057,6772.966742601474,0.0,2323.9413311272533,1762.4430072583589,0.0,322.9560152632791,6286.233052726372,0.0,6461.332658939734,591.9978296435232,74.38876556511143,34208.30751315859
t47,0.0,5234.926711299418,4377.121398734057,4422.364235203193,0.0,2323.9413311272533,1150.775608103697,0.0,322.9560152632791,5438.303038745242,0.0,6460.430903257706,592.0459484396912,74.46322879390533,30397.32841896744
t48,0.0,5234.926711299418,4377.121398734057,4892.240719973752,0.0,2323.9413311272533,1273.04559056945,0.0,322.9560152632791,5042.3398773389445,0.0,6461.250854748981,592.0459484396912,74.46322879390533,30594.331676288737
t49,0.0,5234.926711299418,4377.121398734057,4173.604819840874,0.0,2323.9413311272533,1086.0441087834158,0.0,322.9560152632791,4681.943074713857,0.0,6461.060116276493,592.0459484396912,74.43661813097115,29328.080142609313
t50,0.0,5234.926711299418,4377.121398734057,3151.1175977864227,0.0,2323.9413311272533,819.9752614072773,0.0,322.9560152632791,4846.843770082398,0.0,6461.262080172481,591.5401910292476,74.39982541509991,28204.084182316932
t51,0.0,5234.926711299418,4377.121398734057,4193.411967130966,0.0,2323.9413311272533,1091.1982708458963,0.0,322.9560152632791,5374.00110896214,0.0,6462.12369172694,591.4539024912515,74.46322879390533,30045.597626375104
t52,0.0,5234.926711299418,4377.121398734057,7016.748906961014,0.0,2323.9413311272533,1825.8793398432065,0.0,322.9560152632791,6459.592902273692,0.0,6461.617770631338,591.7896971844838,74.42909443685856,34689.0031677546
t53,0.0,5234.926711299418,4377.121398734057,4883.863266742943,0.0,2323.9413311272533,1270.8656324467559,0.0,322.9560152632791,5774.30367627466,0.0,6462.451100926082,591.4888458168892,74.42909443685856,31316.3470730682
t54,0.0,5234.926711299418,4377.121398734057,3376.6063352590254,0.0,2323.9413311272533,878.6513281409906,0.0,322.9560152632791,6264.66185544241,0.0,6461.140644866456,591.4539024912515,74.42909443685856,29905.888617061
t55,0.0,5234.926711299418,4377.121398734057,8446.80602608316,3.440456379511116,2323.9413311272533,2198.004918686487,0.0,322.9560152632791,7179.159839829612,0.03996000000000001,6463.201901597773,591.7941405535332,74.39496007981178,37215.7876596339
t56,0.0,5234.926711299418,4377.121398734057,4776.878469801209,1340.9178739144575,2323.9413311272533,1243.026339206628,1302.948497676484,322.9560152632791,6137.25518789252,15.574410000000002,6461.774511734797,591.757970943776,74.46322879390533,34203.541946387784
t57,0.0,5234.926711299418,4377.121398734057,1337.8362047434164,3166.079983245104,2323.9413311272533,348.1281030181835,3465.5743546446693,322.9560152632791,4551.700777683586,36.77318999999999,6460.868933170737,591.9558134307351,74.42909443685856,32292.291910797292
