Zone,1,2,3,Total
CO2_Price_1,-1887.3433256138294,0.0,0.0,0.0
CO2_Price_2,0.0,-736.4142775505469,0.0,0.0
CO2_Price_3,0.0,0.0,-372.9823178502617,0.0
AnnualSum,897024.1166116924,253193.19054060514,122336.18222240273,1.2725534893747002e6
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,62.14498463761911,0.0,0.0,62.14498463761911
t8,65.57506495852667,0.0,0.0,65.57506495852667
t9,65.57506495852667,0.0,0.0,65.57506495852667
t10,65.57506495852667,0.0,0.0,65.57506495852667
t11,65.57506495852667,0.0,0.0,65.57506495852667
t12,65.57506495852667,0.0,0.0,65.57506495852667
t13,65.57506495852667,0.0,0.0,65.57506495852667
t14,65.57506495852667,0.0,0.0,65.57506495852667
t15,65.57506495852667,0.0,0.0,65.57506495852667
t16,65.57506495852667,0.0,0.0,65.57506495852667
t17,46.77725834346127,0.0,0.0,46.77725834346127
t18,48.39113181939418,0.0,0.0,48.39113181939418
t19,35.39566992061484,0.0,0.0,35.39566992061484
t20,2.8994255645511244,0.0,0.0,2.8994255645511244
t21,6.195353770408385,0.0,0.0,6.195353770408385
t22,3.9650264130613673,0.0,0.0,3.9650264130613673
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,28.43521370366033,0.0,0.0,28.43521370366033
t29,84.89677229599853,0.0,0.0,84.89677229599853
t30,79.06150811510135,0.0,0.0,79.06150811510135
t31,79.06150811510135,0.0,0.0,79.06150811510135
t32,61.654713760471964,0.0,0.0,61.654713760471964
t33,79.06150811510135,0.0,0.0,79.06150811510135
t34,79.06150811510135,0.0,0.0,79.06150811510135
t35,79.06150811510135,0.0,0.0,79.06150811510135
t36,79.06150811510135,0.0,0.0,79.06150811510135
t37,57.89054053760214,0.0,0.0,57.89054053760214
t38,37.00078579786743,0.0,0.0,37.00078579786743
t39,37.00078579786743,0.0,0.0,37.00078579786743
t40,37.00078579786743,0.0,0.0,37.00078579786743
t41,51.30216258793315,0.0,0.0,51.30216258793315
t42,79.06150811510135,0.0,0.0,79.06150811510135
t43,79.06150811510135,0.0,0.0,79.06150811510135
t44,79.06150811510135,0.0,0.0,79.06150811510135
t45,79.06150811510135,0.0,0.0,79.06150811510135
t46,37.00078579786743,0.0,0.0,37.00078579786743
t47,69.38322867135804,0.0,0.0,69.38322867135804
t48,37.00078579786743,0.0,0.0,37.00078579786743
t49,37.00078579786743,0.0,0.0,37.00078579786743
t50,37.00078579786743,0.0,0.0,37.00078579786743
t51,37.00078579786743,0.0,0.0,37.00078579786743
t52,37.00078579786743,0.0,0.0,37.00078579786743
t53,37.00078579786743,0.0,0.0,37.00078579786743
t54,52.47927453251157,0.0,0.0,52.47927453251157
t55,37.00078579786743,0.0,0.0,37.00078579786743
t56,37.00078579786743,0.0,0.0,37.00078579786743
t57,79.06150811510135,0.0,0.0,79.06150811510135
t58,79.06150811510135,0.0,0.0,79.06150811510135
t59,66.50246509779058,0.0,0.0,66.50246509779058
t60,79.06150811510135,0.0,0.0,79.06150811510135
t61,79.06150811510135,0.0,0.0,79.06150811510135
t62,78.35832107321517,0.0,0.0,78.35832107321517
t63,37.00078579786743,0.0,0.0,37.00078579786743
t64,37.00078579786743,0.0,0.0,37.00078579786743
t65,37.00078579786743,0.0,0.0,37.00078579786743
t66,79.06150811510135,0.0,0.0,79.06150811510135
t67,79.06150811510135,0.0,0.0,79.06150811510135
t68,79.06150811510135,0.0,0.0,79.06150811510135
t69,79.06150811510135,0.0,0.0,79.06150811510135
