Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4533.236964557218,3471.6188011976124,111.87652823900363
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8336.599064212096,4561.036996047278,193.96069389563738
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.961163866974,5671.377905751193,193.96069389563738
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15943.323263521852,6595.715417475538,193.96069389563738
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.961163866974,7274.1319060383985,193.96069389563738
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15943.323263521852,7220.164377887152,193.96069389563738
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14722.130233873704,5276.5977781514175,193.96069389563738
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10363.599371614639,4624.8499749131815,96.98034694781869
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10032.870815553195,5266.492452336659,111.87652823900363
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9303.829600379868,4675.864292503549,193.96069389563738
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6876.139944733823,7080.424103025172,193.96069389563738
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6513.962185306231,7421.635633540302,193.96069389563738
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5786.9531201663685,7679.540994101027,146.7652334215766
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161.130738554884,7824.911701046603,49.7848864737579
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4587.747607171999,7953.11635763345,39.94623774524505
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4632.214391733195,7450.782726286047,122.0304034018788
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2865.892022940675,8935.854413492498,96.98034694781869
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4324.793788160865,8774.646974799643,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3627.333320203059,7552.344124346806,82.08416565663374
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7430.695419857937,8935.854413492498,164.1683313132675
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4806.772279708841,7327.196035329893,96.98034694781869
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.4520657287098,5665.20132338923,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.997071222098,4907.264773818628,82.08416565663374
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6008.939406022889,4682.550142991144,12.60812784485894
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8336.599064212094,4529.572095396327,71.41264624874515
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139.961163866974,6628.573870127889,126.77270953018858
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15943.323263521852,8596.03988320589,29.79236258236989
