Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,1.80060703125e7,-6.981654837590057e-10,0.0,3.004277587890625e6,-5.267054153934581e-10,0.0,2.2530212890625e7,7.952758460452736e-13,0.0,0.0,0.0,4.3540560791015625e7
t1,8614.061126921986,0.0,16710.455793778292,0.0,3486.0258205291448,3096.5237172004363,0.0,753.4745539024406,7943.235662827665,0.0,4134.089238755299,2612.985535574047,89.22191919199834,47440.073368681304
t2,8614.061126921986,0.0,16431.466801778508,0.0,3486.0258205291448,3043.2783715140176,0.0,753.4745539024406,7869.722118455241,0.0,4129.955149516544,2612.9966764253463,89.13269727280634,47030.11331631604
t3,8614.061126921986,0.0,16350.469096357552,0.0,3486.0258205291448,3029.7873653203887,0.0,753.4745539024406,7532.6508083379385,0.0,4134.089238755299,2613.0071015215694,89.16010624638213,46602.7252178927
t4,8614.061126921986,0.0,15352.926319603814,0.0,3486.0258205291448,2844.6140518292027,0.0,753.4745539024406,6771.1423056965705,0.0,4132.901732175523,2612.9144221854876,89.19872023676379,44657.25905308093
t5,8614.061126921986,0.0,14346.02263362942,0.0,3486.0258205291448,2658.625392888812,0.0,753.4745539024406,6389.738136178678,0.0,4134.089238755299,2612.791887880186,89.22191919199834,43084.05070987796
t6,8614.061126921986,0.0,11472.476904205416,0.0,3486.0258205291448,2126.606672601317,0.0,753.4745539024406,6217.012393615399,0.0,4134.089238755299,2612.4269651682184,89.15817635062604,39505.33185204984
t7,8614.061126921986,0.0,3302.401189476743,27.998287476505666,3486.0258205291448,612.1778248581835,0.0,753.4745539024406,6211.21064512928,0.28970999999999997,4131.585669258463,2611.4854405008346,89.13269727280634,29839.84296532639
t8,8614.061126921986,0.0,2911.2450989044532,1717.550117955296,3486.0258205291448,539.6678325926719,1573.3110626805383,753.4745539024406,4775.278151792404,17.77221,4129.955149516544,2612.1291110450165,89.22191919199834,31219.692155032495
t9,8614.061126921986,0.0,1637.1956148527388,3801.9743476717003,3486.0258205291448,303.49275962037507,3581.424777098398,753.4745539024406,4571.817256985782,39.34062,4131.095555218429,2612.9855387705547,89.19586391750293,33622.08383548905
t10,8614.061126921986,0.0,551.1988673216132,5380.498486433314,3486.0258205291448,102.17768959643114,5131.947440840921,753.4745539024406,2309.2507319112365,55.674270000000014,4132.1119522283025,2612.3797022657245,89.22191919199834,33218.022561143116
t11,8614.061126921986,0.0,36.408971156238806,6532.290105725426,3486.0258205291448,6.749260156147838,6118.2293468782,753.4745539024406,1153.679026365048,67.59234000000001,4132.073641793751,2612.5838431661996,89.14761357438981,33602.31565016897
t12,8614.061126921986,0.0,9.24957743021945,6545.806520369256,3486.0258205291448,1.7146269841873085,6225.790589865629,753.4745539024406,1202.94864775707,67.73219999999999,4131.979619268935,2612.623869811835,89.21442516445511,33740.62157800516
t13,8614.061126921986,0.0,14.622281417536382,6382.644086454447,3486.0258205291448,2.710584183767809,6142.840817731256,753.4745539024406,961.0630538162812,66.04389,4131.831904769375,2612.5823611049686,89.15750343374431,33257.057984264946
t14,8614.061126921986,0.0,58.151813490095115,6324.716595123746,3486.0258205291448,10.779807979528316,6032.5449668712645,753.4745539024406,1064.4891386485083,65.44449,4130.77041131068,2613.6519679582852,89.13269727280634,33243.24339000849
t15,8614.061126921986,0.0,322.0204436158146,5959.773399740327,3486.0258205291448,59.69407210752368,5945.949050906807,753.4745539024406,1222.4364471769957,61.66827,4131.908451486802,2612.517735537564,89.17611709644248,33258.70548902184
t16,8614.061126921986,0.0,1993.5629134435824,4793.499907615539,3486.0258205291448,369.5538300914938,4976.98632806242,753.4745539024406,2075.04618956772,49.600350000000006,4132.356120802081,2612.4538554010496,89.20943757808058,33945.83043391553
t17,8614.061126921986,0.0,4594.854421387815,3246.8358890858126,3486.0258205291448,851.7644658645764,3487.536573473777,753.4745539024406,3428.882536096231,33.59637,4132.044961248709,2612.4538554010496,89.13269727280634,35330.66327118435
t18,8614.061126921986,0.0,6571.284459083428,1199.0990705455185,3486.0258205291448,1218.142313994103,1481.2459309709586,753.4745539024406,4508.885054969592,12.407580000000001,4131.279341824001,2612.3735310706784,89.22191919199834,34677.50070300385
t19,8614.061126921986,0.0,8974.421932712286,0.0,3486.0258205291448,1663.620433408905,0.0,753.4745539024406,4838.789796443878,0.0,4132.968442386268,2611.844822351647,89.14640175959423,35164.353330416154
t20,8614.061126921986,0.0,15716.062301272565,0.0,3486.0258205291448,2913.298104823296,0.0,753.4745539024406,5705.851993713751,0.0,4134.089238755299,2613.1432127808234,89.21031971438107,44025.216672413684
t21,8614.061126921986,0.0,7343.8630349594005,0.0,3486.0258205291448,1361.3579455832873,0.0,753.4745539024406,6057.4200050050695,0.0,4131.312805235495,2611.6523141814278,89.20118118237255,34448.36878750062
t22,8614.061126921986,0.0,5920.125353032647,0.0,3486.0258205291448,1097.4346403023042,0.0,753.4745539024406,5623.811487045593,0.0,4130.542235002838,2611.625738451859,89.22191919199834,32326.32287438081
t23,8614.061126921986,0.0,9315.340758380164,0.0,3486.0258205291448,1726.8177656457055,0.0,753.4745539024406,4319.164904689075,0.0,4132.717102854829,2612.076200707806,89.13269727280634,35048.81093090396
t24,8614.061126921986,0.0,10877.69564524238,0.0,3486.0258205291448,2016.4370339961417,0.0,753.4745539024406,4651.016278570577,0.0,4133.922110189623,2612.341887539069,89.13269727280634,37234.10715416417
t25,8614.061126921986,0.0,10406.011612501059,0.0,3486.0258205291448,1928.9992913911406,0.0,753.4745539024406,4471.657193614598,0.0,4133.353945077793,2612.9795533094602,89.22191919199834,36495.78501643962
t26,8614.061126921986,0.0,12791.960029531929,0.0,3486.0258205291448,2371.221663822832,0.0,753.4745539024406,4335.89591566105,0.0,4134.089238755299,2613.6519679582852,89.19586391750293,39189.57618100047
t27,8614.061126921986,0.0,11963.451964726122,0.0,3486.0258205291448,2217.4244661178336,0.0,753.4745539024406,3724.5708587554504,0.0,4134.089238755299,2612.680007327625,89.22191919199834,37594.999956227904
t28,8614.061126921986,0.0,6236.832581929222,0.0,3486.0258205291448,1156.1437829469292,0.0,753.4745539024406,2898.3268087346437,0.0,4132.194149320896,2612.056581652519,89.13269727280634,29978.248103210586
t29,8614.061126921986,0.0,1906.1423633297832,0.0,3486.0258205291448,353.34837256346674,0.0,753.4745539024406,3926.0793303119226,0.0,4131.340789929681,2611.6272983853023,89.1884416434627,25871.28809751719
t30,8614.061126921986,0.0,943.106118643615,0.0,3486.0258205291448,174.82692719510908,0.0,753.4745539024406,4823.382124159209,0.0,4130.902037958621,2611.4461721769876,89.22191919199834,25626.44680067911
t31,8614.061126921986,0.0,271.66230976824625,0.0,3486.0258205291448,50.35900617399721,0.0,753.4745539024406,4515.120775057729,0.0,4129.955149516544,2611.0383159903267,89.13269727280634,24520.82975513322
