Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,1.0996255e7,4.005836e7,3.4729668e6,4.5645572e7,0.0,929142.8,2.6025904e7,8.781996e6,1.0897825e7,4.4871635e6,1.5129518e8
t1,0.0,0.0,0.0,11762.196586568443,0.0,0.0,2596.996606690222,1760.5676249730916,0.0,0.0,16119.760818231756
t2,0.0,0.0,0.0,3672.4997869208096,0.0,0.0,0.0,1651.0525038417172,4007.0582263587344,1258.3812275526998,10588.991744673962
t3,0.0,0.0,0.0,11652.261536488202,0.0,0.0,2302.3999157391327,1687.6017798990224,0.0,0.0,15642.263232126355
t4,0.0,0.0,0.0,4477.11469453505,0.0,0.0,2839.258322567196,0.0,3587.573420976576,1451.6685841047945,12355.615022183618
t5,0.0,0.0,0.0,11711.155313316905,0.0,0.0,5122.929789609309,391.22833675231664,0.0,29.688937966401603,17255.002377644934
t6,0.0,0.0,0.0,11908.449465693051,0.0,0.0,2424.1101101151207,2135.1884550117397,0.0,0.0,16467.748030819912
t7,0.0,77.89399963779535,0.0,3785.662491585812,0.0,0.0,2600.7861987254255,2975.1161040870393,4007.0582263587344,0.0,13446.517020394807
t8,0.0,4778.393977780619,0.0,3337.266050489118,0.0,0.0,2702.8657165891577,2186.173253693298,3138.6866734510913,0.0,16143.385672003284
t9,0.0,10577.467950815108,0.0,0.0,0.0,0.0,0.0,904.1409058938511,3307.535488461517,1365.6650987659646,16154.809443936441
t10,0.0,14969.077930394262,0.0,0.0,0.0,0.0,1986.231307570228,1535.173589424395,592.0760453562048,380.8924824985592,19463.451355243647
t11,0.0,18173.47591549391,0.0,0.0,0.0,0.0,1446.2351380499872,0.0,942.2944935542436,343.84731500436334,20905.852862102503
t12,0.0,18211.079915319053,0.0,0.0,0.0,0.0,0.0,0.0,2053.5800399867076,0.0,20264.65995530576
t13,0.0,17757.145917429832,0.0,0.0,0.0,0.0,1204.774574683939,0.0,880.2383931540429,787.8161570643153,20629.97504233213
t14,0.0,17595.98591817922,0.0,0.0,0.0,0.0,1334.4280005129494,0.0,1133.4854773951727,575.248430839389,20639.14782692673
t15,0.0,16580.67792290037,0.0,0.0,0.0,0.0,1411.4530979551882,751.713854177154,694.4532704167304,681.5322939518521,20119.830439401296
t16,0.0,13335.989937988068,0.0,0.0,0.0,0.0,1396.7300905709963,1491.8316441831992,1495.8898158972258,681.5322939518521,18401.97378259134
t17,0.0,9033.017957996752,0.0,3489.412186857224,0.0,0.0,0.0,1491.8316441831992,1836.8577138160924,1374.9896701092862,17226.109172962555
t18,0.0,3336.01198448765,0.0,7532.902173595248,0.0,0.0,0.0,1549.6940226922557,2527.885207234649,1486.745306654891,16433.238694664695
t19,0.0,0.0,0.0,6643.909541527335,0.0,0.0,6064.15262344618,1742.5930963659532,2982.6879342136276,0.0,17433.343195553098
t20,0.0,0.0,0.0,12755.538289079197,0.0,0.0,3933.0553755820806,3078.7357005167114,0.0,0.0,19767.32936517799
t21,0.0,0.0,0.0,8418.537070353466,0.0,0.0,339.61161218892386,3254.3926604676967,2136.5998135806526,1486.745306654891,15635.886463245632
t22,0.0,0.0,0.0,6786.454827438141,0.0,0.0,2697.9580474610934,3138.3322751108567,2847.122918220226,0.0,15469.868068230318
