Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,6.533264e6,4.1280776e7,2.374866e7,2.9790798e6,3.3200262e6,1.8946182e7,152223.12,885030.5,2.7578932e7,148954.0,2.1626222e6,3.0395795e6,266824.0,1.3104215e8
t1,0.0,0.0,5434.332534543947,0.0,0.0,4351.787964385208,0.0,0.0,4610.39890917907,0.0,0.0,0.0,0.0,14396.519408108225
t2,0.0,0.0,5340.888097877934,0.0,0.0,1101.20645832325,0.0,0.0,896.2030470383911,0.0,1615.7650578670207,1720.2266225612748,0.0,10674.28928366787
t3,0.0,0.0,5317.211672125234,0.0,0.0,4257.998127967893,0.0,0.0,815.6546090842418,0.0,547.8268521188969,1156.6869180155472,0.0,12095.378179311814
t4,0.0,0.0,4992.2364890046465,0.0,0.0,3997.759527985579,0.0,0.0,815.6546090842418,0.0,1130.9684984017294,859.949911985008,0.0,11796.569036461206
t5,0.0,0.0,4665.830392154286,0.0,0.0,3736.3750590105756,0.0,0.0,843.1375562014003,0.0,1130.9684984017294,1289.6517133262885,0.0,11665.963219094278
t6,0.0,0.0,3732.1489788374606,0.0,0.0,2988.687369452705,0.0,0.0,4308.267754968917,0.0,1130.9684984017294,1275.9560302236246,0.0,13436.028631884437
t7,0.0,5041.625499034602,1074.3589180582508,5.8,0.0,860.3415744833823,0.0,0.0,4618.515222082903,0.29,0.0,98.00135137872296,0.0,11698.932565037863
t8,0.0,7222.161505666812,947.1054409222015,355.8,0.0,758.4375878011797,17.26,0.0,3548.967568943305,17.79,0.0,0.0,0.0,12867.5221033335
t9,0.0,7828.719294472268,532.6232666787525,787.6,0.0,426.52220981148423,39.290000000000006,0.0,3399.0425093338295,39.379999999999995,0.0,0.0,0.0,13053.177280296335
t10,0.0,8364.482558952279,179.31964796330874,1114.6000000000001,1123.8665521643331,143.5983316854584,56.3,0.0,1717.4250708916486,55.730000000000004,53.72218232749331,368.40969399958357,0.0,13177.454037984102
t11,0.0,8364.482558952279,11.844806434686591,1353.2,1756.0414877567707,9.485265348648259,67.12,0.0,858.0087282256021,67.66,0.0,531.5886327583623,356.21444802472246,13375.645927501075
t12,0.0,8364.482558952279,3.00913348508124,1356.0,1756.0414877567707,2.4096999586176415,68.30000000000001,0.0,894.6512988406887,67.80000000000001,95.06208904870724,881.3809834577029,0.0,13489.137251499846
t13,0.0,8364.482558952279,4.75701695279997,1322.2,1756.0414877567707,3.809396828401593,67.39,0.0,714.7572849162641,66.11,1210.0218967178803,0.0,0.0,13509.569642124397
t14,0.0,8364.482558952279,18.91833118987064,1310.2,1756.0414877567707,15.149710742763999,66.18,0.0,791.6768452829384,65.51,844.2389164180208,0.0,319.44935165545917,13551.847201998104
t15,0.0,8364.482558952279,104.76181285852245,1234.6,1756.0414877567707,83.8927675895625,65.22999999999999,0.0,909.1446731797272,61.73,66.7595192367607,793.1522863553071,0.0,13439.79510592893
t16,0.0,8364.482558952279,648.5590247463738,993.0,1122.7778766025053,519.3630202318001,54.60000000000001,0.0,1543.2435724605284,49.65,0.0,0.0,0.0,13295.676052993485
t17,0.0,7233.716000757327,1494.8283208375299,672.6,0.0,1197.0514969579115,38.260000000000005,0.0,2548.4095186336663,33.63,0.0,0.0,0.0,13218.495337186434
t18,0.0,5746.838985600004,2137.8135655385026,248.4,0.0,1711.951060313725,16.25,0.0,3350.969024686027,12.42,0.0,0.0,0.0,13224.642636138256
t19,0.0,4467.498050131565,2919.6180853346646,0.0,0.0,2338.0164470238915,0.0,0.0,3597.683214380017,0.0,0.0,0.0,0.0,13322.815796870138
t20,0.0,2659.19260012789,5112.775524994204,0.0,0.0,4094.286621740612,0.0,0.0,4240.332493413632,0.0,0.0,0.0,0.0,16106.587240276338
t21,0.0,4212.552591046722,2389.1539191993515,0.0,0.0,1913.2232347846227,0.0,0.0,4502.147027575623,0.0,0.0,729.1373329545436,0.0,13746.214105560864
t22,0.0,4049.6766019238553,1925.974193965559,0.0,0.0,1542.3110867320522,0.0,0.0,4179.298245660897,0.0,0.0,995.0291316378064,0.0,12692.28925992017
t23,0.0,2659.19260012789,3030.5280443842685,0.0,0.0,2426.832621200658,0.0,0.0,3209.754083880069,0.0,0.0,0.0,0.0,11326.307349592886
t24,0.0,2659.19260012789,3538.803632226541,0.0,0.0,2833.857324179832,0.0,0.0,3456.224169011546,0.0,0.0,0.0,0.0,12488.07772554581
t25,0.0,2659.19260012789,3385.3522742582463,0.0,0.0,2710.9741975989473,0.0,0.0,1946.1555496931608,0.0,0.0,1981.4991839676202,0.0,12683.173805645865
t26,0.0,2659.19260012789,3757.912261624151,0.0,0.0,3332.46402738459,0.0,0.0,851.9713606319156,0.0,1148.328256210923,625.2106599206502,0.0,12375.07916590012
t27,0.0,2659.19260012789,3891.532253469216,0.0,0.0,2703.5669809167835,0.0,0.0,1567.7393915106875,0.0,1015.2636537749946,920.5187056852258,0.0,12757.813585484799
t28,0.0,2854.9786739036745,2029.007476797093,0.0,0.0,1624.8196555962493,0.0,0.0,2154.0552408510316,0.0,0.0,0.0,0.0,8662.861047148048
t29,0.0,4928.179597364925,620.1187952746784,0.0,0.0,496.5882180766971,0.0,0.0,2919.885216018357,0.0,0.0,0.0,0.0,8964.771826734657
t30,0.0,5755.524364112206,306.81749766466584,0.0,0.0,245.69801076995202,0.0,0.0,3587.223020891113,0.0,0.0,0.0,0.0,9895.262893437937
t31,0.0,8161.402563209018,88.37897289095372,0.0,0.0,70.77346630644776,0.0,0.0,3357.96434316598,0.0,0.0,0.0,0.0,11678.5193455724
t32,0.0,6007.124248809081,1817.5109920275509,361.8,124.25332043692217,1455.4542641559347,19.37,0.0,2883.2900386009246,18.090000000000003,0.0,0.0,0.0,12686.892864030415
t33,0.0,8364.482558952279,786.3308247956429,773.8000000000001,719.3943125763028,629.6900304901831,40.11000000000001,0.0,1566.1356946261885,38.690000000000005,0.0,0.0,0.0,12918.633421440596
t34,0.0,8364.482558952279,0.11864595273408662,1097.2,929.9078002177822,0.09501112157733359,54.35,0.0,1024.281021206429,54.86,1353.6730718493275,0.0,169.3700049730603,13048.33811427319
t35,0.0,8364.482558952279,2.187455837648729,1346.0,929.9078002177822,1.7517043586113141,67.66,0.0,619.5869969337482,67.30000000000001,172.4337486148895,1654.826704503721,0.0,13226.136969418681
t36,0.0,8364.482558952279,51.10566653017839,1376.0,929.9078002177822,40.92517767438726,69.54,0.0,516.2076295745151,68.8,743.6977832846459,680.0216651461096,506.29379470712155,13346.98207608702
t37,0.0,8364.482558952279,854.542957313095,1386.6000000000001,929.9078002177822,684.3139857648318,69.8,0.0,804.3593833536758,69.33,0.0,239.6832269211252,0.0,13403.019912522788
t38,0.0,6608.773810012165,2211.0336511987875,1372.8,334.7668080784016,1770.5853609389112,69.64,0.0,1064.0048491775956,68.64,0.0,0.0,0.0,13500.24447940586
t39,0.0,6619.647180280346,2269.8750066348534,1300.0,190.05551603668823,1817.705241948599,66.72,0.0,1134.6752155613144,65.0,0.0,0.0,0.0,13463.678160461799
t40,0.0,7733.812652637322,1829.280594344124,1026.8,0.0,1464.8793064000895,54.46,0.0,1244.4657400326141,51.339999999999996,0.0,0.0,0.0,13405.038293414147
t41,0.0,7424.375958527212,1579.5805536346725,680.2,0.0,1264.9206868348483,38.49,0.0,2399.4370102823113,34.010000000000005,0.0,0.0,0.0,13421.014209279043
t42,0.0,7854.470979075724,1396.6326035872576,246.0,0.0,1118.4168278853883,17.0,0.0,2819.4259440326155,12.3,0.0,0.0,0.0,13464.246354580984
t43,0.0,4979.790384719173,2216.767527085731,0.0,0.0,1775.1770218127108,0.0,0.0,4535.426648151307,0.0,0.0,0.0,0.0,13507.161581768923
t44,0.0,6891.090910004102,1168.9905707556152,0.0,0.0,936.122157405114,0.0,0.0,5246.249466622189,0.0,0.0,0.0,0.0,14242.453104787019
t45,0.0,5287.8829387232645,2127.059001117469,0.0,0.0,1703.3388556478974,0.0,0.0,4872.6865732910865,0.0,0.0,0.0,0.0,13990.967368779717
t46,0.0,3829.562779921225,2566.939578400832,0.0,0.0,2055.5931554759445,0.0,0.0,4515.925635727453,0.0,0.0,0.0,0.0,12968.021149525455
t47,0.0,4640.868703402138,1676.0663704495257,0.0,0.0,1342.1860756714168,0.0,0.0,3907.3007625365117,0.0,0.0,0.0,0.0,11566.421912059592
t48,0.0,3386.206523383043,1854.1485302408682,0.0,0.0,1484.793432642207,0.0,0.0,3622.96151559141,0.0,0.0,0.0,0.0,10348.110001857527
t49,0.0,3304.3469523770436,1581.7870962317818,0.0,0.0,1266.6876757807704,0.0,0.0,3364.0135315174057,0.0,0.0,0.0,0.0,9516.835255907
t50,0.0,3450.8322250673987,1194.2666759421393,0.0,0.0,956.3631436969993,0.0,0.0,3482.495999527827,0.0,0.0,0.0,0.0,9083.958044234365
t51,0.0,2928.047268746994,1589.2939617231398,0.0,0.0,1272.6991384006762,0.0,0.0,3860.9581071214343,0.0,0.0,0.0,0.0,9650.998475992244
t52,0.0,2928.047268746994,2659.332485377127,0.0,0.0,2129.5809613413703,0.0,0.0,4637.231176680239,0.0,0.0,683.0555174147657,0.0,13037.247409560496
t53,0.0,2928.047268746994,1850.9734937935305,0.0,0.0,1482.2508783707895,0.0,0.0,4148.253351565916,0.0,878.2784099520709,1054.0418992654122,0.0,12341.845301694713
t54,0.0,2928.047268746994,1279.726414148345,0.0,0.0,1024.7989005818117,0.0,0.0,4500.286478371974,0.0,1130.9684984017294,1603.585069651626,0.0,12467.412629902481
t55,0.0,2928.047268746994,3201.3210050252455,0.8,0.0,2563.602821734861,0.0,0.0,5156.776370711054,0.04,1130.9684984017294,766.1200462856835,0.0,15747.676010905569
t56,0.0,4676.538429774964,1810.4264898005015,311.8,0.0,1449.7810280539188,13.580000000000002,0.0,4409.066871083866,15.590000000000002,0.0,0.0,0.0,12686.78281871325
t57,0.0,7774.213076342871,507.036994847902,736.1999999999999,318.4293308392955,406.03284352791576,36.120000000000005,0.0,3270.4333998084103,36.81,0.0,0.0,0.0,13085.275645366395
t58,0.0,8364.482558952279,10.065122586150187,1022.4,884.5259189980432,8.060102883296583,48.43,0.0,2155.7588131658667,51.12,0.0,760.7458430328987,0.0,13305.588359618534
t59,0.0,8364.482558952279,0.0,1509.2,884.5259189980432,0.0,72.3,0.0,1871.654045067594,75.46000000000001,688.7835110147324,117.90246636125656,0.0,13584.308500393903
t60,0.0,8364.482558952279,0.0,1329.6,884.5259189980432,0.0,61.53,0.0,1590.8226121935793,66.48,792.1594241099325,0.0,675.6637996801819,13765.264313934014
t61,0.0,8364.482558952279,2.5281438811922317,1353.2,884.5259189980432,2.024525743404797,64.2,0.0,1336.816787422922,67.66,0.0,1695.8832871768009,0.0,13771.321222174643
t62,0.0,8364.482558952279,564.618357478307,1369.8,884.5259189980432,452.1437282179939,64.83,0.0,1308.0010058042787,68.49,788.8616686241984,0.0,0.0,13865.753238075098
t63,0.0,7222.485265736068,2018.9159799775966,1296.4,318.4293308392955,1616.7384323507895,61.73,0.0,1216.4332345862842,64.82000000000001,0.0,0.0,0.0,13815.952243490034
t64,0.0,7938.770666596619,1858.492849764775,1024.2,0.0,1488.2723433083108,51.870000000000005,0.0,1340.5328936112148,51.21000000000001,0.0,0.0,0.0,13753.34875328092
t65,0.0,6654.026968403208,2416.4601818140786,675.4,0.0,1935.089961607788,36.15,0.0,1973.7539933874314,33.77,0.0,0.0,0.0,13724.651105212506
t66,0.0,7514.882357058872,1589.7742329203427,242.60000000000002,0.0,1273.0837373191898,15.520000000000001,0.0,3103.727417517041,12.130000000000003,0.0,0.0,0.0,13751.717744815445
t67,0.0,7178.533344855903,1223.9801234334936,0.0,0.0,980.1575328609518,0.0,0.0,4345.735891696794,0.0,0.0,0.0,0.0,13728.406892847142
t68,0.0,6892.305393013226,1687.2350310155007,0.0,0.0,1351.1298865847828,0.0,0.0,4446.2493307534005,0.0,0.0,0.0,0.0,14376.91964136691
t69,0.0,7763.645704080517,1122.1622704231722,0.0,0.0,898.6222744877645,0.0,0.0,4352.7101830698775,0.0,0.0,0.0,0.0,14137.140432061331
t70,0.0,6033.701044089968,1916.6451878790006,0.0,0.0,1534.8404624835177,0.0,0.0,3638.1890749527743,0.0,0.0,0.0,0.0,13123.37576940526
t71,0.0,4718.310154787584,2264.553926141351,0.0,0.0,1813.4441456866473,0.0,0.0,2943.937643475858,0.0,0.0,0.0,0.0,11740.245870091441
t72,0.0,2931.715478879328,2884.844692737795,0.0,0.0,2310.1700775899317,0.0,0.0,3072.9437390394082,0.0,0.0,0.0,0.0,11199.673988246463
t73,0.0,2931.715478879328,2762.7216353146896,0.0,0.0,2212.3745069122915,0.0,0.0,3191.008905370771,0.0,0.0,0.0,0.0,11097.82052647708
t74,0.0,2931.715478879328,3690.269031105263,0.0,0.0,2955.15010405138,0.0,0.0,4032.9289314036496,0.0,0.0,0.0,0.0,13610.063545439622
t75,0.0,2931.715478879328,56.83662525057791,0.0,0.0,45.51450249492219,0.0,0.0,374.85807821662166,0.0,2269.804603748862,2574.531596570956,663.1790430671435,8916.43992822841
t76,0.0,2931.715478879328,2329.220803299136,0.0,0.0,1865.2290771240905,0.0,0.0,4884.408317852625,0.0,0.0,0.0,0.0,12010.57367715518
t77,0.0,2931.715478879328,1817.841878173807,0.0,0.0,1455.7192362274272,0.0,0.0,5469.398379752849,0.0,242.69797727721132,1382.4563941158915,0.0,13299.829344426516
t78,0.0,2931.715478879328,2456.976854894512,0.0,0.0,1967.5355230723399,0.0,0.0,3843.8415478823003,0.0,921.3693128149982,1071.6031866709816,0.0,13193.041904214462
t79,0.0,3093.959584149704,1914.3823592065164,1.6,0.0,1533.0283999128549,0.0,0.0,5384.225669515488,0.08,0.0,0.0,0.0,11927.276012784563
t80,0.0,3386.7402253531295,2077.0355543929477,349.2,0.0,1663.2803145098537,15.700000000000003,0.0,5235.023502457428,17.46,0.0,0.0,0.0,12744.439596713357
t81,0.0,5312.621464679047,1112.9404810920657,759.1999999999999,0.0,891.2375089133161,36.42,0.0,5019.929322597983,37.96,0.0,0.0,0.0,13170.308777282411
t82,0.0,7005.65694371257,120.58145463889717,1110.0,0.0,96.56106241015127,54.63,0.0,4128.911277046244,55.50000000000001,253.66482184972838,0.0,675.6637996801819,13501.169359337773
t83,0.0,7005.65694371257,474.2681800472243,1364.8,0.0,379.79173057608864,67.75,0.0,3626.8647134075827,68.24000000000001,0.0,808.4426751604266,0.0,13795.81424290389
t84,0.0,7005.65694371257,189.18988640838083,1395.8,0.0,151.50237226410172,69.49,0.0,3693.1573880002757,69.79,1092.0492302117423,319.0807132227846,0.0,13985.716533819854
t85,0.0,7005.65694371257,625.6192651832298,1399.8,0.0,500.9929685394889,69.81000000000002,0.0,3431.4462017397173,69.99,924.0905516873914,0.0,0.0,14027.405930862398
t86,0.0,7005.65694371257,509.0015432412328,1390.6000000000001,0.0,407.6060446522866,69.77,0.0,3275.1508793630674,69.53000000000002,0.0,1439.4794621833482,0.0,14166.794873152505
t87,0.0,7005.65694371257,635.8616110794203,1311.1999999999998,0.0,509.1949910169105,66.81,0.0,4603.345393100819,65.55999999999999,0.0,7.528746004396346,0.0,14205.157684914115
t88,0.0,5791.100543550505,1344.9331684883941,1044.2,0.0,1077.01616313059,54.779999999999994,0.0,4816.379777573607,52.21000000000001,0.0,0.0,0.0,14180.619652743095
t89,0.0,5194.074831153973,1645.7122402558825,696.8,0.0,1317.8786308092554,38.580000000000005,0.0,5234.1974189074335,34.84,0.0,0.0,0.0,14162.083121126545
t90,0.0,4174.710713727267,2372.1508275802535,254.80000000000004,0.0,1899.6072388927666,17.069999999999997,0.0,5369.3059674383185,12.740000000000002,0.0,0.0,0.0,14100.384747638605
t91,0.0,5692.0176149759345,1611.0686125879604,0.0,0.0,1290.1361765207896,0.0,0.0,5368.304493879739,0.0,0.0,0.0,0.0,13961.526897964424
t92,0.0,5381.393530694973,2082.671302457516,0.0,0.0,1667.7933950844772,0.0,0.0,5426.214989590894,0.0,0.0,0.0,0.0,14558.073217827863
t93,0.0,4704.29229185483,2356.0532821467364,0.0,0.0,1886.7164001322706,0.0,0.0,5406.584313078638,0.0,0.0,0.0,0.0,14353.646287212476
t94,0.0,1561.50323824435,3608.205402676673,0.0,0.0,2889.433935922319,0.0,0.0,5313.338599645421,0.0,0.0,0.0,0.0,13372.481176488764
t95,0.0,0.0,5231.880719202494,0.0,0.0,4189.665501733075,0.0,0.0,5178.868465536468,0.0,0.0,0.0,0.0,14600.414686472035
t96,0.0,0.0,5178.704626372357,0.0,0.0,4147.08233640408,0.0,0.0,4470.184518091459,0.0,0.0,1094.0096423757261,0.0,14889.981123243622
t97,0.0,0.0,3721.212913321119,0.0,0.0,2979.929819562406,0.0,0.0,3827.4643797495723,0.0,1032.6234115841878,1282.8038717749566,0.0,12844.034395992241
t98,0.0,0.0,3269.90951733661,0.0,0.0,2618.528180180326,0.0,0.0,894.1773151332662,0.0,1532.312957226357,2389.684229521125,0.0,10704.612199397685
t99,0.0,0.0,4430.360828652884,0.0,0.0,3547.8121387419455,0.0,0.0,2212.039893612612,0.0,1528.7621949750703,530.7877040284301,0.0,12249.762760010943
t100,0.0,0.0,4962.217462875303,0.0,0.0,3973.7204328838643,0.0,0.0,2781.129076272697,0.0,331.830343003761,927.9396817753136,0.0,12976.836996810938
t101,0.0,0.0,3267.3419155124216,0.0,0.0,2616.4720567015347,0.0,0.0,2094.3285663957495,0.0,1481.246662238381,1737.2197499247713,0.0,11196.608950772857
t102,0.0,0.0,3910.182798566776,0.0,0.0,3131.256015928915,0.0,0.0,4988.450903367583,0.0,780.6903345650779,828.3879936251413,0.0,13638.968046053493
t103,0.0,1752.8115581025609,2583.004354693,0.0,0.0,2068.4577528619907,0.0,0.0,5147.459383116858,0.0,0.0,87.67157040616337,0.0,11639.40461918057
t104,0.0,1281.7434518624977,3330.6485930167582,257.40000000000003,0.0,2667.1677466464103,13.070000000000002,0.0,5235.687367154977,12.870000000000001,0.0,0.0,0.0,12798.587158680644
t105,0.0,2669.7114108860133,2516.257608541312,593.8,0.0,2015.007272104988,32.18,0.0,5258.1287201794885,29.69,0.0,0.0,0.0,13114.775011711803
t106,0.0,4363.132648342179,1556.9055378203725,873.1999999999999,0.0,1246.7626406929044,42.410000000000004,0.0,5270.660133471035,43.660000000000004,0.0,0.0,0.0,13396.730960326491
t107,0.0,3103.2488110000986,2233.8604794078383,1114.8,0.0,1788.864977733391,48.43,0.0,5281.1554114601295,55.74,0.0,0.0,0.0,13626.099679601457
t108,0.0,5186.699044107888,1015.4056435684217,1294.2,0.0,813.1320692212122,50.870000000000005,0.0,5278.074614413807,64.71000000000001,0.0,0.0,0.0,13703.091371311328
t109,0.0,5326.396760351801,241.018357144555,1397.6,0.0,193.00636815107805,61.18000000000001,0.0,5263.089276157678,69.88,0.0,1038.3579554720786,0.0,13590.52871727719
t110,0.0,5326.396760351801,25.260741079892604,1411.4,0.0,20.228682787471886,65.88000000000001,0.0,5265.3438776345165,70.57000000000001,1254.2058199520304,196.22751721409833,0.0,13635.513399019812
t111,0.0,5326.396760351801,58.54398949269549,1336.2,0.0,46.88175175919499,64.94999999999999,0.0,5257.325471727163,66.81,0.0,1339.9461238847791,0.0,13497.054097215634
