Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3674905e7,8.883606e6,300338.06,2.285885e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,1947.2195837197764,89.22191919199834,6170.530741667074
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.3604350194848,0.0,1958.3604350194848
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,1968.785531242356,27.40897357578187,6130.283743573437
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946.5826589786934,1876.1061951606812,66.02296395745657,4888.711818096831
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,1753.5718898592484,89.22191919199834,5976.8830478065465
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,1388.6491778916475,25.479077819702155,5548.217494466649
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.519741918871,447.12451050769573,0.0,2077.6442524265667
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.7950546897243,89.22191919199834,1180.0169738817226
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.4057018847975,1947.22278022791,63.16664469658807,3150.7951268092957
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.802711758605,1341.3862753974772,89.22191919199834,3587.4109063480805
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2118.4922772077534,1545.527175872814,14.91630158347365,3678.9357546640413
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.4697523902926,1585.5538215079077,81.72789164876025,3691.7514655469604
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876.755252830712,1544.0451146415462,24.806160937965718,3445.6065284102237
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.2617941360816,2613.6519679582852,0.0,3428.9137620943666
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.3019702572801,1479.4195472368838,43.419823636138474,3476.1413411303024
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.9712855367356,1415.5394107226414,76.7403052742467,3893.251001533624
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.8117321648074,1415.5394107226414,0.0,3505.351142887449
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.1923074568313,1335.2150803514182,89.22191919199834,2748.629307000248
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.292869723837,806.5063613202312,13.704486787890941,3833.5037178319594
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,2104.8967904962747,77.62244157472745,6316.6084708263015
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.6557189507625,613.9981911008927,68.48390956620358,2040.137819617859
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0854862941832,587.4224615321033,89.22191919199834,1263.7298670182847
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761.953338284888,1037.8847174790567,0.0,3799.838055763945
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966.9606730784367,1303.5715487418754,0.0,5270.532221820312
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.7955612485694,1941.2373191331642,89.22191919199834,5429.254799573732
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,2613.6519679582852,63.16664469658806,6810.907851410173
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,1641.6913372978502,89.22191919199834,5865.002495245149
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.9998043518735,1018.2656621920034,0.0,3257.2654665438768
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.6404131366369,588.9823949755155,55.744370656352515,2030.3671787685048
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.8884420769839,407.856186660521,89.22191919199834,1443.9665479295031
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.8680102464482,1439.2146714379116,14.844548080471101,3122.9272297648313
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.0400530400518,1395.5006700532365,89.22191919199834,3160.762642285287
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.4194667313302,1432.5002008252256,89.22191919199834,2738.1415867485543
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.596977002702,1583.1141201670218,0.0,3583.711097169724
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.1378195731681,1671.0564488289301,48.32209661611695,3701.5163650182153
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3469.467132974946,1906.6511311907282,0.0,5376.118264165674
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,2613.6519679582852,89.22191919199834,6836.963125905583
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4134.089238755299,2613.6519679582852,13.704486787890941,6761.445693501476
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3892.624783086116,1900.8852489619348,77.62244157472745,5871.132473622778
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.1358811953746,1415.5394107226414,89.22191919199834,4104.897211110015
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.909626178499,1415.5394107226414,68.4839095662036,2503.932946467344
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.57181189486,589.865349529024,0.0,3324.437161423884
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.88761027356674,0.0,219.88761027356674
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.1657023818902,730.5756761824375,89.22191919199834,3031.963297756326
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3461.262722858324,743.716516461961,63.16664469658807,4268.145884016873
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.6133700243676,630.0128099001838,89.22191919199834,1320.8480991165495
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.8358149374458,2268.4381273708655,0.0,4036.2739423083112
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.445143305765,2273.7057209698337,0.0,3782.150864275599
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.1623236999948,1877.6525913124544,89.22191919199834,2866.0368342044476
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.91043559833,879.6131202035072,55.744370656352515,4344.26792645819
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.3466397041193,1191.1564582888086,0.0,4288.503097992928
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754.562881868668,937.5546649801181,89.22191919199834,4781.339466040784
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2570.95344754777,687.772980830389,89.22191919199834,3347.9483475701572
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278.7435635251895,1697.9868402384493,63.16664469658807,4039.897048460227
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.9916375333894,1176.4759063804615,48.32209661611695,2395.789640529968
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.2542619671667,1791.3765337217274,48.32209661611695,3446.952892305011
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.649771014444,1432.6410720290007,48.32209661611695,2929.6129396595616
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413.8652108351343,1760.3143903994387,7.422274040235558,4181.601875274809
