Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
1,1,0,0,1,0.569944978,0.569944978,0,0,1,0.920104027,0.920104027,1,1,1
2,1,0,0,1,0.623258889,0.623258889,0,0,1,0.882233679,0.882233679,1,1,1
3,1,0,0,1,0.694188416,0.694188416,0,0,1,0.89507395,0.89507395,1,1,1
4,1,0,0,1,0.647399664,0.647399664,0,0,1,0.87304908,0.87304908,1,1,1
5,1,0,0,1,0.381773531,0.381773531,0,0,1,0.831012249,0.831012249,1,1,1
6,1,0,0,1,0.244582877,0.244582877,0,0,1,0.776541591,0.776541591,1,1,1
7,1,0,0,1,0.293396771,0.293396771,0,0,1,0.704862773,0.704862773,1,1,1
8,1,0,0,1,0.37860319,0.37860319,0,0,1,0.64796108,0.64796108,1,1,1
9,1,0.1779,0.1779,1,0.329338044,0.329338044,0.2003,0.2003,1,0.526324749,0.526324749,1,1,1
10,1,0.429,0.429,1,1.52E-05,1.52E-05,0.4221,0.4221,1,0.079201177,0.079201177,1,1,1
11,1,0.5748,0.5748,1,4.55E-05,4.55E-05,0.5774,0.5774,1,0.02501085,0.02501085,1,1,1
12,1,0.6484,0.6484,1,0.00057204,0.00057204,0.6504,0.6504,1,0.006543793,0.006543793,1,1,1
13,1,0.6208,0.6208,1,0.086801805,0.086801805,0.6166,0.6166,1,0.012104483,0.012104483,1,1,1
14,1,0.596,0.596,1,0.341097623,0.341097623,0.6205,0.6205,1,0.018969901,0.018969901,1,1,1
15,1,0.5013,0.5013,1,0.326572925,0.326572925,0.513,0.513,1,0.034807973,0.034807973,1,1,1
16,1,0.3311,0.3311,1,0.38522929,0.38522929,0.3369,0.3369,1,0.089363858,0.089363858,1,1,1
17,1,0.0642,0.0642,1,0.25948137,0.25948137,0.1068,0.1068,1,0.198931903,0.198931903,1,1,1
18,1,0,0,1,0.818314612,0.818314612,0,0,1,0.486049294,0.486049294,1,1,1
19,1,0,0,1,0.947374165,0.947374165,0,0,1,0.695741773,0.695741773,1,1,1
20,1,0,0,1,0.884191096,0.884191096,0,0,1,0.893018901,0.893018901,1,1,1
21,1,0,0,1,0.863175511,0.863175511,0,0,1,0.884643197,0.884643197,1,1,1
22,1,0,0,1,0.935150564,0.935150564,0,0,1,0.961134374,0.961134374,1,1,1
23,1,0,0,1,0.973402262,0.973402262,0,0,1,0.955752611,0.955752611,1,1,1
24,1,0,0,1,0.746089995,0.746089995,0,0,1,0.952378809,0.952378809,1,1,1
25,1,0,0,1,0.433065981,0.433065981,0,0,1,0.905306697,0.905306697,1,1,1
26,1,0,0,1,0.503579199,0.503579199,0,0,1,0.868118405,0.868118405,1,1,1
27,1,0,0,1,0.820716262,0.820716262,0,0,1,0.810200989,0.810200989,1,1,1
28,1,0,0,1,0.861984015,0.861984015,0,0,1,0.878156662,0.878156662,1,1,1
29,1,0,0,1,0.635637224,0.635637224,0,0,1,0.943921924,0.943921924,1,1,1
30,1,0,0,1,0.684829473,0.684829473,0,0,1,0.907720923,0.907720923,1,1,1
31,1,0,0,1,0.745589137,0.745589137,0,0,1,0.828339458,0.828339458,1,1,1
32,1,0,0,1,0.27747938,0.27747938,0,0,1,0.849667013,0.849667013,1,1,1
33,1,0.16,0.16,1,0.655076563,0.655076563,0.1615,0.1615,1,0.907849193,0.907849193,1,1,1
34,1,0.3418,0.3418,1,0.843971074,0.843971074,0.4263,0.4263,1,0.964260221,0.964260221,1,1,1
35,1,0.4952,0.4952,1,0.989659667,0.989659667,0.57,0.57,1,0.942756534,0.942756534,1,1,1
36,1,0.5654,0.5654,1,0.995543838,0.995543838,0.6482,0.6482,1,0.85308063,0.85308063,1,1,1
37,1,0.5713,0.5713,1,1,1,0.6314,0.6314,1,0.791825891,0.791825891,1,1,1
38,1,0.5414,0.5414,1,1,1,0.5409,0.5409,1,0.882102609,0.882102609,1,1,1
39,1,0.4677,0.4677,1,0.998463929,0.998463929,0.4277,0.4277,1,0.888284206,0.888284206,1,1,1
40,1,0.3193,0.3193,1,0.957467973,0.957467973,0.3402,0.3402,1,0.899303496,0.899303496,1,1,1
41,1,0.1003,0.1003,1,0.884891868,0.884891868,0.1301,0.1301,1,0.918197513,0.918197513,1,1,1
42,1,0,0,1,0.697858751,0.697858751,0,0,1,0.785050571,0.785050571,1,1,1
43,1,0,0,1,0.532083452,0.532083452,0,0,1,0.849610209,0.849610209,1,1,1
44,1,0,0,1,0.179168805,0.179168805,0,0,1,0.890681326,0.890681326,1,1,1
45,1,0,0,1,0.460624933,0.460624933,0,0,1,0.895241141,0.895241141,1,1,1
46,1,0,0,1,0.575961411,0.575961411,0,0,1,0.842129111,0.842129111,1,1,1
47,1,0,0,1,0.526084423,0.526084423,0,0,1,0.778776944,0.778776944,1,1,1
48,1,0,0,1,0.570720732,0.570720732,0,0,1,0.798049688,0.798049688,1,1,1
49,1,0,0,1,0.616125405,0.616125405,0,0,1,0.865914464,0.865914464,1,1,1
50,1,0,0,1,0.687053382,0.687053382,0,0,1,0.807153344,0.807153344,1,1,1
51,1,0,0,1,0.553053379,0.553053379,0,0,1,0.573096633,0.573096633,1,1,1
52,1,0,0,1,0.677880645,0.677880645,0,0,1,0.476775587,0.476775587,1,1,1
53,1,0,0,1,0.80630821,0.80630821,0,0,1,0.574992657,0.574992657,1,1,1
54,1,0,0,1,0.801423192,0.801423192,0,0,1,0.604182601,0.604182601,1,1,1
