,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.033227118942492e7,0.0,0.0,0.0,0.0,0.0,0.0,3.254416820267368e7,-382125.39209859143,-8.249431400000003e7,6.775155173031123e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.391715549296382e7,-270320.23734738585,-2.3564076e7,0.0,82453.11145949755,-97416.24699846105,0.0,0.0,0.0,0.0,1.1372987290290168e7,-111805.15475120538,-1.1246219e7
t1,9374.055736643406,0.0,-0.0,0,-0.0,0.0,0.0,-454.3256129169723,-16.80225489340713,-8902.927868833027,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-772.0747083219868,-4.750512756216456,-2542.986852939374,0.0,0.0,-1.0132834954553351e-11,0,-0.0,0.0,0.0,1226.4003212389591,-12.051742137190676,-1214.348579101758
t2,8959.664289632497,0.0,-0.0,0,-0.0,0.0,0.0,-331.4672069647752,-16.918602986058403,-8611.278479681665,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-854.9083339157478,-5.260181303554382,-2459.643558798275,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1186.375540880523,-11.658421682504022,-1174.7171191980187
t3,8758.543435835183,0.0,-0.0,0,-0.0,0.0,0.0,-270.5350319447364,-16.965518992362718,-8471.042884898083,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-895.3149805468502,-5.508800107133855,-2418.988293363593,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1165.8500124915865,-11.456718885228865,-1154.3932936063575
t4,8672.201134535497,0.0,-0.0,0,-0.0,0.0,0.0,-246.16216193672074,-16.984285394884452,-8409.054687203892,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-911.4776391992915,-5.608247628565646,-2402.72618718972,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1157.6398011360122,-11.376037766318804,-1146.2637633696932
t5,8751.442285366295,0.0,-0.0,0,-0.0,0.0,0.0,-269.52486577895866,-16.971734462452208,-8464.945685124885,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-896.3251467126279,-5.515015577223342,-2417.971911727726,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1165.8500124915865,-11.456718885228865,-1154.3932936063575
t6,9078.467318784707,0.0,-0.0,0,-0.0,0.0,0.0,-365.97395913790547,-16.870283102548292,-8695.623076544254,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-830.6643459370857,-5.1110100214066945,-2484.0367180590847,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1196.6383050749912,-11.759273081141599,-1184.8790319938494
t7,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,-302.04705168722376,-18.182005315790192,-9104.1354613486,3558.841303462863,0.0,-0.0,0,-0.0,0.0,0.0,-952.0627328767894,-5.857964402278156,-2600.920606183796,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1254.1097845640131,-12.324040913512038,-1241.7857436505008
t8,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,148.8391820314273,-21.94025566649816,-9551.263444716542,4201.504968790588,0.0,-0.0,0,-0.0,0.0,0.0,-1464.5255517622495,-9.011106361160653,-2727.968310667178,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1315.6863697308222,-12.929149305337505,-1302.7572204254845
