Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
Zone,1,1,1,2,2,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865578,-38846.08000000001,-47586.46077002978
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865578,-38846.08000000001,-47586.46077002978
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.78175865578,-38846.08000000001,-47586.46077002978
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.7817586558,-38846.08000000001,-47586.46077002978
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39219.968,-38846.08000000001,-47586.46077002978
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39328.781758655794,-38846.08000000001,-47586.46077002978
