Time_Index,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.081,0,0.077,0.043,0,0.005,0.09,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.151,0.403,0.168,0.367,0.294,0.114,0.162,0.408,0.343,0.027,0.247,0.23,0.258,0.224,0.253,0.209,0.2,0.258,0.11,0.217,0,0,0,0,0,0,0,0,0,0
11,0.44,0.574,0.452,0.542,0.515,0.463,0.465,0.568,0.533,0.429,0.524,0.52,0.531,0.516,0.529,0.507,0.499,0.532,0.458,0.477,0.193,0.189,0.199,0,0.184,0,0.096,0,0.135,0
12,0.597,0.657,0.624,0.619,0.628,0.656,0.614,0.648,0.623,0.615,0.692,0.694,0.699,0.685,0.694,0.682,0.68,0.696,0.655,0.636,0.469,0.429,0.473,0.043,0.458,0.001,0.367,0,0.395,0
13,0.697,0.695,0.717,0.635,0.674,0.764,0.677,0.672,0.661,0.723,0.79,0.782,0.793,0.779,0.789,0.786,0.783,0.789,0.769,0.723,0.626,0.599,0.614,0.249,0.601,0.215,0.554,0.215,0.548,0.248
14,0.734,0.697,0.752,0.637,0.678,0.811,0.695,0.666,0.666,0.79,0.826,0.827,0.835,0.834,0.834,0.838,0.834,0.826,0.826,0.761,0.721,0.689,0.682,0.371,0.667,0.383,0.659,0.423,0.623,0.444
15,0.731,0.667,0.745,0.62,0.661,0.808,0.686,0.645,0.636,0.806,0.831,0.839,0.838,0.841,0.828,0.844,0.828,0.816,0.837,0.751,0.768,0.694,0.725,0.427,0.7,0.478,0.714,0.447,0.662,0.5
16,0.674,0.605,0.689,0.565,0.599,0.757,0.635,0.554,0.55,0.747,0.794,0.796,0.795,0.799,0.785,0.805,0.802,0.782,0.8,0.725,0.772,0.667,0.723,0.447,0.713,0.452,0.729,0.443,0.651,0.434
17,0.543,0.463,0.565,0.415,0.455,0.642,0.52,0.407,0.399,0.646,0.698,0.698,0.7,0.706,0.697,0.715,0.715,0.691,0.72,0.648,0.732,0.595,0.678,0.421,0.667,0.432,0.697,0.441,0.591,0.44
18,0.377,0.205,0.386,0.147,0.218,0.483,0.323,0.161,0.183,0.469,0.556,0.559,0.562,0.573,0.561,0.586,0.583,0.546,0.599,0.474,0.675,0.51,0.594,0.321,0.567,0.373,0.608,0.4,0.482,0.467
19,0.106,0.011,0.076,0.001,0.001,0.124,0.033,0.005,0.007,0.112,0.297,0.291,0.299,0.308,0.298,0.326,0.33,0.28,0.344,0.232,0.515,0.297,0.408,0.178,0.369,0.347,0.44,0.314,0.294,0.295
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.031,0.165,0.05,0.126,0.138,0.144,0.13,0.077,0.083
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
