Region,Resource,Zone,Cluster,AnnualSum
CA_N,CA_N_biomass_1,1,1,0.0
CA_N,CA_N_conventional_hydroelectric_1,1,1,0.0
CA_N,CA_N_geothermal_1,1,1,0.0
CA_N,CA_N_hydroelectric_pumped_storage_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_2,1,2,0.0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combustion_turbine_2,1,2,0.0
CA_N,CA_N_onshore_wind_turbine_1,1,1,0.0
CA_N,CA_N_small_hydroelectric_1,1,1,0.0
CA_N,CA_N_solar_photovoltaic_1,1,1,0.0
CA_S,CA_S_biomass_1,2,1,0.0
CA_S,CA_S_conventional_hydroelectric_1,2,1,0.0
CA_S,CA_S_geothermal_1,2,1,0.0
CA_S,CA_S_hydroelectric_pumped_storage_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_2,2,2,0.0
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combustion_turbine_2,2,2,0.0
CA_S,CA_S_onshore_wind_turbine_1,2,1,0.0
CA_S,CA_S_small_hydroelectric_1,2,1,0.0
CA_S,CA_S_solar_photovoltaic_1,2,1,0.0
WECC_N,WECC_N_biomass_1,3,1,0.0
WECC_N,WECC_N_conventional_hydroelectric_1,3,1,0.0
WECC_N,WECC_N_conventional_steam_coal_1,3,1,0.0
WECC_N,WECC_N_conventional_steam_coal_2,3,2,0.0
WECC_N,WECC_N_geothermal_1,3,1,0.0
WECC_N,WECC_N_natural_gas_fired_combined_cycle_1,3,1,0.0
WECC_N,WECC_N_natural_gas_fired_combined_cycle_2,3,2,0.0
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_1,3,1,0.0
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_2,3,2,0.0
WECC_N,WECC_N_onshore_wind_turbine_1,3,1,0.0
WECC_N,WECC_N_solar_photovoltaic_1,3,1,0.0
WECC_NMAZ,WECC_NMAZ_biomass_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_conventional_hydroelectric_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_2,4,2,0.0
WECC_NMAZ,WECC_NMAZ_geothermal_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_hydroelectric_pumped_storage_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_2,4,2,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,4,2,0.0
WECC_NMAZ,WECC_NMAZ_nuclear_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_onshore_wind_turbine_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_solar_photovoltaic_1,4,1,0.0
WECC_PNW,WECC_PNW_biomass_1,5,1,0.0
WECC_PNW,WECC_PNW_conventional_hydroelectric_1,5,1,0.0
WECC_PNW,WECC_PNW_geothermal_1,5,1,0.0
WECC_PNW,WECC_PNW_hydroelectric_pumped_storage_1,5,1,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_1,5,1,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_2,5,2,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_1,5,1,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_2,5,2,0.0
WECC_PNW,WECC_PNW_nuclear_1,5,1,0.0
WECC_PNW,WECC_PNW_onshore_wind_turbine_1,5,1,0.0
WECC_PNW,WECC_PNW_solar_photovoltaic_1,5,1,0.0
WECC_WYCO,WECC_WYCO_biomass_1,6,1,0.0
WECC_WYCO,WECC_WYCO_conventional_hydroelectric_1,6,1,0.0
WECC_WYCO,WECC_WYCO_conventional_steam_coal_1,6,1,0.0
WECC_WYCO,WECC_WYCO_conventional_steam_coal_2,6,2,0.0
WECC_WYCO,WECC_WYCO_hydroelectric_pumped_storage_1,6,1,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_1,6,1,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_2,6,2,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_1,6,1,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_2,6,2,0.0
WECC_WYCO,WECC_WYCO_onshore_wind_turbine_1,6,1,0.0
WECC_WYCO,WECC_WYCO_solar_photovoltaic_1,6,1,0.0
CA_N,CA_N_naturalgas_ccavgcf_mid_0,1,0,0.0
CA_N,CA_N_naturalgas_ctavgcf_mid_0,1,0,0.0
CA_N,CA_N_naturalgas_ccccsavgcf_mid_0,1,0,0.0
CA_N,CA_N_battery_mid_0,1,0,1.7915821e6
CA_N,CA_N_nuclear_mid_0,1,0,0.0
CA_N,CA_N_naturalgas_ccs100_mid_0,1,0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_1,1,1,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_2,1,2,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_3,1,3,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_4,1,4,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_5,1,5,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_1,1,1,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_2,1,2,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_3,1,3,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_4,1,4,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_1,1,1,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_2,1,2,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_3,1,3,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_4,1,4,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_5,1,5,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_6,1,6,0.0
CA_S,CA_S_naturalgas_ccavgcf_mid_0,2,0,0.0
CA_S,CA_S_naturalgas_ctavgcf_mid_0,2,0,0.0
CA_S,CA_S_naturalgas_ccccsavgcf_mid_0,2,0,0.0
CA_S,CA_S_battery_mid_0,2,0,953229.25
CA_S,CA_S_nuclear_mid_0,2,0,0.0
CA_S,CA_S_naturalgas_ccs100_mid_0,2,0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_1,2,1,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_2,2,2,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_3,2,3,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_4,2,4,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_5,2,5,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_6,2,6,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_7,2,7,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_8,2,8,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_9,2,9,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_10,2,10,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_1,2,1,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_2,2,2,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_3,2,3,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_4,2,4,0.0
WECC_N,WECC_N_naturalgas_ccavgcf_mid_0,3,0,0.0
WECC_N,WECC_N_naturalgas_ctavgcf_mid_0,3,0,0.0
WECC_N,WECC_N_naturalgas_ccccsavgcf_mid_0,3,0,0.0
WECC_N,WECC_N_battery_mid_0,3,0,2.953601
WECC_N,WECC_N_nuclear_mid_0,3,0,0.0
WECC_N,WECC_N_naturalgas_ccs100_mid_0,3,0,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_1,3,1,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_2,3,2,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_3,3,3,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_4,3,4,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_5,3,5,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_6,3,6,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_7,3,7,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_8,3,8,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_9,3,9,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_1,3,1,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_2,3,2,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_3,3,3,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_4,3,4,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_5,3,5,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_6,3,6,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_7,3,7,0.0
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_8,3,8,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ccavgcf_mid_0,4,0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ctavgcf_mid_0,4,0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ccccsavgcf_mid_0,4,0,0.0
WECC_NMAZ,WECC_NMAZ_battery_mid_0,4,0,590623.56
WECC_NMAZ,WECC_NMAZ_nuclear_mid_0,4,0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ccs100_mid_0,4,0,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_2,4,2,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_3,4,3,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_4,4,4,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_5,4,5,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_6,4,6,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_7,4,7,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_8,4,8,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_9,4,9,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_10,4,10,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_1,4,1,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_2,4,2,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_3,4,3,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_4,4,4,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_5,4,5,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_6,4,6,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_7,4,7,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_8,4,8,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_9,4,9,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_10,4,10,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_11,4,11,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_12,4,12,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_13,4,13,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_14,4,14,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_15,4,15,0.0
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_16,4,16,0.0
WECC_PNW,WECC_PNW_naturalgas_ccavgcf_mid_0,5,0,0.0
