Zone,1,2,3,4,5,6,Total
AnnualSum,2.1624038e7,3.6564644e7,2.771215e7,6.5094652e7,4.3606305e6,6.784716e7,2.2320326e8
t1,2489.174835572626,3978.9362030761067,3199.2518949088717,9168.113091971418,1.0437878707888106,8727.867285532167,27564.38709893198
t2,3190.880201800376,3978.9362028259147,3199.251895018218,9168.113091866917,2.3246922292697056,8727.8672854799,28267.373369220597
t3,3449.5074299887847,3978.936202708652,3199.2518949953105,9168.113091794978,2.3246922122240705,8727.867285455675,28526.000597155624
t4,3576.976054581643,4236.187829771666,3199.2518968980385,9168.113091856172,2.3246927258809293,8727.86728589305,28910.72085172645
t5,3576.9760543046114,4236.187804016273,3199.251896828475,9168.11309178316,2.3246924683446895,8727.867285868682,28910.720825269542
t6,1767.841130660006,3978.9362022565037,3199.251894771053,8990.648324055675,0.836890131701996,8727.86728550368,26665.38172737862
t7,1277.5780030433964,1974.9234507405854,2960.277887515185,4004.5424652121005,2.197188908919607e-5,7150.826488224185,17368.148316707342
t8,806.5847015452815,962.1401927428457,1190.229743732794,2590.606523473616,2.1745525331891357e-5,3297.4437323630796,8847.004915603142
t9,806.5847015266202,962.1401927280529,1190.229743681915,2590.606523437568,2.1729385936011178e-5,3297.4437323178854,8847.004915421428
t10,806.5847015203384,962.1401927232349,1190.229743678861,2590.606523433416,2.17238870171508e-5,3297.4437323196425,8847.004915399379
t11,806.5847015220018,962.1401927257554,1190.2297436827384,2590.6065234371426,2.1724452055197943e-5,3369.0134904388447,8918.574673530935
t12,806.5847015319538,962.1401927363158,1190.229743694145,2590.6065234495018,2.1730956565768046e-5,3855.249329479937,9404.81051262281
t13,806.5847016044634,962.140192810054,1190.2297450756078,2590.606524581906,2.1774822637808295e-5,4548.608335072135,10098.16952091899
t14,806.5847016668872,962.1401928627204,2871.8986816649517,3840.611982991382,2.180422331272324e-5,6813.995311284424,15295.23089227459
t15,806.5847020938207,1159.664965988923,3199.251894068191,4144.217721819962,2.1868061165913888e-5,7547.027434219582,16856.74674005854
t16,806.5847021269929,2185.2235109684443,3199.2518940838536,4144.217721875729,2.19096751195035e-5,7547.027434251186,17882.30528521588
t17,1277.5780033947854,3978.9362024189304,3199.25189471418,4589.557202333427,2.2005208763044317e-5,7590.207511574881,20635.53083644141
t18,1277.5780042587103,3978.9362028540045,3199.2518948104157,8073.7935041354,2.2111545811761868e-5,8181.201624344887,24710.76125251496
t19,3615.5709547634956,6021.935155771073,3754.3163974608187,9215.744294056436,658.4701211778473,9128.629922727601,32394.666845957276
t20,3576.976059349759,6161.124100281074,4275.7623383239,9220.851603001096,997.3000381935028,9248.55938385399,33480.57352300332
t21,3576.976058963426,6161.124100068281,4200.052178010985,9220.85160273631,950.6892872781332,9248.559383560292,33358.25261061743
t22,3576.9760579822964,6161.1240990108545,4041.553565322225,9188.259202804136,950.6892862803297,8754.133653030938,32672.73586443078
t23,3576.976056595029,5486.968722436658,3595.568804667574,9188.259201274941,472.7578940059178,8727.86728591901,31048.39796489913
t24,2963.220860558335,4839.382714453733,3595.568804613486,9188.259201148832,426.85949056099645,8727.867285845221,29741.158357180604
t25,2023.0941579899397,4839.382714368496,3595.568804528132,9188.259201047276,426.85949026964124,8711.043966961915,28784.2083351654
t26,2242.1321166455123,4839.382714418259,3595.5688046493046,9188.259201116634,789.4295304061998,8727.867285612501,29382.63965284841
t27,2499.4423243809033,4839.382714414974,3595.568804648949,9188.259201109662,950.6892810728627,8727.867285895201,29801.209611522554
t28,3195.4465732751487,4839.382714491513,3595.5688046927926,9188.259201100149,950.6892854060567,8727.867285927221,30497.21386489288
t29,3576.9760564926073,5585.1577133899755,3595.5688064150704,9188.259201197983,950.6892862160996,8727.86728605571,31624.518349767444
t30,3576.9760558084567,4839.382714736617,3595.568806731407,9188.259201116512,950.6892858352215,8727.867285971293,30878.743350199507
t31,2023.0941543921479,4839.382714222653,3595.5688045345582,4908.245825317585,426.85949032616264,8727.867285688511,24521.01827448162
t32,2023.0941523594868,1923.807261078901,3595.5688043710443,4164.3638311969435,426.8594901557488,7793.954223750251,19927.647762912373
t33,1552.100852719511,1822.5867048538487,3268.2155888700763,2918.542250302468,426.8594900762854,6447.724433272485,16436.029320094673
t34,1552.100852661028,1822.5867047991387,1586.5466535127873,2610.752632960206,426.8594900397177,6043.44776705842,14042.294101031297
t35,1552.1008527474594,1822.5867048751286,2611.289093064827,3603.6955480272773,426.85949008049306,6549.829733217264,16566.36142201245
