Zone,1,2,3,4,5,6
t1,-4.083787849190846e-10,-2.910773493588164e-10,-6.031452684295831e-10,-2.8741457724068934e-10,-3.3058916138222043e-10,-5.096686085205334e-10
t2,-4.251330955460911e-10,-3.0299317105039764e-10,-6.203312895646125e-10,-2.973134619072316e-10,-3.418228200684523e-10,-5.184604078696989e-10
t3,-4.4146284908800863e-10,-3.146409912677936e-10,-6.337094722291404e-10,-3.071269631438075e-10,-3.489584144803238e-10,-5.223882694706074e-10
t4,-4.5432816947015213e-10,-3.242622776112135e-10,-6.376141915206028e-10,-3.132676176988757e-10,-3.508229268292619e-10,-5.259088424531266e-10
t5,-4.797739163146283e-10,-3.4392703149227004e-10,-6.316904392714485e-10,-3.1715226943351737e-10,-3.4849804351236733e-10,-5.26264355590519e-10
t6,-5.349370784786188e-10,-3.7727099616122837e-10,-6.275634616277301e-10,-3.275779381984874e-10,-3.4355757282861057e-10,-5.422976285715586e-10
t7,-6.028839505691263e-10,-4.162491614648367e-10,-6.095179202702252e-10,-3.1930242953839454e-10,-3.334749641620254e-10,-5.524343824145459e-10
t8,-6.466045262460445e-10,-4.3912457082037893e-10,-5.747283886649993e-10,-2.9658242570773415e-10,-3.12758354371788e-10,-5.315275773092056e-10
t9,-6.357518000347673e-10,-4.355399083429343e-10,-5.425476956884493e-10,-2.7426661151669926e-10,-2.925795955778465e-10,-5.150910649204898e-10
t10,-5.983956548064307e-10,-4.034621429400445e-10,-5.1734310131915e-10,-2.530360420162976e-10,-2.8033202207254063e-10,-4.895518578944118e-10
t11,-5.521285047449007e-10,-3.676188506610345e-10,-4.945638249590282e-10,-2.365490696781205e-10,-2.7298596128317835e-10,-4.692749543494834e-10
t12,-5.061802415159601e-10,-3.4602899880133633e-10,-4.80005623687579e-10,-2.2459793349045172e-10,-2.68695674955832e-10,-4.5076600204117637e-10
t13,-4.619129550739391e-10,-3.1112588015334614e-10,-4.637493367610542e-10,-2.1510215597648893e-10,-2.6544913647557143e-10,-4.2964601039340996e-10
t14,-4.2141022604448733e-10,-2.831221210511904e-10,-4.498667546764913e-10,-2.0496545662675646e-10,-2.628487161996188e-10,-4.102929953848257e-10
t15,-3.751502967011185e-10,-2.553938285909371e-10,-4.3904715383788526e-10,-1.9872434048621277e-10,-2.60288899422206e-10,-3.942241911535833e-10
t16,-3.3762353496053407e-10,-2.3459957183375167e-10,-4.325101639630178e-10,-1.9449967220521495e-10,-2.569317130026308e-10,-3.809977921120043e-10
t17,-3.159349081034925e-10,-2.2473004401652222e-10,-4.3268007730893315e-10,-1.9384267281904003e-10,-2.545350086884504e-10,-3.7163594926461454e-10
t18,-3.132868503764081e-10,-2.233197046142381e-10,-4.393977726986273e-10,-1.9984851466090332e-10,-2.540297002514233e-10,-3.733140214981254e-10
t19,-3.1705974506834625e-10,-2.2602540468085237e-10,-4.4657219618864933e-10,-2.0301990195800298e-10,-2.5435074663271946e-10,-3.770637846159896e-10
t20,-3.1866404971063564e-10,-2.2713669325420705e-10,-4.571047654012577e-10,-2.107718309516941e-10,-2.532039039266918e-10,-3.7833375789598187e-10
t21,-3.124318508862266e-10,-2.226904342032108e-10,-4.744510456018179e-10,-2.2295583868225556e-10,-2.568261387018279e-10,-3.933785266410834e-10
t22,-3.2796393994043694e-10,-2.337701353968527e-10,-5.132374419977644e-10,-2.421790542301415e-10,-2.7323502522433474e-10,-4.2047182747155483e-10
t23,-3.586596869159936e-10,-2.5564577233594897e-10,-5.525189570754315e-10,-2.618679257447319e-10,-2.964715743152531e-10,-4.4296544041346264e-10
t24,-3.9158200705771537e-10,-2.790918734199187e-10,-5.845953953968696e-10,-2.7919990713841576e-10,-3.179060663888419e-10,-4.600866974413861e-10
t25,-4.170452168766275e-10,-2.972502379374009e-10,-6.164153949160217e-10,-2.9291295070986214e-10,-3.5395630541715754e-10,-4.741049988206957e-10
t26,-4.3177219293625676e-10,-3.0776518778494405e-10,-6.308767925411773e-10,-3.018716479992528e-10,-3.6314841561244567e-10,-4.859629925381683e-10
t27,-4.441084314489821e-10,-3.165727627463684e-10,-6.379892066241353e-10,-3.06249491037272e-10,-3.67312760945589e-10,-4.928647457893588e-10
t28,-4.490016075735252e-10,-3.203526251451208e-10,-6.274123160468182e-10,-3.024953937076647e-10,-3.618490355725656e-10,-4.865771849516246e-10
t29,-4.4517533841909317e-10,-3.2630424980774266e-10,-5.921031537886345e-10,-2.9108212121306127e-10,-3.4108819319331236e-10,-4.704105575214228e-10
t30,-4.309466004076628e-10,-3.316572817721928e-10,-5.570243556512425e-10,-2.8720010781325016e-10,-3.1400325552285143e-10,-4.612332814587427e-10
t31,-4.238792735048881e-10,-3.310166438483362e-10,-5.277053989237686e-10,-2.806059733892886e-10,-2.894931665631196e-10,-4.5887932030461587e-10
t32,-4.546923414444147e-10,-3.2863084395818134e-10,-5.000750344067571e-10,-2.666432040610859e-10,-2.7095223431458704e-10,-4.4776499852913236e-10
t33,-4.5477082792625055e-10,-3.2181370605647287e-10,-4.749118861374707e-10,-2.505064495826341e-10,-2.576550303391416e-10,-4.3164336645467705e-10
t34,-4.1944659761530864e-10,-2.980192919291665e-10,-4.527666568275545e-10,-2.3446516616572515e-10,-2.479205015339108e-10,-4.1119886791553745e-10
t35,-3.650730956755243e-10,-2.73745084396512e-10,-4.3611201743208826e-10,-2.218991113755884e-10,-2.4170017135994545e-10,-3.96045407667256e-10
t36,-3.341638678601299e-10,-2.568476374968403e-10,-4.210350049754444e-10,-2.104934996701557e-10,-2.3602733441697217e-10,-3.8121419135851783e-10
t37,-3.0996202868290355e-10,-2.3497659706809167e-10,-4.08261561503085e-10,-1.9944716712903252e-10,-2.3156639632687181e-10,-3.6817886296259157e-10
t38,-2.914760785162579e-10,-2.1662545287647025e-10,-3.98679847925505e-10,-1.908123530850398e-10,-2.2865059030951338e-10,-3.6550598228148127e-10
t39,-2.740749586378856e-10,-1.9895507736948509e-10,-3.939274240269627e-10,-1.8361770352822785e-10,-2.2777300580645809e-10,-3.568615685998332e-10
t40,-2.622756921910525e-10,-1.8706995174699115e-10,-3.904117841251965e-10,-1.7943806003465025e-10,-2.2663280402606657e-10,-3.51502720246124e-10
t41,-2.546320213501878e-10,-1.8148106290499063e-10,-3.9245655454676036e-10,-1.7940609991138138e-10,-2.267061562578402e-10,-3.520758734085592e-10
t42,-2.559101972799249e-10,-1.824300260656348e-10,-3.9953883453067393e-10,-1.855642368728085e-10,-2.2880430206627042e-10,-3.585956904993673e-10
t43,-2.6371405475855273e-10,-1.879988307582305e-10,-4.0576225740829527e-10,-1.883406746963396e-10,-2.329560873604895e-10,-3.6084116019075624e-10
t44,-2.7084024040832504e-10,-1.9306845999801024e-10,-4.1629551067399587e-10,-1.9573721015910012e-10,-2.3418137160671005e-10,-3.6103240941332275e-10
t45,-2.720424143562122e-10,-1.9392202328646945e-10,-4.435489027140339e-10,-2.0895255623096293e-10,-2.400204075640737e-10,-3.7783225622184243e-10
t46,-2.893499438375858e-10,-2.062477537304534e-10,-4.821063943159491e-10,-2.277377773938074e-10,-2.572934819093311e-10,-4.0485365837501353e-10
t47,-3.188774586600166e-10,-2.27282118043092e-10,-5.214577124278177e-10,-2.4786510510965406e-10,-2.815057842624302e-10,-4.2830439804604757e-10
t48,-3.513844398528791e-10,-2.504692201300555e-10,-5.564105236567511e-10,-2.628905904536814e-10,-3.0538885129776626e-10,-4.4546043407312795e-10
t49,-3.79760917171449e-10,-2.706986744905282e-10,-5.826925291067041e-10,-2.773243838281945e-10,-3.2137654493750185e-10,-4.619373557897125e-10
t50,-4.020123193938389e-10,-2.8656116650337606e-10,-5.995131864266159e-10,-2.875017823185018e-10,-3.3250999394496634e-10,-4.754853576186773e-10
t51,-4.171682732878747e-10,-2.973819590501916e-10,-6.074363965822084e-10,-2.929264419609754e-10,-3.3880833227410975e-10,-4.829117102363562e-10
t52,-4.2464459196151274e-10,-3.028233961042532e-10,-5.983106620233648e-10,-2.910885634077907e-10,-3.3515748468647965e-10,-4.789553860747988e-10
t53,-4.3368150367286923e-10,-3.066236433828516e-10,-5.713539883145094e-10,-2.813687245566039e-10,-3.203512664630816e-10,-4.63083301366301e-10
t54,-4.4542708703595667e-10,-3.074319442836413e-10,-5.418296566454883e-10,-2.776698342005547e-10,-2.988688636697611e-10,-4.5549534480845865e-10
t55,-4.511006157364322e-10,-3.072901144817265e-10,-5.275567782614514e-10,-2.7217504740920193e-10,-2.7917763563273043e-10,-4.5915243888202665e-10
t56,-4.4992546938595633e-10,-3.047651067717248e-10,-4.927148965688143e-10,-2.611692862500626e-10,-2.630968579794427e-10,-4.476549483930608e-10
t57,-4.302717828313542e-10,-3.011564371246687e-10,-4.698212651511693e-10,-2.464992107379311e-10,-2.5287576970540437e-10,-4.311595967105771e-10
t58,-4.0457622297326543e-10,-2.761126779532762e-10,-4.503130069391011e-10,-2.3041569611651383e-10,-2.463497068250454e-10,-4.090731375651442e-10
t59,-3.754104985088079e-10,-2.530071228734319e-10,-4.341099359415288e-10,-2.1803716933261048e-10,-2.4088372978864426e-10,-3.928646790482845e-10
t60,-3.457619213104759e-10,-2.4192202617263445e-10,-4.183197652218114e-10,-2.0877993088261932e-10,-2.361029634911085e-10,-3.7421828359886315e-10
t61,-3.19117973320647e-10,-2.180221407193578e-10,-4.070017648139689e-10,-1.998254503042307e-10,-2.3262285512203377e-10,-3.6143432141546e-10
t62,-2.9114452476851116e-10,-1.9968181736895645e-10,-3.9630670658307496e-10,-1.91226097133502e-10,-2.3116829826612618e-10,-3.4945021618529346e-10
t63,-2.6556536618027654e-10,-1.842450731832571e-10,-3.9103554435395264e-10,-1.8392896796167169e-10,-2.3104672668535543e-10,-3.419081302656655e-10
t64,-2.4624448206698287e-10,-1.7322166038616374e-10,-3.885778415136317e-10,-1.7922107212743762e-10,-2.331958852211767e-10,-3.379155080403109e-10
t65,-2.3651926973628265e-10,-1.6848128636744955e-10,-3.90661620169101e-10,-1.7824984185149836e-10,-2.334567635722159e-10,-3.387871125495503e-10
t66,-2.400219404706884e-10,-1.7111295392155374e-10,-3.972962637064341e-10,-1.8430036762927746e-10,-2.3809914734710726e-10,-3.4657228127042327e-10
t67,-2.486074847692795e-10,-1.772333140877715e-10,-4.060041461730995e-10,-1.8726448331893201e-10,-2.4309041137852043e-10,-3.503687566441737e-10
t68,-2.5425349044509044e-10,-1.812557354101988e-10,-4.1522919050523275e-10,-1.942790544392987e-10,-2.442005229152e-10,-3.5256648840312285e-10
t69,-2.541869112828411e-10,-1.8119739520936818e-10,-4.403175945816853e-10,-2.0711524671666216e-10,-2.4949430871648323e-10,-3.69839853788347e-10
t70,-2.6969139003656957e-10,-1.922370347527951e-10,-4.794372886208929e-10,-2.2575981478207294e-10,-2.6646898456174176e-10,-3.956862967594394e-10
t71,-2.982710515627431e-10,-2.1261100467415066e-10,-5.163940503070793e-10,-2.4475298038770787e-10,-2.8986475513843856e-10,-4.202093544816418e-10
t72,-3.318833419342829e-10,-2.3655719932092576e-10,-5.489673445251785e-10,-2.618422125180366e-10,-3.1380645712716784e-10,-4.3389686445586913e-10
t73,-3.5543154921448066e-10,-2.5334739109519273e-10,-5.737381915720266e-10,-2.749890326249748e-10,-3.2827332985597844e-10,-4.496262677051572e-10
t74,-3.721485577729169e-10,-2.6525364853851394e-10,-5.908809590575182e-10,-2.8574785953434426e-10,-3.391498229627876e-10,-4.6157817906143154e-10
t75,-3.864240060339149e-10,-2.754550149626435e-10,-5.970491376404571e-10,-2.9180173907666167e-10,-3.415833103323559e-10,-4.702532194106497e-10
t76,-3.9464450193041257e-10,-2.8142493836965046e-10,-5.890665494478869e-10,-2.8986629624498834e-10,-3.3753048345549375e-10,-4.673909851165018e-10
t77,-4.0762288445451535e-10,-2.8818271358152435e-10,-5.629162818696618e-10,-2.8018328461929923e-10,-3.2218917346134945e-10,-4.5067438901456373e-10
t78,-4.280253558403709e-10,-2.923823646147477e-10,-5.345507689853654e-10,-2.7786927321463577e-10,-2.984156753648381e-10,-4.4068856118999744e-10
t79,-4.3724166954189603e-10,-2.907112214641629e-10,-5.126660629189563e-10,-2.7229685895368865e-10,-2.777021766809408e-10,-4.4250505701040215e-10
t80,-4.310678509489597e-10,-2.8204023636618164e-10,-4.849752222228467e-10,-2.6344897091194245e-10,-2.6279380343918124e-10,-4.337641811744261e-10
t81,-4.154822333975292e-10,-2.8387171250176453e-10,-4.661399511273205e-10,-2.498191252461498e-10,-2.5500793563498963e-10,-4.2057957931520866e-10
t82,-3.9141829432725016e-10,-2.592945482831413e-10,-4.493220999120699e-10,-2.3363174018182877e-10,-2.4968415994830435e-10,-4.004010575768842e-10
t83,-3.6151267097182103e-10,-2.3569265274360724e-10,-4.3459324981745943e-10,-2.2105018800262527e-10,-2.427441568844444e-10,-3.845030654403368e-10
t84,-3.335033118656271e-10,-2.2192750346453198e-10,-4.2526216983391603e-10,-2.1076873452026876e-10,-2.409658262669206e-10,-3.7184416794262025e-10
t85,-3.0739971017944333e-10,-2.024921004412061e-10,-4.1464999198185146e-10,-2.0002600277394597e-10,-2.366885313775699e-10,-3.6109531298710694e-10
t86,-2.8063914870857695e-10,-1.8730694064785035e-10,-4.0913393340818285e-10,-1.9137335568700194e-10,-2.3652146530009475e-10,-3.519152226377635e-10
t87,-2.558183885986215e-10,-1.746633993763314e-10,-4.07250701401114e-10,-1.85472163496926e-10,-2.362437082773005e-10,-3.4431307538938806e-10
t88,-2.357223204725877e-10,-1.6494686473073366e-10,-4.0623407907120064e-10,-1.8171685199453938e-10,-2.3591545139237663e-10,-3.3612465874950133e-10
t89,-2.2660670667159973e-10,-1.6141388725313584e-10,-4.094185573386804e-10,-1.8203176589367412e-10,-2.3726883522703634e-10,-3.3551851851550933e-10
t90,-2.3014862409508667e-10,-1.640642641669823e-10,-4.19996003153087e-10,-1.8925166147746795e-10,-2.4032943457955175e-10,-3.4291411582040025e-10
t91,-2.3864086492955543e-10,-1.7012826997998454e-10,-4.2843936024141443e-10,-1.9208950955767131e-10,-2.432085027593009e-10,-3.4687093343212324e-10
t92,-2.453584009668089e-10,-1.7492045160334302e-10,-4.351117598319016e-10,-1.9871397860104428e-10,-2.415998859659062e-10,-3.498649633450549e-10
t93,-2.477255854505285e-10,-1.7660130955918985e-10,-4.549141028559934e-10,-2.1157786005714747e-10,-2.446269769383102e-10,-3.663915271059e-10
t94,-2.650004835903878e-10,-1.8890481533330013e-10,-4.927049093721084e-10,-2.281807301670719e-10,-2.6257936786758047e-10,-3.943265400315829e-10
t95,-2.934429550818855e-10,-2.091720913972278e-10,-5.311392368444337e-10,-2.455173193391227e-10,-2.866506777881458e-10,-4.1721760644042943e-10
t96,-3.26331852672223e-10,-2.3261601441764239e-10,-5.604119530797189e-10,-2.601617396558972e-10,-3.0695949128776134e-10,-4.368894818924875e-10
