Time,Weight
1,51.0
2,51.0
3,51.0
4,51.0
5,51.0
6,51.0
7,51.0
8,51.0
9,51.0
10,51.0
11,51.0
12,51.0
13,51.0
14,51.0
15,51.0
16,51.0
17,51.0
18,51.0
19,51.0
20,51.0
21,51.0
22,51.0
23,51.0
24,51.0
25,51.0
26,51.0
27,51.0
28,51.0
29,51.0
30,51.0
31,51.0
32,51.0
33,51.0
34,51.0
35,51.0
36,51.0
37,51.0
38,51.0
39,51.0
40,51.0
41,51.0
42,51.0
43,51.0
44,51.0
45,51.0
46,51.0
47,51.0
48,51.0
49,51.0
50,51.0
51,51.0
52,51.0
53,51.0
54,51.0
55,51.0
56,51.0
57,51.0
58,51.0
59,51.0
60,51.0
61,51.0
62,51.0
63,51.0
64,51.0
65,51.0
66,51.0
67,51.0
68,51.0
69,51.0
70,51.0
71,51.0
72,51.0
73,51.0
74,51.0
75,51.0
76,51.0
77,51.0
78,51.0
79,51.0
80,51.0
81,51.0
82,51.0
83,51.0
84,51.0
85,51.0
86,51.0
87,51.0
88,51.0
89,51.0
90,51.0
91,51.0
92,51.0
93,51.0
94,51.0
95,51.0
96,51.0
97,51.0
98,51.0
99,51.0
100,51.0
101,51.0
102,51.0
103,51.0
104,51.0
105,51.0
106,51.0
107,51.0
108,51.0
109,51.0
110,51.0
111,51.0
112,51.0
113,51.0
114,51.0
115,51.0
116,51.0
117,51.0
118,51.0
119,51.0
120,51.0
121,51.0
122,51.0
123,51.0
124,51.0
125,51.0
126,51.0
127,51.0
128,51.0
129,51.0
130,51.0
131,51.0
132,51.0
133,51.0
134,51.0
135,51.0
136,51.0
137,51.0
138,51.0
139,51.0
140,51.0
141,51.0
142,51.0
143,51.0
144,51.0
145,51.0
146,51.0
147,51.0
148,51.0
149,51.0
150,51.0
151,51.0
152,51.0
153,51.0
154,51.0
155,51.0
156,51.0
157,51.0
158,51.0
159,51.0
160,51.0
161,51.0
162,51.0
163,51.0
164,51.0
165,51.0
166,51.0
167,51.0
168,51.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
