Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv,Total
Zone,1,1,1,1,2,2,0
AnnualSum,0.0,0.0,0.0,1.3822382e6,0.0,0.0,1.3822382e6
t1,0.0,0.0,0.0,7.873159329637117e-6,0.0,0.0,7.873159329637117e-6
t2,0.0,0.0,0.0,6.474541544505787e-6,0.0,0.0,6.474541544505787e-6
t3,0.0,0.0,0.0,786.4515004005153,0.0,0.0,786.4515004005153
t4,0.0,0.0,0.0,1112.2272131285945,0.0,0.0,1112.2272131285945
t5,0.0,0.0,0.0,7.974569758439677e-6,0.0,0.0,7.974569758439677e-6
t6,0.0,0.0,0.0,7.937012860387328e-6,0.0,0.0,7.937012860387328e-6
t7,0.0,0.0,0.0,1.0570400355665194e-5,0.0,0.0,1.0570400355665194e-5
t8,0.0,0.0,0.0,1.4350653274153419e-5,0.0,0.0,1.4350653274153419e-5
t9,0.0,0.0,0.0,1.4787568647045515e-5,0.0,0.0,1.4787568647045515e-5
t10,0.0,0.0,0.0,2.7133897881678986e-5,0.0,0.0,2.7133897881678986e-5
t11,0.0,0.0,0.0,3.2330820215813025e-6,0.0,0.0,3.2330820215813025e-6
t12,0.0,0.0,0.0,3.452667535883986e-6,0.0,0.0,3.452667535883986e-6
t13,0.0,0.0,0.0,3.5634551021032307e-6,0.0,0.0,3.5634551021032307e-6
t14,0.0,0.0,0.0,2.299979995690256e-6,0.0,0.0,2.299979995690256e-6
t15,0.0,0.0,0.0,983.9815005897788,0.0,0.0,983.9815005897788
t16,0.0,0.0,0.0,914.6972545691316,0.0,0.0,914.6972545691316
t17,0.0,0.0,0.0,4.6134072703739303e-7,0.0,0.0,4.6134072703739303e-7
t18,0.0,0.0,0.0,5.6796403101105504e-5,0.0,0.0,5.6796403101105504e-5
t19,0.0,0.0,0.0,2.306894093710948e-5,0.0,0.0,2.306894093710948e-5
t20,0.0,0.0,0.0,1.4398898816954683e-5,0.0,0.0,1.4398898816954683e-5
t21,0.0,0.0,0.0,1.0861765634112569e-5,0.0,0.0,1.0861765634112569e-5
t22,0.0,0.0,0.0,1.1402909982011153e-5,0.0,0.0,1.1402909982011153e-5
t23,0.0,0.0,0.0,9.048546212659503e-6,0.0,0.0,9.048546212659503e-6
t24,0.0,0.0,0.0,7.673185670091214e-6,0.0,0.0,7.673185670091214e-6
