Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv,Total
Zone,1,1,1,1,2,2,0
AnnualSum,0.0,0.0012451432,0.0074150083,0.0,0.0,0.0013243892,0.009984541
t1,11320.907347197093,0.0,1.004449586616829e-6,1607.0416867271956,5412.787799478543,0.0,18340.736834407282
t2,11320.907346770873,0.0,1.004089426714927e-6,1607.0416720741082,7032.181890292157,0.0,19960.130910141226
t3,11320.907359916282,0.0,1.2184264051029459e-6,1607.0416940318112,7991.00004217933,0.0,20918.949097345852
t4,11320.907360198862,0.0,1.1992306099273264e-6,1607.0416923816879,8218.000044560526,0.0,21145.94909834031
t5,11320.90734752157,0.0,1.0023413778981194e-6,1607.0416819842244,7309.154005662304,0.0,20237.10303617044
t6,11320.90732666745,0.0,9.621126082492992e-7,1607.0416848559491,4849.670813030112,0.0,17777.619825515623
t7,11320.907327786734,0.0,9.605446393834427e-7,1607.0416901252504,2563.930882907338,0.0,15491.879901779866
t8,11320.907325967852,0.0,9.629075066186488e-7,1607.041692065915,2330.4443198867466,0.0,15258.393338883421
t9,8179.914333210767,2.694119695350133e-7,9.26185748539865e-7,1607.041692401799,898.0000906480927,2.9007921459020866e-7,10684.956117746337
t10,609.5678568292642,4.856035628668415e-7,7.734689688732033e-7,1607.0416935806945,337.00006363961256,4.920636322329297e-7,2553.609615800707
t11,9.134135325439274e-6,4.0052764521700776e-7,4.3556492101970434e-7,1466.1058606496272,1.7245745766558684e-5,5.695321780357806e-7,1466.105888435133
t12,8.445345883956179e-6,4.1817373035157105e-7,4.350619207116324e-7,1086.7090147243052,3.074919732171111e-6,4.130470631214148e-7,1086.7090275108535
t13,8.002956747077405e-6,4.128137607836372e-7,4.5262285652825085e-7,943.0622648206852,2.4924520403146744e-6,4.1311158215436603e-7,943.0622765946422
t14,7.672439096495509e-6,4.0815571405318037e-7,4.6711816992228705e-7,1325.2479552549457,1.2454474926926196e-6,3.8396647348923255e-7,1325.2479654320725
t15,493.19854497107735,5.287824966922533e-7,8.545180207875092e-7,1607.04169678392,47.0000782247389,5.496552920990082e-7,2147.2403219126923
t16,1964.8332036420725,4.2107008787254473e-7,8.834726941131521e-7,1607.041694526316,0.0001163858687505126,4.1959984173134045e-7,3571.8750162784
t17,5.875550414202735e-6,7.618415373460824e-8,2.1227242541499436e-7,3.671360673251911e-6,-2.809374564094469e-7,1.0737676940192611e-7,9.661806979596728e-6
t18,1609.8461510675043,0.0,8.820516086416319e-7,1607.0416977484354,2.7171719921170734e-5,0.0,3216.8878768697114
t19,7739.4057029377145,0.0,9.353352652397007e-7,1607.0416940971043,3.856089824694209e-5,0.0,9346.447436531053
t20,8709.160597439588,0.0,9.424238669453189e-7,1607.0416929141277,3.925774035451468e-5,0.0,10316.20233055388
t21,10721.785954086026,0.0,9.503910405328497e-7,1607.04169144665,4.433811045601033e-5,0.0,12328.827690821177
t22,11320.9073237905,0.0,9.7104930318892e-7,1607.0416915504184,1197.8276551860654,0.0,14125.776671498032
t23,11320.907329938851,0.0,9.726500138640404e-7,1607.0416896953948,2654.487730383644,0.0,15582.436750990539
t24,11320.907329176294,0.0,9.626146493246779e-7,1607.041686980866,2801.150301272095,0.0,15729.09931839187
