Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv,Total
Zone,1,1,1,1,2,2,0
Sum,1.5905362e-5,0.0,0.0,0.0,7.5725666e-8,0.0,1.5981088e-5
t1,3.856246678917536e-7,0.0,0.0,0.0,2.205932144484852e-9,0.0,3.8783060003623846e-7
t2,4.2375220653046426e-7,0.0,0.0,0.0,2.3536823669813074e-9,0.0,4.2610588889744555e-7
t3,4.651450093612881e-7,0.0,0.0,0.0,2.519201221616711e-9,0.0,4.676642105829048e-7
t4,5.341973421302137e-7,0.0,0.0,0.0,2.711062212977762e-9,0.0,5.369084043431915e-7
t5,6.248395739437513e-7,0.0,0.0,0.0,2.9342289932371928e-9,0.0,6.277738029369885e-7
t6,7.121419365928965e-7,0.0,0.0,0.0,3.190906532009682e-9,0.0,7.153328431249062e-7
t7,8.18737178537938e-7,0.0,0.0,0.0,3.494093559453035e-9,0.0,8.22231272097391e-7
t8,9.6931363283335e-7,0.0,0.0,0.0,3.865660985846289e-9,0.0,9.731792938191963e-7
t9,1.2019666498719898e-6,0.0,0.0,0.0,4.351215487788791e-9,0.0,1.2063178653597786e-6
t10,1.5871592422280448e-6,0.0,0.0,0.0,5.027801375562484e-9,0.0,1.5921870436036072e-6
t11,2.2337047279702756e-6,0.0,0.0,0.0,5.91028714059039e-9,0.0,2.239615015110866e-6
t12,1.0344359984846288e-6,0.0,0.0,0.0,6.406839406709526e-9,0.0,1.0408428378913384e-6
t13,7.157533651286301e-7,0.0,0.0,0.0,4.379533829213589e-9,0.0,7.201328989578437e-7
t14,5.620017993191645e-7,0.0,0.0,0.0,3.4523032236483835e-9,0.0,5.654541025428129e-7
t15,4.651503678561341e-7,0.0,0.0,0.0,2.6715092161432024e-9,0.0,4.678218770722773e-7
t16,5.727761497084626e-7,0.0,0.0,0.0,3.3530450196306203e-9,0.0,5.761291947280932e-7
t17,7.815853606337013e-7,0.0,0.0,0.0,4.685780119720286e-9,0.0,7.862711407534216e-7
t18,2.0134768110236948e-7,0.0,0.0,0.0,1.4595547064295533e-9,0.0,2.0280723580879905e-7
t19,2.1407431592156228e-7,0.0,0.0,0.0,1.545128584376858e-9,0.0,2.1561944450593915e-7
t20,2.3143730453396743e-7,0.0,0.0,0.0,1.6423187781386034e-9,0.0,2.3307962331210602e-7
t21,2.516100067813811e-7,0.0,0.0,0.0,1.7337844664104376e-9,0.0,2.5334379124779155e-7
t22,2.752260680121978e-7,0.0,0.0,0.0,1.826976547405754e-9,0.0,2.7705304455960353e-7
t23,3.0387699593190745e-7,0.0,0.0,0.0,1.9394022392694446e-9,0.0,3.0581639817117687e-7
t24,3.3950413445383735e-7,0.0,0.0,0.0,2.0654159218442026e-9,0.0,3.415695503756815e-7
