Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv
Zone,1,1,1,1,2,2
t1,0.0,0.0,0.0,6.566531630790833e-5,0.0,0.0
t2,0.0,0.0,0.0,4.20569395584123e-5,0.0,0.0
t3,0.0,0.0,0.0,723.5354167275273,0.0,0.0
t4,0.0,0.0,0.0,1746.7844453143357,0.0,0.0
t5,0.0,0.0,0.0,1746.7844338578502,0.0,0.0
t6,0.0,0.0,0.0,1746.7844254882523,0.0,0.0
t7,0.0,0.0,0.0,1746.7844252688722,0.0,0.0
t8,0.0,0.0,0.0,1746.7844306367429,0.0,0.0
t9,0.0,0.0,0.0,1746.784436771667,0.0,0.0
t10,0.0,0.0,0.0,1746.7844555466222,0.0,0.0
t11,0.0,0.0,0.0,1593.5933295816662,0.0,0.0
t12,0.0,0.0,0.0,1028.0143278129449,0.0,0.0
t13,0.0,0.0,0.0,306.29755451177834,0.0,0.0
t14,0.0,0.0,0.0,8.781106442828856e-6,0.0,0.0
t15,0.0,0.0,0.0,905.2629866172393,0.0,0.0
t16,0.0,0.0,0.0,1746.7844556604596,0.0,0.0
t17,0.0,0.0,0.0,4.343088106889284e-6,0.0,0.0
t18,0.0,0.0,0.0,5.493770121611419e-5,0.0,0.0
t19,0.0,0.0,0.0,7.05342110593132e-5,0.0,0.0
t20,0.0,0.0,0.0,7.686843812532024e-5,0.0,0.0
t21,0.0,0.0,0.0,7.83534181877979e-5,0.0,0.0
t22,0.0,0.0,0.0,8.044904278710222e-5,0.0,0.0
t23,0.0,0.0,0.0,7.836232257029012e-5,0.0,0.0
t24,0.0,0.0,0.0,7.205969586437708e-5,0.0,0.0
