Time_Index,CA_N_biomass_1,CA_N_conventional_hydroelectric_1,CA_N_geothermal_1,CA_N_hydroelectric_pumped_storage_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combined_cycle_2,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_natural_gas_fired_combustion_turbine_2,CA_N_onshore_wind_turbine_1,CA_N_small_hydroelectric_1,CA_N_solar_photovoltaic_1,CA_S_biomass_1,CA_S_conventional_hydroelectric_1,CA_S_geothermal_1,CA_S_hydroelectric_pumped_storage_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combined_cycle_2,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_fired_combustion_turbine_2,CA_S_onshore_wind_turbine_1,CA_S_small_hydroelectric_1,CA_S_solar_photovoltaic_1,WECC_N_biomass_1,WECC_N_conventional_hydroelectric_1,WECC_N_conventional_steam_coal_1,WECC_N_conventional_steam_coal_2,WECC_N_geothermal_1,WECC_N_natural_gas_fired_combined_cycle_1,WECC_N_natural_gas_fired_combined_cycle_2,WECC_N_natural_gas_fired_combustion_turbine_1,WECC_N_natural_gas_fired_combustion_turbine_2,WECC_N_onshore_wind_turbine_1,WECC_N_solar_photovoltaic_1,WECC_NMAZ_biomass_1,WECC_NMAZ_conventional_hydroelectric_1,WECC_NMAZ_conventional_steam_coal_1,WECC_NMAZ_conventional_steam_coal_2,WECC_NMAZ_geothermal_1,WECC_NMAZ_hydroelectric_pumped_storage_1,WECC_NMAZ_natural_gas_fired_combined_cycle_1,WECC_NMAZ_natural_gas_fired_combined_cycle_2,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,WECC_NMAZ_nuclear_1,WECC_NMAZ_onshore_wind_turbine_1,WECC_NMAZ_solar_photovoltaic_1,WECC_PNW_biomass_1,WECC_PNW_conventional_hydroelectric_1,WECC_PNW_geothermal_1,WECC_PNW_hydroelectric_pumped_storage_1,WECC_PNW_natural_gas_fired_combined_cycle_1,WECC_PNW_natural_gas_fired_combined_cycle_2,WECC_PNW_natural_gas_fired_combustion_turbine_1,WECC_PNW_natural_gas_fired_combustion_turbine_2,WECC_PNW_nuclear_1,WECC_PNW_onshore_wind_turbine_1,WECC_PNW_solar_photovoltaic_1,WECC_WYCO_biomass_1,WECC_WYCO_conventional_hydroelectric_1,WECC_WYCO_conventional_steam_coal_1,WECC_WYCO_conventional_steam_coal_2,WECC_WYCO_hydroelectric_pumped_storage_1,WECC_WYCO_natural_gas_fired_combined_cycle_1,WECC_WYCO_natural_gas_fired_combined_cycle_2,WECC_WYCO_natural_gas_fired_combustion_turbine_1,WECC_WYCO_natural_gas_fired_combustion_turbine_2,WECC_WYCO_onshore_wind_turbine_1,WECC_WYCO_solar_photovoltaic_1,CA_N_naturalgas_ccavgcf_mid_0,CA_N_naturalgas_ctavgcf_mid_0,CA_N_naturalgas_ccccsavgcf_mid_0,CA_N_nuclear_mid_0,CA_N_naturalgas_ccs100_mid_0,CA_N_offshorewind_otrg6_low_floating_1_180_1,CA_N_offshorewind_otrg6_low_floating_1_180_2,CA_N_offshorewind_otrg6_low_floating_1_180_3,CA_N_offshorewind_otrg6_low_floating_1_180_4,CA_N_offshorewind_otrg6_low_floating_1_180_5,CA_N_offshorewind_otrg6_low_floating_1_180_6,CA_S_naturalgas_ccavgcf_mid_0,CA_S_naturalgas_ctavgcf_mid_0,CA_S_naturalgas_ccccsavgcf_mid_0,CA_S_nuclear_mid_0,CA_S_naturalgas_ccs100_mid_0,WECC_N_naturalgas_ccavgcf_mid_0,WECC_N_naturalgas_ctavgcf_mid_0,WECC_N_naturalgas_ccccsavgcf_mid_0,WECC_N_nuclear_mid_0,WECC_N_naturalgas_ccs100_mid_0,WECC_NMAZ_naturalgas_ccavgcf_mid_0,WECC_NMAZ_naturalgas_ctavgcf_mid_0,WECC_NMAZ_naturalgas_ccccsavgcf_mid_0,WECC_NMAZ_nuclear_mid_0,WECC_NMAZ_naturalgas_ccs100_mid_0,WECC_PNW_naturalgas_ccavgcf_mid_0,WECC_PNW_naturalgas_ctavgcf_mid_0,WECC_PNW_naturalgas_ccccsavgcf_mid_0,WECC_PNW_nuclear_mid_0,WECC_PNW_naturalgas_ccs100_mid_0,WECC_PNW_offshorewind_otrg6_low_floating_1_150_1,WECC_PNW_offshorewind_otrg6_low_floating_1_150_2,WECC_PNW_offshorewind_otrg6_low_floating_1_150_3,WECC_WYCO_naturalgas_ccavgcf_mid_0,WECC_WYCO_naturalgas_ctavgcf_mid_0,WECC_WYCO_naturalgas_ccccsavgcf_mid_0,WECC_WYCO_nuclear_mid_0,WECC_WYCO_naturalgas_ccs100_mid_0,CA_N_ev_load_shifting_1,CA_S_ev_load_shifting_1,WECC_N_ev_load_shifting_1,WECC_NMAZ_ev_load_shifting_1,WECC_PNW_ev_load_shifting_1,WECC_WYCO_ev_load_shifting_1
1,1,0.361924007,1,1,1,1,1,1,0.2201,0.361924007,0,1,0.218643534,1,1,1,1,1,1,0.605769867,0.218643534,0,1,0.393961088,1,1,1,1,1,1,1,0.514154457,0,1,0.268088044,1,1,1,1,1,1,1,1,1,0.203616258,0,1,0.4529,1,1,1,1,1,1,1,0.5738,0,1,0.387019093,1,1,1,1,1,1,1,0.375162218,0,1,1,1,1,1,0,0.012543568,0,0.204636052,0.020207256,0.01515184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.139619246,0.368077308,0.260383189,1,1,1,1,1,0.113590264,0.113558878,0.11525974,0.11572303,0.071678322,0.114068441
2,1,0.361724007,1,1,1,1,1,1,0.1691,0.361724007,0,1,0.218715018,1,1,1,1,1,1,0.603704682,0.218715018,0,1,0.39354927,1,1,1,1,1,1,1,0.448201592,0,1,0.267885401,1,1,1,1,1,1,1,1,1,0.111481419,0,1,0.4525,1,1,1,1,1,1,1,0.5048,0,1,0.386798374,1,1,1,1,1,1,1,0.407694402,0,1,1,1,1,1,0,0.024389027,0,0.219740257,0.041258954,0.03885895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.132395282,0.307582319,0.249055564,1,1,1,1,1,0.131676809,0.131654865,0.116883117,0.116679419,0.051948052,0.126425856
3,1,0.361516794,1,1,1,1,1,1,0.2051,0.361516794,0,1,0.218694529,1,1,1,1,1,1,0.535683487,0.218694529,0,1,0.393231714,1,1,1,1,1,1,1,0.445573726,0,1,0.267685401,1,1,1,1,1,1,1,1,1,0.071763711,0,1,0.452,1,1,1,1,1,1,1,0.4274,0,1,0.386657536,1,1,1,1,1,1,1,0.398654073,0,1,1,1,1,1,0,0.027790118,0,0.202347174,0.042181268,0.035763234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.116042741,0.259465069,0.255085647,1,1,1,1,1,0.057471264,0.05743509,0.056818182,0.05661821,0.038461538,0.057905577
4,1,0.361316794,1,1,1,1,1,1,0.1669,0.361316794,0,1,0.218728264,1,1,1,1,1,1,0.536531272,0.218728264,0,1,0.392875805,1,1,1,1,1,1,1,0.420515149,0,1,0.267482758,1,1,1,1,1,1,1,1,1,0.0459923,0,1,0.4516,1,1,1,1,1,1,1,0.28,0,1,0.386436817,1,1,1,1,1,1,1,0.296330163,0,1,1,1,1,1,0,0,0,0.090547509,0.002306229,0.006824629,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.063799702,0.196797401,0.287092239,1,1,1,1,1,0.048174442,0.048124836,0.047077922,0.046863045,0.010739261,0.047686946
5,1,0.361109582,1,1,1,1,1,1,0.1664,0.361109582,0,1,0.218760423,1,1,1,1,1,1,0.430016775,0.218760423,0,1,0.392519659,1,1,1,1,1,1,1,0.396614749,0,1,0.267280115,1,1,1,1,1,1,1,1,1,0.031258303,0,1,0.4512,1,1,1,1,1,1,1,0.2533,0,1,0.386295979,1,1,1,1,1,1,1,0.266531829,0,1,1,1,1,1,0,0,0,0.096182682,0.001699901,0.005816445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.087440953,0.128897294,0.2932567,1,1,1,1,1,0.032792427,0.032782586,0.028409091,0.028500383,0.019230769,0.030101394
6,1,0.360909582,1,1,1,1,1,1,0.277,0.360909582,0,1,0.218794158,1,1,1,1,1,1,0.403804502,0.218794158,0,1,0.392202102,1,1,1,1,1,1,1,0.355961509,0.000170617,1,0.267077472,1,1,1,1,1,1,1,1,1,0.043312671,0.014102563,1,0.4508,1,1,1,1,1,1,1,0.2696,0,1,0.38615514,1,1,1,1,1,1,1,0.268226058,0.200369702,1,1,1,1,1,0,0.001252788,0,0.072872378,0.004632494,0.006753539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.091760561,0.072036207,0.350750118,1,1,1,1,1,0.00862069,0.008654603,0.011363636,0.011667942,0.04020979,0.010297845
7,1,0.36070237,1,1,1,1,1,1,0.2232,0.36070237,0.2129,1,0.218867216,1,1,1,1,1,1,0.366490455,0.218867216,0.220572185,1,0.391846193,1,1,1,1,1,1,1,0.299158378,0.286862309,1,0.266877472,1,1,1,1,1,1,1,1,1,0.027085483,0.240589516,1,0.4504,1,1,1,1,1,1,1,0.2221,0.1849,1,0.385934421,1,1,1,1,1,1,1,0.197431947,0.450889546,1,1,1,1,1,0,0.005766802,0,0.159791291,0.007776255,0.005241264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.090288214,0.069659494,0.39248243,1,1,1,1,1,0.023833671,0.023734592,0.028409091,0.02869166,0.068931069,0.027012041
8,1,0.36050237,1,1,1,1,1,1,0.1456,0.36050237,0.4498,1,0.218899375,1,1,1,1,1,1,0.24847739,0.218899375,0.4350272,1,0.391484783,1,1,1,1,1,1,1,0.200733658,0.48313355,1,0.266674829,1,1,1,1,1,1,1,1,1,0.018634289,0.431652052,1,0.45,1,1,1,1,1,1,1,0.083,0.3912,1,0.385793583,1,1,1,1,1,1,1,0.115259553,0.607399646,1,1,1,1,1,0,0.004158284,0,0.292138159,0.00780793,0.006692143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.080537319,0.096044153,0.392729938,1,1,1,1,1,0.044962813,0.044977708,0.053571429,0.053749044,0.126873127,0.051568441
9,1,0.36020237,1,1,1,1,1,1,0.0345,0.36020237,0.6182,1,0.218878887,1,1,1,1,1,1,0.007907849,0.218878887,0.593752817,1,0.391167463,1,1,1,1,1,1,1,0.138496718,0.599190672,1,0.266472186,1,1,1,1,1,1,1,1,1,0.010665922,0.56605601,1,0.4496,1,1,1,1,1,1,1,0.044,0.5371,1,0.385572864,1,1,1,1,1,1,1,0.151861992,0.672639639,1,1,1,1,1,0,0,0,0.146921962,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.027283343,0.055249825,0.279159844,1,1,1,1,1,0.075388776,0.075268817,0.096590909,0.096403979,0.222777223,0.091730038
10,1,0.36000237,1,1,1,1,1,1,0.003,0.36000237,0.695,1,0.218912622,1,1,1,1,1,1,0.0059935,0.218912622,0.672025027,1,0.390811317,1,1,1,1,1,1,1,0.106009918,0.635771856,1,0.266272186,1,1,1,1,1,1,1,1,1,0.021585799,0.628223573,1,0.4492,1,1,1,1,1,1,1,0.0279,0.6182,1,0.385432026,1,1,1,1,1,1,1,0.266144917,0.716299865,1,1,1,1,1,0.000181873,0,0,0.080698669,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003031916,0.054782741,0.21342127,1,1,1,1,1,0.137254902,0.137162339,0.175324675,0.175019128,0.314435564,0.16785488
