Time_Index,CA_N_utilitypv_losangeles_low_90_0_2_1,CA_N_utilitypv_losangeles_low_90_0_2_2,CA_N_utilitypv_losangeles_low_90_0_2_3,CA_N_utilitypv_losangeles_low_90_0_2_4,CA_S_utilitypv_losangeles_low_90_0_2_1,CA_S_utilitypv_losangeles_low_90_0_2_2,CA_S_utilitypv_losangeles_low_90_0_2_3,CA_S_utilitypv_losangeles_low_90_0_2_4,WECC_N_utilitypv_losangeles_low_70_0_2_1,WECC_N_utilitypv_losangeles_low_70_0_2_2,WECC_N_utilitypv_losangeles_low_70_0_2_3,WECC_N_utilitypv_losangeles_low_70_0_2_4,WECC_N_utilitypv_losangeles_low_70_0_2_5,WECC_N_utilitypv_losangeles_low_70_0_2_6,WECC_N_utilitypv_losangeles_low_70_0_2_7,WECC_N_utilitypv_losangeles_low_70_0_2_8,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_1,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_2,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_3,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_4,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_5,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_6,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_7,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_8,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_9,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_10,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_11,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_12,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_13,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_14,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_15,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_16,WECC_PNW_utilitypv_losangeles_low_70_0_2_1,WECC_PNW_utilitypv_losangeles_low_70_0_2_2,WECC_PNW_utilitypv_losangeles_low_70_0_2_3,WECC_PNW_utilitypv_losangeles_low_70_0_2_4,WECC_WYCO_utilitypv_losangeles_low_70_0_2_1,WECC_WYCO_utilitypv_losangeles_low_70_0_2_2,WECC_WYCO_utilitypv_losangeles_low_70_0_2_3,WECC_WYCO_utilitypv_losangeles_low_70_0_2_4,WECC_WYCO_utilitypv_losangeles_low_70_0_2_5,CA_N_battery_low_0,CA_S_battery_low_0,WECC_N_battery_low_0,WECC_NMAZ_battery_low_0,WECC_PNW_battery_low_0,WECC_WYCO_battery_low_0,CA_N_landbasedwind_ltrg1_low_110_1,CA_N_landbasedwind_ltrg1_low_110_2,CA_N_landbasedwind_ltrg1_low_110_3,CA_N_landbasedwind_ltrg1_low_110_4,CA_N_landbasedwind_ltrg1_low_110_5,CA_S_landbasedwind_ltrg1_low_90_1,CA_S_landbasedwind_ltrg1_low_90_2,CA_S_landbasedwind_ltrg1_low_90_3,CA_S_landbasedwind_ltrg1_low_90_4,CA_S_landbasedwind_ltrg1_low_90_5,CA_S_landbasedwind_ltrg1_low_90_6,CA_S_landbasedwind_ltrg1_low_90_7,CA_S_landbasedwind_ltrg1_low_90_8,CA_S_landbasedwind_ltrg1_low_90_9,CA_S_landbasedwind_ltrg1_low_90_10,WECC_N_landbasedwind_ltrg1_low_70_1,WECC_N_landbasedwind_ltrg1_low_70_2,WECC_N_landbasedwind_ltrg1_low_70_3,WECC_N_landbasedwind_ltrg1_low_70_4,WECC_N_landbasedwind_ltrg1_low_70_5,WECC_N_landbasedwind_ltrg1_low_70_6,WECC_N_landbasedwind_ltrg1_low_70_7,WECC_N_landbasedwind_ltrg1_low_70_8,WECC_N_landbasedwind_ltrg1_low_70_9,WECC_NMAZ_landbasedwind_ltrg1_low_70_1,WECC_NMAZ_landbasedwind_ltrg1_low_70_2,WECC_NMAZ_landbasedwind_ltrg1_low_70_3,WECC_NMAZ_landbasedwind_ltrg1_low_70_4,WECC_NMAZ_landbasedwind_ltrg1_low_70_5,WECC_NMAZ_landbasedwind_ltrg1_low_70_6,WECC_NMAZ_landbasedwind_ltrg1_low_70_7,WECC_NMAZ_landbasedwind_ltrg1_low_70_8,WECC_NMAZ_landbasedwind_ltrg1_low_70_9,WECC_NMAZ_landbasedwind_ltrg1_low_70_10,WECC_PNW_landbasedwind_ltrg1_low_70_1,WECC_PNW_landbasedwind_ltrg1_low_70_2,WECC_PNW_landbasedwind_ltrg1_low_70_3,WECC_PNW_landbasedwind_ltrg1_low_70_4,WECC_PNW_landbasedwind_ltrg1_low_70_5,WECC_PNW_landbasedwind_ltrg1_low_70_6,WECC_PNW_landbasedwind_ltrg1_low_70_7,WECC_PNW_landbasedwind_ltrg1_low_70_8,WECC_WYCO_landbasedwind_ltrg1_low_70_1,WECC_WYCO_landbasedwind_ltrg1_low_70_2,WECC_WYCO_landbasedwind_ltrg1_low_70_3,WECC_WYCO_landbasedwind_ltrg1_low_70_4,WECC_WYCO_landbasedwind_ltrg1_low_70_5,WECC_WYCO_landbasedwind_ltrg1_low_70_6,WECC_WYCO_landbasedwind_ltrg1_low_70_7,WECC_WYCO_landbasedwind_ltrg1_low_70_8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.108989298,0.118077517,0.197194844,0.624074578,0.198422775,0.568261862,0.522724867,0.565642059,0.5572716,0.415869832,0.640718579,0.217541382,0.553652525,0.356385797,0.0986,0.660947978,0.717318058,0.588444769,0.540156305,0.451400489,0.516578197,0.508805394,0.40356642,0.445068926,0.465578645,0.095673151,0.369551361,0.359266311,0.168971807,0.405311406,0.210633636,0.353004217,0.249648839,0.192260176,0.537666202,0.572440743,0.666039228,0.579134464,0.65226239,0.460745692,0.696084976,0.397029191,0.38004005,0.377209008,0.460295975,0.569029927,0.608974397,0.575856447,0.557729602,0.544453025
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.084150255,0.048340127,0.160160139,0.426959664,0.136617169,0.603179812,0.529461026,0.598653078,0.543283939,0.454367191,0.600571394,0.280157566,0.620975196,0.424943447,0.102799989,0.604762077,0.690220714,0.510678887,0.556133986,0.403710008,0.438957632,0.477594972,0.351042807,0.46411854,0.406738311,0.112912759,0.298346281,0.314567953,0.185761631,0.327459246,0.294657588,0.283773452,0.20560956,0.204009876,0.554314494,0.608797669,0.693353534,0.508392572,0.715977669,0.366110682,0.696279705,0.356531411,0.378976703,0.436414629,0.507803082,0.5859828,0.655450702,0.602072299,0.60026741,0.585280418
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.095418893,0.008561331,0.157231823,0.318067968,0.154486701,0.594100118,0.504285276,0.496085137,0.535283923,0.529599547,0.566630602,0.235190943,0.483745992,0.388386846,0.118100002,0.618378043,0.66748631,0.407275081,0.568601012,0.395711571,0.424515963,0.358979434,0.345766187,0.410888612,0.305159569,0.119923681,0.21521844,0.240860477,0.179243132,0.232194841,0.35857901,0.209464043,0.176442817,0.209847346,0.515846431,0.554066777,0.672981143,0.461015582,0.69040966,0.259960085,0.623812079,0.295357317,0.431543499,0.466971993,0.532782316,0.58804518,0.634606361,0.597614765,0.605647802,0.588908672
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.079164699,0,0.166509897,0.152512848,0.143065497,0.597396791,0.477825701,0.4271577,0.617172301,0.469085693,0.59333235,0.268533349,0.397893727,0.249866724,0.136899993,0.409701705,0.532073557,0.319624007,0.492655098,0.341908813,0.278070658,0.256722569,0.298957497,0.335772365,0.142452821,0.11737296,0.085106798,0.10505867,0.155705556,0.092817992,0.381979614,0.09650968,0.084781654,0.177329659,0.341480255,0.285126477,0.590390682,0.280258417,0.528211296,0.140830398,0.527477741,0.176790744,0.48877117,0.475128412,0.494227588,0.532392383,0.497551322,0.505227149,0.534853578,0.519340634
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.040075991,0.006955585,0.18372409,0.104274921,0.133556947,0.516378939,0.433199108,0.281927824,0.518619835,0.344442904,0.57578826,0.175781846,0.190645307,0.244125471,0.063699991,0.286705703,0.459098041,0.174648881,0.383567035,0.223593876,0.195707858,0.203084111,0.199297637,0.258038759,0.079133064,0.181046322,0.054219924,0.067562304,0.221921921,0.060712457,0.486019284,0.065069839,0.061463296,0.230316177,0.299769908,0.23489812,0.628145874,0.194847018,0.561059237,0.107210398,0.492611229,0.144517481,0.584739149,0.50726527,0.486097366,0.505043983,0.43675378,0.444098055,0.505510867,0.507711768
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062334292,0,0.066922367,0,0.165463448,0,0.063984245,0,0,0,0.077234499,0,0.163908184,0,0,0.081197947,0,0,0,0,0.239012629,0.267047286,0.271383226,0.275943726,0.273068219,1,1,1,1,1,1,0.046619564,0.039568029,0.265660167,0.08970809,0.155798227,0.531347215,0.365179151,0.263080567,0.304546177,0.32453388,0.498868108,0.245250523,0.132282108,0.174609095,0.011299999,0.160909206,0.31245321,0.256099492,0.252115965,0.232005998,0.126491234,0.256856501,0.232793987,0.217038095,0.05327284,0.265692413,0.044632673,0.059009679,0.26095587,0.058824267,0.383276075,0.062352419,0.058662109,0.268840492,0.18817915,0.208024874,0.686954141,0.161604911,0.610230148,0.145190805,0.46619767,0.155228868,0.697861373,0.616758823,0.554277003,0.519932389,0.444371104,0.383241236,0.456962526,0.477311552
7,0.278824747,0.331869185,0.331833124,0.32256946,0.370667666,0.375983059,0.349877179,0.359735072,0.399729729,0.423464119,0.505883157,0.416231662,0.502512097,0.374694437,0.416652083,0.37298727,0.446297795,0.408270597,0.446775585,0.265171677,0.539742112,0.410807282,0.437925577,0.262651771,0.285098016,0.272786587,0.448661268,0.407345742,0.544802308,0.271421283,0.291284144,0.443269283,0.342681646,0.338757992,0.38096118,0.340371817,0.609895229,0.607165337,0.582857072,0.621690989,0.591774464,1,1,1,1,1,1,0.043277863,0.165709794,0.283987731,0.178767025,0.19508931,0.460240901,0.299251139,0.169368863,0.25115943,0.213725001,0.409400553,0.120847486,0.075169094,0.076275088,0.035300002,0.065315835,0.297100723,0.359579206,0.227505714,0.317617536,0.062990427,0.333207428,0.249570757,0.195943594,0.043529548,0.154215008,0.026583033,0.040929627,0.143422887,0.035421327,0.422627419,0.043662198,0.044495337,0.145293802,0.092205636,0.149798632,0.535323858,0.122065336,0.430956602,0.183292925,0.414453149,0.15727821,0.607873678,0.545186102,0.516936004,0.446525693,0.383894742,0.298231751,0.339818716,0.352381974
8,0.625287831,0.658649325,0.65925622,0.658244014,0.650984585,0.653140903,0.631435931,0.663563967,0.713099778,0.727231979,0.744890034,0.719811916,0.741363287,0.658356249,0.716933131,0.653955698,0.707029581,0.679921627,0.70204699,0.594119608,0.780946732,0.679517925,0.695767999,0.598546684,0.563594818,0.597428918,0.673020363,0.673145533,0.783946216,0.552295864,0.594747603,0.659268081,0.658952832,0.656478286,0.685999393,0.661628664,0.85557878,0.83058393,0.830970526,0.832400918,0.811854482,1,1,1,1,1,1,0.031645492,0.247294888,0.181200504,0.243644923,0.150880024,0.099667802,0.261446178,0.068590447,0.285021991,0.13298288,0.054834757,0.040799815,0.056540277,0.053997174,0.061899997,0.008296689,0.219815344,0.259370714,0.165720642,0.21734497,0.029544188,0.23391673,0.150590479,0.139083922,0.012395123,0.103570968,0.003315384,0.010181163,0.129227906,0.008029619,0.307910204,0.008257227,0.002374652,0.138597131,0.061195817,0.055038147,0.197996333,0.042011738,0.144886583,0.083292238,0.216390371,0.065985344,0.299349546,0.255808115,0.273403585,0.242547542,0.151433662,0.172582522,0.175516844,0.194166079
9,0.836819172,0.864526629,0.85600698,0.863840461,0.816687763,0.837526262,0.799725711,0.864938021,0.908034861,0.909475565,0.882087469,0.903921783,0.881446183,0.825049877,0.899760485,0.824056566,0.841026962,0.848492503,0.839247584,0.76338613,0.891933858,0.849731445,0.833090723,0.763564527,0.692710698,0.759510517,0.819431186,0.847611368,0.894729018,0.741418004,0.7593835,0.806150615,0.84645927,0.843528271,0.85779804,0.848985314,0.928295255,0.915974438,0.918834984,0.913456798,0.911658525,1,1,1,1,1,1,0.033143159,0.073839486,0.023302471,0.077205785,0.011913017,0.015854023,0.022996204,0.010270893,0.004130704,0,0.017438928,0.041758772,0.003390625,0.001163277,0,0.000298439,0.110964909,0.199789554,0.077562802,0.218617991,0.013387864,0.168565035,0.150214195,0.060972504,0,0.16087994,0.000851549,0.0060661,0.129112616,0.00543387,0.066395432,0.005527727,0.010334249,0.134199291,0.047880717,0.052393988,0.120040998,0.026445949,0.117083222,0.028552502,0.103612423,0.030063678,0.179818287,0.137428045,0.15499793,0.159551576,0.075345702,0.129389226,0.139652416,0.185050428
10,0.916145444,0.941612005,0.919488728,0.945825517,0.882057726,0.901361942,0.862809062,0.94081825,0.972881913,0.965077877,0.910157442,0.958605587,0.912349224,0.890739679,0.957213819,0.890797138,0.866379023,0.900076985,0.862434745,0.816869617,0.934773922,0.900751829,0.872508883,0.81633091,0.765867829,0.805939853,0.858414531,0.903204441,0.938992739,0.79243356,0.803415596,0.84435606,0.91961664,0.914767265,0.920868397,0.917150855,0.963319421,0.958060265,0.957962036,0.957653046,0.947722495,1,1,1,1,1,1,0.050203919,0,0.004208603,0.020002788,0,0.040013291,0.008343964,0.008695707,0,0,0.014993904,0.013731834,0.004363541,0.00120791,0,0.002698211,0.0677201,0.150141954,0.055371195,0.19389531,0.033761479,0.154561818,0.141124442,0.066883996,0.003204769,0.174589217,0.019306637,0.026827559,0.126758084,0.021420311,0.041055389,0.023161136,0.041316859,0.086957097,0.034546949,0.036357637,0.057604387,0.015989611,0.064136937,0.014824945,0.066356368,0.019116383,0.158160359,0.15383327,0.17760846,0.18497175,0.075759076,0.150941312,0.182920545,0.25478223
