Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1.0,1.0,2000,11,168,673.8461538461539,1,8751.87721967578,2499.844333284966,1193.7344044942593
,2,0.9,0.04,1800,,,673.8461538461539,2,8465.176071171392,2417.9149826337402,1154.7757084480031
,3,0.55,0.024,1100,,,505.3846153846154,3,8327.319769799944,2377.9494457307032,1134.7968899627435
,4,0.2,0.003,400,,,842.3076923076924,4,8266.383288758941,2361.9632309694884,1126.8053625686396
,,,,,,,673.8461538461539,5,8321.326017566402,2376.9503073081273,1134.7968899627435
,,,,,,,1684.6153846153848,6,8548.089643735379,2441.8943047755624,1164.765117690633
,,,,,,,842.3076923076924,7,8949.671043382641,2556.795223371794,1220.7058094493595
,,,,,,,1179.2307692307693,8,9389.21287384233,2681.6875261937844,1280.6422649051383
,,,,,,,168.46153846153848,9,9971.60579920142,2847.5445043413883,1359.5585979219136
,,,,,,,673.8461538461539,10,10330.231974508304,2950.4557618667086,1408.5067032107995
,,,,,,,842.3076923076924,11,10472.084110702113,2991.4204371923215,1427.486580771796
,,,,,,,,12,10470.086193290932,2990.4212987697456,1426.4876398475333
,,,,,,,,13,10407.15179483875,2972.436807163379,1418.4961124534293
,,,,,,,,14,10328.234057097123,2950.4557618667086,1407.5077622865365
,,,,,,,,15,10297.266337223828,2941.4635160635253,1403.5119985894846
,,,,,,,,16,10315.24759392445,2946.459208176405,1406.5088213622737
,,,,,,,,17,10796.745690018928,3083.3411720693066,1472.4389223636301
,,,,,,,,18,11514.996999338286,3289.163687119947,1569.3361920171392
,,,,,,,,19,11518.992834160646,3290.162825542523,1570.335132941402
,,,,,,,,20,11308.212547281113,3230.2145201879675,1542.3647870620387
,,,,,,,,21,10893.644684461178,3112.3161863240084,1485.425154379049
,,,,,,,,22,10211.355888543068,2917.484193921703,1391.524707498329
,,,,,,,,23,9448.151437472154,2698.672879377575,1287.6348513749792
,,,,,,,,24,8673.958440639744,2476.86414956572,1182.7460543273664
,,,,,,,,25,8117.538441626001,2319.0002787987237,1106.82654408338
,,,,,,,,26,7833.834169238383,2237.0709281474974,1067.8678480371238
,,,,,,,,27,7718.953918095509,2205.098498625068,1052.8837341731792
,,,,,,,,28,7724.94767032905,2207.0967754702197,1053.8826750974422
,,,,,,,,29,7964.697759670699,2275.0381882053825,1085.8487846738576
,,,,,,,,30,8694.936573457138,2482.8589801011753,1184.7439361758925
