Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,2950079.5068655466,4383.797559518549,0.07682085279293317
CT_natural_gas_combined_cycle,2,1433.7353042216184,7201.21759373941,2.2727880610943345e-05
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0
MA_solar_pv,1,52915493.66980202,6040.581469155521,1.000000000000024
CT_onshore_wind,2,62282446.007428646,10000.0,0.7109868265688418
CT_solar_pv,2,0.0,0.0,0.0
ME_onshore_wind,3,0.0,0.0,0.0
MA_battery,1,29845.25753943207,316.7019753904591,0.0
CT_battery,2,0.0,0.0,0.0
ME_battery,3,770691.3829724892,5683.298024609541,0.0
