Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4737.6918630307655
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5249.665788230129
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5249.665788230129
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5249.665788230129
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5249.665788230129
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5249.665788230129
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5256.493714393904
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5256.493714393904
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5329.993132208618
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5329.993132208618
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5516.10969844601
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5297.511715428404
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4043.1664035451054
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,2783.490493182816
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,1778.2000534460649
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,1275.3301853045054
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,1549.7428754747018
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,2190.126630073635
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,2444.3742181199136
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3250.6678112100444
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4092.709933035848
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4948.501488990756
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4948.501488990756
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4948.501488990756
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5592.824077275301
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5453.414477210383
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5204.375729052191
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4851.01736377112
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4516.81544500066
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4312.482094536759
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4198.621445655524
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4222.973949028414
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4241.91583644602
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,3669.2991749783955
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2537.5576044087206
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1216.630150273004
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,352.3348963355184
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,299.63251206273816
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,973.0149085715234
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1759.1426649389673
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2618.6007366616363
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2618.6007366616363
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3545.889350087889
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3777.2383479952496
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3777.2383479952496
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4600.0312620403065
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5200.083343193866
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5200.083343193866
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5200.083343193866
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4361.912458590819
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3512.039538344307
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2984.7036927217378
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2981.0686775931295
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2981.0686775931295
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2981.0686775931295
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3798.3618179865443
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3798.3618179865443
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3798.3618179865443
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3798.3618179865443
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4731.1502050644385
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4731.1502050644385
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4731.1502050644385
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5366.9508149536705
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5588.191806052231
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5588.191806052231
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5683.298024609541
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5683.298024609541
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5683.298024609541
