Time_Index,MA_flex_coal_supercritical,MA_old_large_coal_PPA,MA_old_large_coal_PPA_InState,MA_solar_pv,MA_solar_pv_PPA,CT_flex_coal_supercritical,CT_old_large_coal_PPA,CT_old_large_coal_PPA_InState,CT_onshore_wind,CT_solar_pv,ME_flex_coal_supercritical,ME_old_large_coal_PPA,ME_old_large_coal_PPA_InState,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.569944978,0,0.8,0.8,0.8,0.920104027,1,1,1
2,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.623258889,0,0.8,0.8,0.8,0.882233679,1,1,1
3,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.694188416,0,0.8,0.8,0.8,0.89507395,1,1,1
4,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.647399664,0,0.8,0.8,0.8,0.87304908,1,1,1
5,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.381773531,0,0.8,0.8,0.8,0.831012249,1,1,1
6,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.244582877,0,0.8,0.8,0.8,0.776541591,1,1,1
7,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.293396771,0,0.8,0.8,0.8,0.704862773,1,1,1
8,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.37860319,0,0.8,0.8,0.8,0.64796108,1,1,1
9,0.8,0.8,0.8,0.1779,0.1779,0.8,0.8,0.8,0.329338044,0.2003,0.8,0.8,0.8,0.526324749,1,1,1
10,0.8,0.8,0.8,0.429,0.429,0.8,0.8,0.8,1.52E-05,0.4221,0.8,0.8,0.8,0.079201177,1,1,1
11,0.8,0.8,0.8,0.5748,0.5748,0.8,0.8,0.8,4.55E-05,0.5774,0.8,0.8,0.8,0.02501085,1,1,1
12,0.8,0.8,0.8,0.6484,0.6484,0.8,0.8,0.8,0.00057204,0.6504,0.8,0.8,0.8,0.006543793,1,1,1
13,0.8,0.8,0.8,0.6208,0.6208,0.8,0.8,0.8,0.086801805,0.6166,0.8,0.8,0.8,0.012104483,1,1,1
14,0.8,0.8,0.8,0.596,0.596,0.8,0.8,0.8,0.341097623,0.6205,0.8,0.8,0.8,0.018969901,1,1,1
15,0.8,0.8,0.8,0.5013,0.5013,0.8,0.8,0.8,0.326572925,0.513,0.8,0.8,0.8,0.034807973,1,1,1
16,0.8,0.8,0.8,0.3311,0.3311,0.8,0.8,0.8,0.38522929,0.3369,0.8,0.8,0.8,0.089363858,1,1,1
17,0.8,0.8,0.8,0.0642,0.0642,0.8,0.8,0.8,0.25948137,0.1068,0.8,0.8,0.8,0.198931903,1,1,1
18,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.818314612,0,0.8,0.8,0.8,0.486049294,1,1,1
19,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.947374165,0,0.8,0.8,0.8,0.695741773,1,1,1
20,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.884191096,0,0.8,0.8,0.8,0.893018901,1,1,1
21,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.863175511,0,0.8,0.8,0.8,0.884643197,1,1,1
22,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.935150564,0,0.8,0.8,0.8,0.961134374,1,1,1
23,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.973402262,0,0.8,0.8,0.8,0.955752611,1,1,1
24,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.746089995,0,0.8,0.8,0.8,0.952378809,1,1,1
25,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.433065981,0,0.8,0.8,0.8,0.905306697,1,1,1
26,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.503579199,0,0.8,0.8,0.8,0.868118405,1,1,1
27,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.820716262,0,0.8,0.8,0.8,0.810200989,1,1,1
28,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.861984015,0,0.8,0.8,0.8,0.878156662,1,1,1
29,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.635637224,0,0.8,0.8,0.8,0.943921924,1,1,1
30,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.684829473,0,0.8,0.8,0.8,0.907720923,1,1,1
31,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.745589137,0,0.8,0.8,0.8,0.828339458,1,1,1
32,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.27747938,0,0.8,0.8,0.8,0.849667013,1,1,1
33,0.8,0.8,0.8,0.16,0.16,0.8,0.8,0.8,0.655076563,0.1615,0.8,0.8,0.8,0.907849193,1,1,1
34,0.8,0.8,0.8,0.3418,0.3418,0.8,0.8,0.8,0.843971074,0.4263,0.8,0.8,0.8,0.964260221,1,1,1
35,0.8,0.8,0.8,0.4952,0.4952,0.8,0.8,0.8,0.989659667,0.57,0.8,0.8,0.8,0.942756534,1,1,1
36,0.8,0.8,0.8,0.5654,0.5654,0.8,0.8,0.8,0.995543838,0.6482,0.8,0.8,0.8,0.85308063,1,1,1
37,0.8,0.8,0.8,0.5713,0.5713,0.8,0.8,0.8,1,0.6314,0.8,0.8,0.8,0.791825891,1,1,1
38,0.8,0.8,0.8,0.5414,0.5414,0.8,0.8,0.8,1,0.5409,0.8,0.8,0.8,0.882102609,1,1,1
39,0.8,0.8,0.8,0.4677,0.4677,0.8,0.8,0.8,0.998463929,0.4277,0.8,0.8,0.8,0.888284206,1,1,1
